# CLUSTER  dG
1pz1sa  -966.842514186362
1pz2sa  -1666.326072054821
1pz3sa  -2365.795631594163
1pz4sa  -3065.272881226971
2pz     -534.734529095166
2pz1sa  -1234.2231617349992
2pz2sa  -1933.7254644592322
2pz3sa  -2633.199444812452
2pz4sa  -3332.6760582625843
2sa     -1398.9136654950405
3pz     -802.101508008445
3pz1sa  -1501.5966280221148
3pz2sa  -2201.1085083738926
3pz3sa  -2900.5989300820056
3pz4sa  -3600.0732843585088
3sa     -2098.373626455099
4pz     -1069.4707405068837
4pz1sa  -1768.971251791794
4pz2sa  -2468.487187283423
4pz3sa  -3167.9943828950277
4pz4sa  -3867.4796753450237
4sa     -2797.838217016614
