filename                         cluster(QHA=100cm^-1,T=298.15,p=1atm)  G(Eh)           H(Eh)           S(Eh/K)
3sa3ma-33_8_1170-str3-3607       3ma3sa                                 -2387.5985545   -2387.51113098  0.000293219922857622
4am1msa3sa-314_1_1612-str89      4am1msa3sa                             -2990.51197271  -2990.4147087   0.0003262250545027671
4am4msa-44_4_440                 4am4msa                                -2882.73145538  -2882.63189984  0.00033391091732349487
4sa4am-44_4_893-str90-1733       4am4sa                                 -3026.43274569  -3026.33688434  0.0003215205433506624
4dma1msa3sa-314_1_618-str1       4dma1msa3sa                            -3304.59362098  -3304.47413485  0.0004007584437363743
4dma4msa-44_4_1021               4dma4msa                               -3196.7942014   -3196.6689646   0.00042004625188663425
4sa4dma-44_3_992-str33-3294      4dma4sa                                -3340.52077442  -3340.40234741  0.0003972061378500755
4ma1msa3sa-314_1_339-str86       4ma1msa3sa                             -3147.55731849  -3147.44733789  0.00036887673989602555
4ma4msa-44_9_69                  4ma4msa                                -3039.77610495  -3039.66138179  0.000384783364078484
4sa4ma-44_5_827-str75-3971       4ma4sa                                 -3183.47805828  -3183.36922523  0.0003650278718765722
5am1msa4sa-415_7_225-str9        5am1msa4sa                             -3747.12821847  -3747.01737283  0.00037177809827268157
5am5msa-55_10_1063               5am5msa                                -3603.4207197   -3603.30112635  0.0004011180949186651
5sa5am-55_7_66-str6-567          5am5sa                                 -3783.05103574  -3782.93905423  0.0003755878249203422
5dma1msa4sa-415_1_1736-str96     5dma1msa4sa                            -4139.72997412  -4139.58637071  0.0004816481972161664
5dma5msa-55_3_1099               5dma5msa                               -3996.00019889  -3995.84682078  0.0005144327016602382
5sa5dma-55_9_916-str2-3258       5dma5sa                                -4175.65719631  -4175.51704258  0.00047007791380177763
5ma1msa4sa-415_4_1907-str2       5ma1msa4sa                             -3943.43920259  -3943.31215591  0.00042611665269159824
5ma5msa-55_4_303                 5ma5msa                                -3799.72293981  -3799.58503628  0.0004625307060204595
5sa5ma-55_1_1056-str94-3487      5ma5sa                                 -3979.35656545  -3979.22727475  0.00043364313265135
6am1msa5sa-s28-64-str3           6am1msa5sa                             -4503.7481303   -4503.62191848  0.00042331651853094087
6am6msa-66_4_73                  6am6msa                                -4324.11588254  -4323.97874837  0.0004599502599362737
6sa6am-66_5_254-str35-1330       6am6sa                                 -4539.67167283  -4539.54237789  0.0004336573872211974
6dma1msa5sa-s20-71-str5          6dma1msa5sa                            -4974.86472447  -4974.69870365  0.0005568365587791381
6dma6msa-66_5_724                6dma6msa                               -4795.20148874  -4795.02394129  0.0005954970652356198
6sa6dma-66_1_889-str67-2920      6dma6sa                                -5010.79449409  -5010.62963946  0.0005529251718933421
6ma1msa5sa-s20-51-str3           6ma1msa5sa                             -4739.31878079  -4739.17124271  0.0004948451450612107
