#CLUSTER                   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2dma1fa1msa1nta1sa2tma     -67.04047751193866      -153.6785298306495      -290.5854513453572       -169.94481040668325
1dma1fa1ma1msa1nta1sa2tma  -67.45495103346184      -152.71316043520346     -285.95743552510055      -168.78974851910607
1fa1ma1msa2sa2tma          -67.47689613187686      -141.94529331155354     -249.7682280023368       -156.32753055842477
1fa4ma1msa1nta1sa          -68.42622522031888      -152.75899289280642     -282.8534887571461       -167.90586814272683
1dma1fa1msa2sa2tma         -68.86404715385288      -144.32042945740977     -253.08194634681848      -158.6843963835563
3ma1msa1nta2sa             -69.76802699523978      -144.03453491919208     -249.0910881203636       -156.80615652061533
1fa2ma2msa1sa2tma          -70.22597756504547      -156.10937733831815     -288.05433430454406      -172.25611528279842
1dma1fa2ma1msa1nta1sa1tma  -70.37037142261397      -155.9707834897854      -287.1051888899103       -171.7093461270997
1fa1ma1msa2sa3tma          -70.86311005160678      -157.35361149464734     -290.0905632820866       -174.88810949097387
2dma1fa1ma1msa1nta1sa1tma  -70.93907947570551      -156.76036891390686     -287.84601522072415      -172.87136147321144
1fa3ma1msa2sa              -70.94280377670657      -144.58789650793187     -247.00685135203292      -157.695511207683
3dma1fa1msa1nta1sa1tma     -71.16668617201503      -158.01660981893656     -291.29607126205127      -174.45676834449114
1dma1fa1ma2msa1sa2tma      -71.20342319703195      -157.67010522889905     -290.0106725857733       -174.500357556768
1fa2ma1msa2sa1tma          -71.20791022991762      -145.23469643175486     -248.28705752753308      -158.88062905082188
1ma1msa1nta2sa2tma         -71.29399209748954      -147.01616062462563     -253.97339770947616      -160.55660758397426
1dma1msa1nta2sa2tma        -71.56247887620702      -147.17347698897356     -253.60053031319524      -160.96303941958467
1dma1fa1ma1msa2sa1tma      -71.91445958591066      -146.73310491416487     -250.9429660527233       -160.93612867342017
2ma1msa1nta2sa1tma         -71.91499350115191      -146.47537884287885     -250.07675780962876      -159.7880692299659
1msa1nta2sa4tma            -72.06766805169173      -159.67834517313167     -293.84765091924794      -177.97914698167006
1dma1fa3ma1msa1nta1sa      -72.44208803586662      -158.060387640493       -287.16518398372796      -173.02164220414124
2dma1fa1msa2sa1tma         -72.53115156572312      -147.35078225375037     -250.94627096354475      -161.731933360963
1dma1fa2ma1msa2sa          -72.77374320372473      -147.05373178236187     -249.13630246100183      -160.4209739731159
1fa3ma2msa1sa1tma          -73.02541205985472      -158.584461975639       -286.9664595528246       -174.54588862216042
2dma1fa2ma1msa1nta1sa      -73.07963643595576      -159.26106863853056     -289.05393997009077      -174.55059583531693
1dma2ma1msa1nta2sa         -73.1190964456182       -148.17553743871395     -251.74053661762477      -160.73991288791876
4dma1fa1msa1nta1sa         -73.37446402024943      -160.9210990741849      -293.63285277161185      -177.01380193408113
1dma1fa1msa2sa3tma         -73.7127341638552       -161.2657712267246      -293.65432521268133      -179.2592163255904
2dma2msa1nta1sa2tma        -73.88805249833968      -161.1763418286573      -292.7663569685132       -178.1073325331381
1dma1ma1msa1nta2sa1tma     -73.9489264342701       -150.17799614960677     -255.67355262420773      -163.56025998100813
3dma1fa1ma1msa1nta1sa      -74.62095522484742      -161.5554944325704      -291.57987324206226      -177.18810884200502
1ma2msa1nta1sa3tma         -74.76908108545467      -162.61494232871337     -294.6364623270764       -180.73427249857923
1fa4ma2msa1sa              -75.25732690363657      -161.86315487959655     -290.4773703694259       -177.6456647045561
1dma1fa2ma2msa1sa1tma      -75.83588463882916      -162.79723279809696     -291.66979090722316      -179.01735300371365
2dma1msa1nta2sa1tma        -75.97369547828566      -152.57771929571754     -256.93115484586895      -166.24310400888498
2dma1ma1msa1nta2sa         -76.08487874013372      -151.36237973358948     -252.48197549369473      -165.11370089964475
2dma1fa1ma1msa2sa          -76.16055168153252      -150.57644036365673     -249.59211363936942      -164.17524887318723
2dma1fa1ma2msa1sa1tma      -76.61414831737056      -163.5823873509944      -291.69290301191467      -179.88376383237483
2dma1fa2ma2msa1sa          -76.97111065255012      -164.34551390615525     -293.055184483659        -180.53909183881478
3dma1fa2msa1sa1tma         -77.0792818123009       -164.78325831124675     -294.16057856365217      -181.75427550553286
3dma1fa1msa2sa             -77.08124310185667      -152.47049775510095     -252.85679910350896      -166.68495475151576
1fa4ma1msa2sa              -77.14686280896422      -162.0872596858535      -284.891487093512        -177.42633216781542
2ma2msa1nta1sa2tma         -77.395087015233        -165.21934657916427     -294.5640099397318       -182.83926658626297
3dma1msa1nta2sa            -77.91495814057998      -154.3795752126025      -256.4635823301617       -167.31147122883704
1dma1fa3ma2msa1sa          -78.06502459465992      -164.77612684696214     -290.8304620203772       -180.52342574001523
1fa2ma1msa2sa2tma          -78.40764841297641      -165.7319761645631      -292.8872304265435       -182.1456047289248
1dma1fa1ma1msa2sa2tma      -78.70701039303094      -164.5942024565884      -288.06705370904444      -181.60622548425454
3dma1fa1ma2msa1sa          -79.31926043273415      -167.29016491567018     -295.05585940943104      -183.62149685394252
