Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
1sa		-700.1261	0.0456	0.0111	-700.0805	-700.1150	72.540		-699.4600551261
1w		-76.4096	0.0255	0.0041	-76.3841	-76.4055	45.069		-76.3420634988
2sa0w		-1400.2821	0.0931	0.0420	-1400.1890	-1400.2401	107.471		-1398.9494445578
3sa0w		-2100.4371	0.1407	0.0712	-2100.2964	-2100.3659	146.277		-2098.4382604462
4sa0w		-2800.5999	0.1874	0.1092	-2800.4126	-2800.4907	164.429		-2797.9336403248
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
2sa4w_61	-1706.0139	0.2051	0.1324	-1705.8087	-1705.8815	153.036		-
2sa4w_62	-1706.0174	0.2056	0.1360	-1705.8118	-1705.8813	146.351		-
2sa4w_63	-1706.0138	0.2041	0.1326	-1705.8097	-1705.8813	150.634		-
2sa4w_64	-1706.0070	0.2045	0.1259	-1705.8025	-1705.8811	165.476		-
2sa4w_65	-1706.0124	0.2045	0.1314	-1705.8078	-1705.8810	153.937		-
2sa4w_66	-1706.0158	0.2063	0.1349	-1705.8095	-1705.8809	150.182		-
2sa4w_67	-1706.0113	0.2054	0.1305	-1705.8059	-1705.8808	157.586		-
2sa4w_68	-1706.0098	0.2045	0.1290	-1705.8053	-1705.8807	158.829		-
2sa4w_69	-1706.0156	0.2061	0.1349	-1705.8095	-1705.8807	149.950		-
2sa4w_70	-1706.0111	0.2051	0.1304	-1705.8060	-1705.8807	157.277		-
2sa4w_71	-1706.0129	0.2043	0.1322	-1705.8085	-1705.8807	151.867		-
2sa4w_72	-1706.0163	0.2046	0.1356	-1705.8117	-1705.8807	145.236		-
2sa4w_73	-1706.0154	0.2051	0.1348	-1705.8103	-1705.8806	148.021		-
2sa4w_74	-1706.0114	0.2051	0.1308	-1705.8063	-1705.8806	156.312		-
2sa4w_75	-1706.0139	0.2059	0.1334	-1705.8079	-1705.8805	152.649		-
2sa4w_76	-1706.0100	0.2054	0.1295	-1705.8045	-1705.8805	159.768		-
2sa4w_77	-1706.0145	0.2061	0.1341	-1705.8084	-1705.8804	151.674		-
2sa4w_78	-1706.0140	0.2059	0.1336	-1705.8081	-1705.8803	152.129		-
2sa4w_79	-1706.0093	0.2038	0.1290	-1705.8055	-1705.8803	157.519		-
2sa4w_80	-1706.0162	0.2065	0.1363	-1705.8097	-1705.8799	147.731		-
2sa4w_81	-1706.0091	0.2052	0.1294	-1705.8039	-1705.8798	159.619		-
2sa4w_82	-1706.0145	0.2063	0.1348	-1705.8082	-1705.8797	150.379		-
2sa4w_83	-1706.0176	0.2065	0.1382	-1705.8111	-1705.8795	143.771		-
2sa4w_84	-1706.0081	0.2037	0.1287	-1705.8044	-1705.8794	157.832		-
2sa4w_85	-1706.0086	0.2047	0.1296	-1705.8040	-1705.8791	158.111		-
2sa4w_86	-1706.0127	0.2055	0.1337	-1705.8073	-1705.8790	151.013		-
2sa4w_87	-1706.0101	0.2037	0.1312	-1705.8065	-1705.8789	152.558		-
2sa4w_88	-1706.0134	0.2061	0.1345	-1705.8072	-1705.8789	150.793		-
2sa4w_89	-1706.0139	0.2063	0.1351	-1705.8076	-1705.8788	149.792		-
2sa4w_90	-1706.0172	0.2052	0.1386	-1705.8120	-1705.8786	140.253		-
2sa4w_91	-1706.0133	0.2062	0.1351	-1705.8071	-1705.8782	149.636		-
2sa4w_92	-1706.0132	0.2063	0.1350	-1705.8069	-1705.8782	149.972		-
2sa4w_93	-1706.0109	0.2036	0.1327	-1705.8072	-1705.8781	149.211		-
2sa4w_94	-1706.0134	0.2064	0.1355	-1705.8071	-1705.8779	149.176		-
2sa4w_95	-1706.0145	0.2075	0.1366	-1705.8070	-1705.8778	149.096		-
2sa4w_96	-1706.0115	0.2061	0.1337	-1705.8054	-1705.8778	152.311		-
2sa4w_97	-1706.0095	0.2058	0.1318	-1705.8038	-1705.8778	155.789		-
2sa4w_98	-1706.0015	0.2043	0.1242	-1705.7971	-1705.8773	168.666		-
2sa4w_99	-1706.0054	0.2050	0.1281	-1705.8004	-1705.8772	161.768		-
2sa4w_100	-1706.0096	0.2052	0.1324	-1705.8044	-1705.8772	153.241		-
2sa4w_101	-1706.0057	0.2054	0.1295	-1705.8003	-1705.8762	159.841		-
2sa4w_102	-1706.0111	0.2047	0.1354	-1705.8064	-1705.8757	145.902		-
2sa4w_103	-1706.0089	0.2051	0.1341	-1705.8038	-1705.8748	149.365		-
2sa4w_104	-1706.0004	0.2045	0.1262	-1705.7959	-1705.8742	164.863		-
2sa4w_105	-1705.9998	0.2056	0.1261	-1705.7942	-1705.8737	167.371		-
2sa4w_106	-1706.0050	0.2051	0.1322	-1705.7999	-1705.8728	153.428		-
2sa4w_107	-1705.9995	0.2045	0.1269	-1705.7950	-1705.8725	163.155		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
2sa5w_01	-1782.4570	0.2334	0.1558	-1782.2236	-1782.3011	163.271		-1780.7660740077
2sa5w_02	-1782.4572	0.2331	0.1566	-1782.2241	-1782.3007	161.167		-1780.7670394253
2sa5w_03	-1782.4569	0.2335	0.1564	-1782.2234	-1782.3005	162.272		-1780.7660573888
2sa5w_04	-1782.4555	0.2335	0.1553	-1782.2220	-1782.3002	164.735		-
2sa5w_05	-1782.4543	0.2333	0.1546	-1782.2209	-1782.2997	165.667		-
2sa5w_06	-1782.4541	0.2333	0.1556	-1782.2208	-1782.2985	163.490		-
2sa5w_07	-1782.4556	0.2335	0.1573	-1782.2221	-1782.2983	160.380		-
2sa5w_08	-1782.4577	0.2340	0.1596	-1782.2237	-1782.2981	156.568		-
2sa5w_09	-1782.4566	0.2338	0.1586	-1782.2228	-1782.2979	158.183		-
2sa5w_10	-1782.4577	0.2345	0.1599	-1782.2232	-1782.2978	157.003		-
2sa5w_11	-1782.4516	0.2322	0.1538	-1782.2193	-1782.2977	164.970		-
2sa5w_12	-1782.4513	0.2326	0.1537	-1782.2187	-1782.2976	165.951		-
2sa5w_13	-1782.4569	0.2335	0.1594	-1782.2235	-1782.2976	155.963		-
2sa5w_14	-1782.4532	0.2347	0.1564	-1782.2185	-1782.2968	164.754		-
2sa5w_15	-1782.4532	0.2337	0.1565	-1782.2195	-1782.2967	162.476		-
2sa5w_16	-1782.4536	0.2344	0.1569	-1782.2192	-1782.2967	163.034		-
2sa5w_17	-1782.4520	0.2342	0.1554	-1782.2178	-1782.2966	165.873		-
2sa5w_18	-1782.4518	0.2344	0.1553	-1782.2175	-1782.2966	166.492		-
2sa5w_19	-1782.4550	0.2338	0.1585	-1782.2212	-1782.2965	158.479		-
2sa5w_20	-1782.4557	0.2335	0.1593	-1782.2223	-1782.2965	156.202		-
2sa5w_21	-1782.4557	0.2345	0.1593	-1782.2212	-1782.2964	158.227		-
2sa5w_22	-1782.4475	0.2339	0.1512	-1782.2135	-1782.2963	174.170		-
2sa5w_23	-1782.4513	0.2326	0.1551	-1782.2186	-1782.2962	163.182		-
2sa5w_24	-1782.4550	0.2340	0.1589	-1782.2210	-1782.2960	157.975		-
2sa5w_25	-1782.4506	0.2329	0.1546	-1782.2177	-1782.2960	164.805		-
2sa5w_26	-1782.4522	0.2339	0.1562	-1782.2183	-1782.2959	163.350		-
2sa5w_27	-1782.4487	0.2321	0.1528	-1782.2166	-1782.2959	166.835		-
2sa5w_28	-1782.4523	0.2344	0.1567	-1782.2179	-1782.2956	163.502		-
2sa5w_29	-1782.4456	0.2338	0.1501	-1782.2119	-1782.2956	176.141		-
2sa5w_30	-1782.4514	0.2343	0.1559	-1782.2170	-1782.2955	165.088		-
2sa5w_31	-1782.4539	0.2349	0.1585	-1782.2190	-1782.2954	160.864		-
2sa5w_32	-1782.4481	0.2320	0.1527	-1782.2161	-1782.2954	166.803		-
2sa5w_33	-1782.4518	0.2337	0.1565	-1782.2181	-1782.2954	162.645		-
2sa5w_34	-1782.4489	0.2330	0.1536	-1782.2159	-1782.2953	167.150		-
2sa5w_35	-1782.4567	0.2344	0.1614	-1782.2223	-1782.2952	153.565		-
2sa5w_36	-1782.4547	0.2341	0.1595	-1782.2207	-1782.2952	156.943		-
2sa5w_37	-1782.4506	0.2333	0.1555	-1782.2173	-1782.2951	163.909		-
2sa5w_38	-1782.4520	0.2343	0.1570	-1782.2177	-1782.2950	162.760		-
2sa5w_39	-1782.4560	0.2340	0.1611	-1782.2220	-1782.2949	153.614		-
2sa5w_40	-1782.4482	0.2337	0.1534	-1782.2146	-1782.2948	168.947		-
2sa5w_41	-1782.4495	0.2326	0.1548	-1782.2169	-1782.2947	163.750		-
2sa5w_42	-1782.4502	0.2339	0.1555	-1782.2163	-1782.2947	165.016		-
2sa5w_43	-1782.4499	0.2338	0.1552	-1782.2161	-1782.2947	165.309		-
2sa5w_44	-1782.4537	0.2339	0.1590	-1782.2198	-1782.2947	157.615		-
2sa5w_45	-1782.4515	0.2333	0.1569	-1782.2182	-1782.2947	160.985		-
2sa5w_46	-1782.4522	0.2332	0.1576	-1782.2190	-1782.2946	159.175		-
2sa5w_47	-1782.4519	0.2330	0.1573	-1782.2189	-1782.2946	159.280		-
2sa5w_48	-1782.4491	0.2326	0.1546	-1782.2165	-1782.2945	164.344		-
2sa5w_49	-1782.4468	0.2335	0.1523	-1782.2133	-1782.2945	170.901		-
2sa5w_50	-1782.4519	0.2344	0.1574	-1782.2175	-1782.2945	162.103		-
2sa5w_51	-1782.4489	0.2335	0.1545	-1782.2154	-1782.2943	166.184		-
2sa5w_52	-1782.4508	0.2339	0.1565	-1782.2168	-1782.2942	162.926		-
2sa5w_53	-1782.4498	0.2334	0.1556	-1782.2164	-1782.2941	163.691		-
2sa5w_54	-1782.4520	0.2338	0.1579	-1782.2182	-1782.2941	159.765		-
2sa5w_55	-1782.4524	0.2350	0.1584	-1782.2174	-1782.2940	161.247		-
2sa5w_56	-1782.4520	0.2344	0.1581	-1782.2176	-1782.2938	160.500		-
2sa5w_57	-1782.4514	0.2343	0.1576	-1782.2172	-1782.2938	161.388		-
2sa5w_58	-1782.4512	0.2349	0.1575	-1782.2163	-1782.2937	162.925		-
2sa5w_59	-1782.4428	0.2325	0.1491	-1782.2103	-1782.2937	175.535		-
2sa5w_60	-1782.4502	0.2341	0.1565	-1782.2161	-1782.2937	163.291		-
2sa5w_61	-1782.4505	0.2340	0.1569	-1782.2165	-1782.2937	162.406		-
2sa5w_62	-1782.4520	0.2338	0.1584	-1782.2181	-1782.2936	158.893		-
2sa5w_63	-1782.4493	0.2339	0.1556	-1782.2154	-1782.2936	164.640		-
2sa5w_64	-1782.4498	0.2337	0.1564	-1782.2162	-1782.2935	162.768		-
2sa5w_65	-1782.4509	0.2348	0.1575	-1782.2161	-1782.2935	162.797		-
2sa5w_66	-1782.4542	0.2348	0.1609	-1782.2194	-1782.2934	155.567		-
2sa5w_67	-1782.4522	0.2331	0.1588	-1782.2190	-1782.2933	156.393		-
2sa5w_68	-1782.4456	0.2323	0.1526	-1782.2133	-1782.2930	167.791		-
2sa5w_69	-1782.4485	0.2328	0.1557	-1782.2157	-1782.2928	162.211		-
2sa5w_70	-1782.4484	0.2336	0.1556	-1782.2148	-1782.2928	164.052		-
2sa5w_71	-1782.4486	0.2338	0.1559	-1782.2148	-1782.2928	164.105		-
2sa5w_72	-1782.4519	0.2336	0.1594	-1782.2183	-1782.2925	156.251		-
2sa5w_73	-1782.4512	0.2349	0.1587	-1782.2163	-1782.2925	160.365		-
2sa5w_74	-1782.4521	0.2356	0.1595	-1782.2164	-1782.2925	160.166		-
2sa5w_75	-1782.4517	0.2344	0.1594	-1782.2174	-1782.2923	157.735		-
2sa5w_76	-1782.4518	0.2340	0.1595	-1782.2178	-1782.2923	156.766		-
2sa5w_77	-1782.4439	0.2325	0.1517	-1782.2113	-1782.2921	170.092		-
2sa5w_78	-1782.4470	0.2339	0.1551	-1782.2131	-1782.2920	165.976		-
2sa5w_79	-1782.4468	0.2335	0.1549	-1782.2133	-1782.2919	165.501		-
2sa5w_80	-1782.4438	0.2322	0.1519	-1782.2116	-1782.2919	168.974		-
2sa5w_81	-1782.4486	0.2330	0.1568	-1782.2156	-1782.2919	160.570		-
2sa5w_82	-1782.4480	0.2337	0.1562	-1782.2143	-1782.2918	163.107		-
2sa5w_83	-1782.4497	0.2330	0.1579	-1782.2167	-1782.2918	158.015		-
2sa5w_84	-1782.4486	0.2330	0.1568	-1782.2156	-1782.2918	160.417		-
2sa5w_85	-1782.4442	0.2324	0.1526	-1782.2118	-1782.2916	168.029		-
2sa5w_86	-1782.4487	0.2341	0.1571	-1782.2146	-1782.2916	162.037		-
2sa5w_87	-1782.4453	0.2324	0.1538	-1782.2128	-1782.2915	165.538		-
2sa5w_88	-1782.4456	0.2341	0.1542	-1782.2115	-1782.2914	168.182		-
2sa5w_89	-1782.4527	0.2352	0.1613	-1782.2175	-1782.2913	155.512		-
2sa5w_90	-1782.4409	0.2326	0.1496	-1782.2083	-1782.2913	174.705		-
2sa5w_91	-1782.4442	0.2326	0.1529	-1782.2115	-1782.2913	167.862		-
2sa5w_92	-1782.4515	0.2341	0.1603	-1782.2173	-1782.2912	155.346		-
2sa5w_93	-1782.4453	0.2338	0.1544	-1782.2115	-1782.2909	167.157		-
2sa5w_94	-1782.4534	0.2342	0.1625	-1782.2192	-1782.2909	150.959		-
2sa5w_95	-1782.4474	0.2349	0.1567	-1782.2125	-1782.2907	164.613		-
2sa5w_96	-1782.4437	0.2331	0.1531	-1782.2107	-1782.2906	168.247		-
2sa5w_97	-1782.4419	0.2336	0.1514	-1782.2083	-1782.2905	172.881		-
2sa5w_98	-1782.4431	0.2329	0.1526	-1782.2102	-1782.2904	168.893		-
2sa5w_99	-1782.4408	0.2326	0.1504	-1782.2082	-1782.2904	173.005		-
2sa5w_100	-1782.4420	0.2334	0.1518	-1782.2086	-1782.2903	171.818		-
2sa5w_101	-1782.4481	0.2333	0.1585	-1782.2148	-1782.2896	157.386		-
2sa5w_102	-1782.4486	0.2346	0.1592	-1782.2140	-1782.2894	158.828		-
2sa5w_103	-1782.4447	0.2337	0.1557	-1782.2111	-1782.2891	164.162		-
2sa5w_104	-1782.4378	0.2341	0.1491	-1782.2037	-1782.2888	178.954		-
2sa5w_105	-1782.4411	0.2328	0.1524	-1782.2084	-1782.2887	169.036		-
2sa5w_106	-1782.4474	0.2331	0.1588	-1782.2144	-1782.2886	156.283		-
2sa5w_107	-1782.4362	0.2330	0.1476	-1782.2032	-1782.2886	179.677		-
2sa5w_108	-1782.4380	0.2339	0.1496	-1782.2041	-1782.2885	177.577		-
2sa5w_109	-1782.4357	0.2335	0.1475	-1782.2022	-1782.2882	180.928		-
2sa5w_110	-1782.4399	0.2332	0.1520	-1782.2067	-1782.2879	170.932		-
2sa5w_111	-1782.4368	0.2330	0.1491	-1782.2038	-1782.2876	176.563		-
2sa5w_112	-1782.4325	0.2323	0.1451	-1782.2002	-1782.2873	183.355		-
2sa5w_113	-1782.4454	0.2348	0.1585	-1782.2107	-1782.2870	160.579		-
2sa5w_114	-1782.4376	0.2336	0.1509	-1782.2040	-1782.2867	174.109		-
2sa5w_115	-1782.4445	0.2344	0.1578	-1782.2100	-1782.2866	161.228		-
2sa5w_116	-1782.4389	0.2342	0.1526	-1782.2047	-1782.2863	171.765		-
2sa5w_117	-1782.4417	0.2334	0.1555	-1782.2083	-1782.2862	164.078		-
2sa5w_118	-1782.4390	0.2332	0.1529	-1782.2058	-1782.2861	168.921		-
2sa5w_119	-1782.4403	0.2340	0.1543	-1782.2062	-1782.2860	167.858		-
2sa5w_120	-1782.4375	0.2336	0.1516	-1782.2040	-1782.2859	172.550		-
2sa5w_121	-1782.4431	0.2348	0.1580	-1782.2082	-1782.2851	161.813		-
2sa5w_122	-1782.4357	0.2335	0.1541	-1782.2022	-1782.2817	167.296		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
3sa1w_01	-2176.8734	0.1680	0.0947	-2176.7054	-2176.7787	154.305		-2174.8030364993
3sa1w_02	-2176.8746	0.1683	0.0963	-2176.7063	-2176.7784	151.704		-2174.8044562447
3sa1w_03	-2176.8730	0.1687	0.0952	-2176.7043	-2176.7778	154.571		-2174.8031754287
3sa1w_04	-2176.8726	0.1688	0.0949	-2176.7038	-2176.7777	155.506		-
3sa1w_05	-2176.8760	0.1678	0.0984	-2176.7081	-2176.7776	146.072		-
3sa1w_06	-2176.8716	0.1678	0.0945	-2176.7038	-2176.7771	154.273		-
3sa1w_07	-2176.8714	0.1682	0.0946	-2176.7032	-2176.7768	154.852		-
3sa1w_08	-2176.8770	0.1686	0.1004	-2176.7084	-2176.7767	143.596		-
3sa1w_09	-2176.8718	0.1682	0.0952	-2176.7036	-2176.7766	153.640		-
3sa1w_10	-2176.8726	0.1680	0.0961	-2176.7045	-2176.7765	151.447		-
3sa1w_11	-2176.8737	0.1684	0.0973	-2176.7053	-2176.7764	149.651		-
3sa1w_12	-2176.8742	0.1682	0.0979	-2176.7060	-2176.7763	147.858		-
3sa1w_13	-2176.8689	0.1684	0.0926	-2176.7005	-2176.7763	159.466		-
3sa1w_14	-2176.8701	0.1689	0.0938	-2176.7011	-2176.7763	158.098		-
3sa1w_15	-2176.8722	0.1685	0.0960	-2176.7037	-2176.7762	152.583		-
3sa1w_16	-2176.8710	0.1683	0.0949	-2176.7027	-2176.7761	154.508		-
3sa1w_17	-2176.8705	0.1683	0.0947	-2176.7022	-2176.7757	154.845		-
3sa1w_18	-2176.8686	0.1680	0.0929	-2176.7006	-2176.7757	158.040		-
3sa1w_19	-2176.8722	0.1678	0.0966	-2176.7045	-2176.7756	149.797		-
3sa1w_20	-2176.8733	0.1680	0.0977	-2176.7053	-2176.7755	147.830		-
3sa1w_21	-2176.8703	0.1685	0.0948	-2176.7018	-2176.7755	155.208		-
3sa1w_22	-2176.8709	0.1684	0.0955	-2176.7025	-2176.7755	153.614		-
3sa1w_23	-2176.8676	0.1683	0.0921	-2176.6992	-2176.7754	160.355		-
3sa1w_24	-2176.8709	0.1684	0.0955	-2176.7025	-2176.7754	153.324		-
3sa1w_25	-2176.8720	0.1676	0.0967	-2176.7044	-2176.7752	149.171		-
3sa1w_26	-2176.8703	0.1684	0.0951	-2176.7019	-2176.7752	154.343		-
3sa1w_27	-2176.8751	0.1685	0.0999	-2176.7067	-2176.7752	144.212		-
3sa1w_28	-2176.8684	0.1684	0.0933	-2176.7000	-2176.7752	158.076		-
3sa1w_29	-2176.8705	0.1683	0.0955	-2176.7023	-2176.7751	153.181		-
3sa1w_30	-2176.8718	0.1682	0.0968	-2176.7036	-2176.7750	150.434		-
3sa1w_31	-2176.8719	0.1674	0.0970	-2176.7045	-2176.7750	148.310		-
3sa1w_32	-2176.8724	0.1685	0.0974	-2176.7039	-2176.7750	149.526		-
3sa1w_33	-2176.8707	0.1677	0.0958	-2176.7030	-2176.7749	151.224		-
3sa1w_34	-2176.8723	0.1681	0.0975	-2176.7042	-2176.7748	148.668		-
3sa1w_35	-2176.8691	0.1686	0.0943	-2176.7004	-2176.7747	156.379		-
3sa1w_36	-2176.8726	0.1677	0.0980	-2176.7049	-2176.7746	146.692		-
3sa1w_37	-2176.8675	0.1685	0.0930	-2176.6989	-2176.7745	158.978		-
3sa1w_38	-2176.8670	0.1685	0.0926	-2176.6985	-2176.7744	159.810		-
3sa1w_39	-2176.8675	0.1684	0.0932	-2176.6992	-2176.7744	158.267		-
3sa1w_40	-2176.8713	0.1679	0.0970	-2176.7034	-2176.7743	149.223		-
3sa1w_41	-2176.8710	0.1680	0.0967	-2176.7031	-2176.7743	150.009		-
3sa1w_42	-2176.8710	0.1680	0.0969	-2176.7029	-2176.7741	149.743		-
3sa1w_43	-2176.8703	0.1679	0.0964	-2176.7025	-2176.7740	150.495		-
3sa1w_44	-2176.8697	0.1686	0.0957	-2176.7011	-2176.7739	153.303		-
3sa1w_45	-2176.8701	0.1675	0.0963	-2176.7026	-2176.7738	149.781		-
3sa1w_46	-2176.8686	0.1681	0.0950	-2176.7006	-2176.7736	153.702		-
3sa1w_47	-2176.8718	0.1686	0.0983	-2176.7032	-2176.7735	147.942		-
3sa1w_48	-2176.8690	0.1676	0.0955	-2176.7014	-2176.7735	151.588		-
3sa1w_49	-2176.8665	0.1681	0.0931	-2176.6984	-2176.7734	157.973		-
3sa1w_50	-2176.8697	0.1682	0.0966	-2176.7015	-2176.7730	150.575		-
3sa1w_51	-2176.8696	0.1681	0.0968	-2176.7015	-2176.7728	150.050		-
3sa1w_52	-2176.8692	0.1679	0.0966	-2176.7013	-2176.7725	150.000		-
3sa1w_53	-2176.8708	0.1677	0.0983	-2176.7031	-2176.7725	146.234		-
3sa1w_54	-2176.8654	0.1682	0.0929	-2176.6973	-2176.7725	158.397		-
3sa1w_55	-2176.8692	0.1681	0.0967	-2176.7011	-2176.7725	150.243		-
3sa1w_56	-2176.8678	0.1684	0.0955	-2176.6994	-2176.7723	153.454		-
3sa1w_57	-2176.8665	0.1683	0.0958	-2176.6982	-2176.7707	152.594		-
3sa1w_58	-2176.8645	0.1673	0.0963	-2176.6972	-2176.7682	149.421		-
3sa1w_59	-2176.8549	0.1686	0.0906	-2176.6864	-2176.7643	164.120		-
3sa1w_60	-2176.8548	0.1686	0.0908	-2176.6862	-2176.7640	163.714		-
3sa1w_61	-2176.8550	0.1682	0.0915	-2176.6868	-2176.7635	161.458		-
3sa1w_62	-2176.8533	0.1674	0.0898	-2176.6859	-2176.7635	163.244		-
3sa1w_63	-2176.8547	0.1686	0.0919	-2176.6861	-2176.7629	161.507		-
3sa1w_64	-2176.8551	0.1686	0.0926	-2176.6864	-2176.7624	159.965		-
3sa1w_65	-2176.8548	0.1682	0.0925	-2176.6866	-2176.7623	159.302		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
3sa2w_01	-2253.3110	0.1959	0.1178	-2253.1151	-2253.1932	164.352		-2251.16800
3sa2w_02	-2253.3106	0.1960	0.1192	-2253.1146	-2253.1914	161.775		-2251.1675130784
3sa2w_03	-2253.3111	0.1957	0.1200	-2253.1154	-2253.1910	159.240		-2251.1689081992
3sa2w_04	-2253.3100	0.1964	0.1191	-2253.1136	-2253.1909	162.757		-
3sa2w_05	-2253.3098	0.1961	0.1190	-2253.1138	-2253.1908	162.154		-
3sa2w_06	-2253.3111	0.1961	0.1204	-2253.1150	-2253.1907	159.270		-
3sa2w_07	-2253.3109	0.1955	0.1206	-2253.1153	-2253.1903	157.691		-
3sa2w_08	-2253.3077	0.1958	0.1177	-2253.1119	-2253.1901	164.541		-
3sa2w_09	-2253.3121	0.1963	0.1221	-2253.1158	-2253.1901	156.311		-
3sa2w_10	-2253.3098	0.1956	0.1199	-2253.1142	-2253.1899	159.453		-
3sa2w_11	-2253.3127	0.1961	0.1229	-2253.1166	-2253.1898	154.028		-
3sa2w_12	-2253.3067	0.1958	0.1170	-2253.1109	-2253.1897	165.996		-
3sa2w_13	-2253.3051	0.1964	0.1155	-2253.1087	-2253.1896	170.251		-
3sa2w_14	-2253.3054	0.1965	0.1158	-2253.1089	-2253.1896	169.828		-
3sa2w_15	-2253.3098	0.1957	0.1202	-2253.1140	-2253.1895	158.888		-
3sa2w_16	-2253.3091	0.1952	0.1197	-2253.1140	-2253.1894	158.818		-
3sa2w_17	-2253.3073	0.1964	0.1181	-2253.1110	-2253.1892	164.654		-
3sa2w_18	-2253.3057	0.1964	0.1165	-2253.1093	-2253.1892	168.258		-
3sa2w_19	-2253.3063	0.1968	0.1171	-2253.1095	-2253.1892	167.694		-
3sa2w_20	-2253.3057	0.1950	0.1166	-2253.1107	-2253.1891	165.029		-
3sa2w_21	-2253.3100	0.1960	0.1210	-2253.1140	-2253.1890	157.829		-
3sa2w_22	-2253.3085	0.1947	0.1196	-2253.1138	-2253.1889	158.144		-
3sa2w_23	-2253.3079	0.1955	0.1190	-2253.1124	-2253.1889	160.947		-
3sa2w_24	-2253.3106	0.1971	0.1218	-2253.1135	-2253.1889	158.574		-
3sa2w_25	-2253.3046	0.1963	0.1158	-2253.1083	-2253.1887	169.240		-
3sa2w_26	-2253.3074	0.1957	0.1187	-2253.1117	-2253.1887	162.008		-
3sa2w_27	-2253.3062	0.1958	0.1175	-2253.1105	-2253.1887	164.675		-
3sa2w_28	-2253.3078	0.1963	0.1192	-2253.1115	-2253.1886	162.323		-
3sa2w_29	-2253.3081	0.1959	0.1196	-2253.1122	-2253.1885	160.667		-
3sa2w_30	-2253.3066	0.1963	0.1181	-2253.1103	-2253.1885	164.555		-
3sa2w_31	-2253.3091	0.1966	0.1208	-2253.1126	-2253.1884	159.539		-
3sa2w_32	-2253.3075	0.1959	0.1192	-2253.1116	-2253.1883	161.556		-
3sa2w_33	-2253.3067	0.1963	0.1184	-2253.1105	-2253.1883	163.901		-
3sa2w_34	-2253.3065	0.1964	0.1182	-2253.1101	-2253.1883	164.624		-
3sa2w_35	-2253.3074	0.1956	0.1192	-2253.1118	-2253.1882	160.932		-
3sa2w_36	-2253.3086	0.1957	0.1204	-2253.1129	-2253.1881	158.364		-
3sa2w_37	-2253.3066	0.1961	0.1185	-2253.1105	-2253.1881	163.272		-
3sa2w_38	-2253.3045	0.1960	0.1164	-2253.1086	-2253.1881	167.416		-
3sa2w_39	-2253.3057	0.1967	0.1176	-2253.1090	-2253.1881	166.384		-
3sa2w_40	-2253.3012	0.1965	0.1132	-2253.1047	-2253.1880	175.365		-
3sa2w_41	-2253.3062	0.1962	0.1183	-2253.1101	-2253.1880	163.919		-
3sa2w_42	-2253.3081	0.1966	0.1202	-2253.1115	-2253.1879	160.911		-
3sa2w_43	-2253.3103	0.1953	0.1226	-2253.1150	-2253.1877	152.958		-
3sa2w_44	-2253.3069	0.1965	0.1193	-2253.1104	-2253.1877	162.663		-
3sa2w_45	-2253.3059	0.1954	0.1183	-2253.1105	-2253.1876	162.422		-
3sa2w_46	-2253.3039	0.1967	0.1163	-2253.1072	-2253.1876	169.205		-
3sa2w_47	-2253.3044	0.1953	0.1170	-2253.1092	-2253.1874	164.763		-
3sa2w_48	-2253.3074	0.1968	0.1201	-2253.1106	-2253.1873	161.479		-
3sa2w_49	-2253.3079	0.1962	0.1207	-2253.1117	-2253.1872	158.941		-
3sa2w_50	-2253.3035	0.1961	0.1164	-2253.1075	-2253.1872	167.727		-
3sa2w_51	-2253.3080	0.1964	0.1208	-2253.1115	-2253.1872	159.209		-
3sa2w_52	-2253.3046	0.1962	0.1175	-2253.1084	-2253.1871	165.638		-
3sa2w_53	-2253.3060	0.1956	0.1189	-2253.1104	-2253.1871	161.435		-
3sa2w_54	-2253.3017	0.1963	0.1148	-2253.1054	-2253.1870	171.590		-
3sa2w_55	-2253.3046	0.1959	0.1177	-2253.1087	-2253.1869	164.684		-
3sa2w_56	-2253.3033	0.1961	0.1167	-2253.1072	-2253.1867	167.240		-
3sa2w_57	-2253.3047	0.1961	0.1182	-2253.1086	-2253.1865	163.930		-
3sa2w_58	-2253.3101	0.1967	0.1237	-2253.1134	-2253.1864	153.543		-
3sa2w_59	-2253.3042	0.1959	0.1179	-2253.1083	-2253.1863	164.145		-
3sa2w_60	-2253.3053	0.1973	0.1191	-2253.1080	-2253.1861	164.458		-
3sa2w_61	-2253.3076	0.1955	0.1214	-2253.1120	-2253.1861	155.969		-
3sa2w_62	-2253.3067	0.1948	0.1207	-2253.1120	-2253.1860	155.936		-
