Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
1sa		-700.1261	0.0456	0.0111	-700.0805	-700.1150	72.540		-699.4600551261
1w		-76.4096	0.0255	0.0041	-76.3841	-76.4055	45.069		-76.3420634988
2sa0w		-1400.2821	0.0931	0.0420	-1400.1890	-1400.2401	107.471		-1398.9494445578
3sa0w		-2100.4371	0.1407	0.0712	-2100.2964	-2100.3659	146.277		-2098.4382604462
4sa0w		-2800.5999	0.1874	0.1092	-2800.4126	-2800.4907	164.429		-2797.9336403248
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
2sa3w_07	-1629.5833	0.1768	0.1076	-1629.4065	-1629.4756	145.531		-
2sa3w_08	-1629.5852	0.1767	0.1096	-1629.4085	-1629.4756	141.334		-
2sa3w_09	-1629.5848	0.1770	0.1092	-1629.4078	-1629.4756	142.703		-
2sa3w_10	-1629.5825	0.1765	0.1070	-1629.4060	-1629.4755	146.357		-
2sa3w_11	-1629.5848	0.1766	0.1094	-1629.4082	-1629.4754	141.434		-
2sa3w_12	-1629.5850	0.1767	0.1096	-1629.4084	-1629.4754	141.084		-
2sa3w_13	-1629.5815	0.1766	0.1061	-1629.4049	-1629.4754	148.398		-
2sa3w_14	-1629.5823	0.1766	0.1069	-1629.4057	-1629.4754	146.652		-
2sa3w_15	-1629.5859	0.1773	0.1106	-1629.4086	-1629.4753	140.386		-
2sa3w_16	-1629.5826	0.1766	0.1073	-1629.4060	-1629.4753	145.900		-
2sa3w_17	-1629.5859	0.1772	0.1109	-1629.4087	-1629.4751	139.669		-
2sa3w_18	-1629.5835	0.1768	0.1085	-1629.4067	-1629.4750	143.670		-
2sa3w_19	-1629.5819	0.1766	0.1070	-1629.4052	-1629.4748	146.410		-
2sa3w_20	-1629.5819	0.1766	0.1071	-1629.4053	-1629.4748	146.219		-
2sa3w_21	-1629.5818	0.1769	0.1071	-1629.4049	-1629.4747	146.826		-
2sa3w_22	-1629.5852	0.1772	0.1105	-1629.4080	-1629.4747	140.238		-
2sa3w_23	-1629.5834	0.1768	0.1087	-1629.4065	-1629.4746	143.324		-
2sa3w_24	-1629.5835	0.1771	0.1090	-1629.4064	-1629.4745	143.274		-
2sa3w_25	-1629.5869	0.1778	0.1126	-1629.4091	-1629.4743	137.114		-
2sa3w_26	-1629.5838	0.1770	0.1097	-1629.4068	-1629.4741	141.727		-
2sa3w_27	-1629.5878	0.1782	0.1138	-1629.4096	-1629.4741	135.624		-
2sa3w_28	-1629.5817	0.1770	0.1077	-1629.4047	-1629.4740	145.846		-
2sa3w_29	-1629.5817	0.1767	0.1078	-1629.4050	-1629.4739	144.923		-
2sa3w_30	-1629.5841	0.1771	0.1103	-1629.4070	-1629.4738	140.586		-
2sa3w_31	-1629.5826	0.1769	0.1088	-1629.4057	-1629.4738	143.254		-
2sa3w_32	-1629.5815	0.1766	0.1078	-1629.4049	-1629.4737	144.716		-
2sa3w_33	-1629.5821	0.1767	0.1085	-1629.4054	-1629.4736	143.588		-
2sa3w_34	-1629.5796	0.1770	0.1060	-1629.4026	-1629.4736	149.297		-
