#CLUSTER  ddG_298.15K_[kcal/mol] ddH_298.15K_[kcal/mol] ddS_298.15K_[cal/mol/K]
3am6dma9sa                -238.39463962987065 -453.8209877512418  -722.5434068310919 
4am5dma9sa                -238.79119642544538 -452.80290178442374 -717.798692800671  
1am8dma9sa                -240.74802688043565 -460.65593240363523 -737.574560866242  
2am7dma9sa                -242.7884030858986  -460.3262674272992  -729.6254248414559 
12sa12tma                 -246.49283567233942 -543.0330139617436  -994.6006315283919 
10am1isopoohBetaFour10sa  -254.05324281658977 -501.5270602023229  -830.031250666108  
10am1nta10sa              -254.83295294456184 -495.1419661762193  -806.0003797827271 
9ma9sa                    -254.91298467619345 -472.7362373834476  -730.5827694317961 
10am1homTheo10sa          -256.2426321581006  -500.4730998892337  -819.1530026165356 
10am10sa                  -256.26613214612007 -487.7016380056739  -776.2385112671811 
10am1fa10sa               -256.58115747664124 -500.51969198603183 -818.173853796512  
9am1dma10sa               -257.2753138449043  -491.0536586306989  -784.0963894349155 
8am2dma10sa               -258.8422013865784  -493.77626864705235 -787.9726805645818 
10am1isopoohBetaOne10sa   -260.1427390044555  -505.1809160457924  -821.8620939684389 
10am1iepoxBetaTrans10sa   -260.5549018001184  -505.18654474802315 -820.4985508907599 
10dma1iepoxBetaTrans10sa  -260.90959786996245 -522.2862336738035  -876.6613216607082 
10am1pinonic10sa          -262.7121065137908  -509.56978497840464 -827.9647316466883 
10dma1homTheo10sa         -262.72313801571727 -525.7847323240712  -882.312700180044  
6am4dma10sa               -262.9729218604043  -501.4495949568227  -799.8545966692943 
10dma1fa10sa              -263.12455795984715 -522.100950862281   -868.6108675261784 
10am1pinic10sa            -263.84388974960893 -510.6183362165466  -827.6855491112194 
10dma1isopoohBetaFour10sa -264.3051672047004  -527.4548064591363  -882.6080043756838 
10dma10sa                 -264.32532887533307 -513.1605830453336  -834.5973005017612 
10dma1nta10sa             -264.445589825511   -523.293012036942   -868.1782977069936 
10dma1pinonic10sa         -264.93079396989197 -527.7887761043385  -881.6297816040252 
7am3dma10sa               -265.1438688887283  -501.6649163365364  -793.2954171471409 
13sa13tma                 -265.3026585241314  -587.2243730833288  -1079.730721316787 
10am2pinonic10sa          -265.62546489201486 -529.1332201091573  -883.8093416636259 
1am9dma10sa               -265.7264803238213  -511.06806134060025 -822.8795054231766 
10dma1isopoohBetaOne10sa  -266.8207577057183  -528.6535819154233  -878.1914061181957 
10dma1pinic10sa           -267.0935771856457  -528.0588973220438  -875.2817621556267 
10am2pinic10sa            -267.6050862567499  -532.3677345216274  -888.0182946218349 
4am6dma10sa               -270.1475276099518  -511.0421266434714  -807.9643178991784 
5am5dma10sa               -270.2806649217382  -509.55329419951886 -802.5242257329198 
3am7dma10sa               -273.48815905768424 -516.4371276106685  -814.8546649445584 
2am8dma10sa               -277.028223506175   -521.8692516554147  -821.2006428772432 
11am11sa                  -281.9944328498095  -537.129710463807   -855.7278931389906 
14sa14tma                 -284.8659995282069  -631.1640784041956  -1161.4894478464869
10ma1nta10sa              -288.2378053236753  -544.5998513028026  -859.8424943967468 
10ma10sa                  -288.36902247555554 -531.5853449562564  -815.7515427859805 
11dma11sa                 -288.532982734032   -562.6654806965962  -919.4446719336578 
1iepoxBetaTrans10ma10sa   -291.01898019295186 -549.4857653602958  -866.901845268724  
1fa10ma10sa               -291.1752096153796  -547.8757934635505  -860.9779770180112 
1isopoohBetaFour10ma10sa  -291.33945225086063 -550.7848785454407  -870.1842236981722 
1isopoohBetaOne10ma10sa   -293.1714786347002  -552.7000490771607  -870.4631115818885 
10ma1pinic10sa            -295.3896076148376  -556.0317825321108  -874.1981382427975 
1homTheo10ma10sa          -296.1298478031531  -557.1989569356665  -875.6301036667116 
10ma1pinonic10sa          -296.76776107773185 -557.1773394579068  -873.418005635016  
15sa15tma                 -303.2114952597767  -676.3529978704173  -1251.5227111684726
12am12sa                  -313.07431131321937 -592.3499430883676  -936.6950587822237 
12dma12sa                 -320.28015416301787 -620.0110157821327  -1005.3019832937114
11ma11sa                  -322.7344689955935  -592.4762719925493  -904.7184403692102 
13am13sa                  -337.16070021595806 -643.4401831431314  -1027.2664403904414
13dma13sa                 -348.1372713446617  -674.1035062894225  -1093.2958355575051
12ma12sa                  -352.50568995438516 -647.9381936723366  -990.8854728142213 
14am14sa                  -368.94764278642833 -699.3654593154788  -1108.2267869502602
14dma14sa                 -372.22741271555424 -723.7660954454914  -1179.0662246505788
13ma13sa                  -383.18714793678373 -705.1333978641778  -1079.8130133419422
15am15sa                  -394.02367922011763 -750.6124747190624  -1196.0046594794903
15dma15sa                 -402.28461188916117 -780.2737006749958  -1267.781300218213 
14ma14sa                  -415.37625717837363 -763.0325788483024  -1166.0450164983736
15ma15sa                  -447.52706363704056 -823.2169186808169  -1260.0699481576726
