# CLUSTER  dG
10w              -763.3617791102652
1am              -56.46355011211899
1am1b            -755.418082673134
1am1b1sa         -1454.9215524699546
1am1b2sa         -2154.4157457437573
1am1b3sa         -2853.895658498241
1am1dma          nan
1am1dma1eda3sa   nan
1am1dma1ma3sa    nan
1am1dma1sa       nan
1am1dma2sa       nan
1am1dma3sa       nan
1am1dma3sa1tma   nan
1am1dma4sa       nan
1am1eda          nan
1am1eda1ma3sa    nan
1am1eda1sa       nan
1am1eda2sa       nan
1am1eda3sa1tma   nan
1am1ma           nan
1am1ma1sa        nan
1am1ma2sa        nan
1am1ma3sa        nan
1am1ma3sa1tma    nan
1am1p            -56.785040652709995
1am1p1sa         -756.2596565879131
1am1sa           -755.925331300026
1am1sa1tma       nan
1am1tma          nan
1am2dma1sa       nan
1am2dma2sa       nan
1am2dma3sa       nan
1am2dma4sa       nan
1am2sa           -1455.3995628546231
1am2sa1tma       nan
1am3dma1sa       nan
1am3dma2sa       nan
1am3dma3sa       nan
1am3dma4sa       nan
1am3sa           -2154.8691142406897
1am4sa           nan
1am5sa           nan
1b               -698.955639334035
1b1dma           -833.82580057288
1b1dma1sa        -1533.342932634538
1b1dma2sa        -2232.831656490628
1b1dma3sa        -2932.305866470125
1b1dma4sa        -3631.780151702605
1b1gd            -903.993639847658
1b1gd1sa         -1603.5074981354628
1b1gd2sa         -2302.996707070881
1b1gd3sa         -3002.4812593593133
1b1gd4sa         -3701.9535717090807
1b1homJ          nan
1b1homJ1sa       nan
1b1homJ2sa       nan
1b1sa            -1398.460569925917
1b2dma           -968.697114714541
1b2dma1sa        -1668.2153012466829
1b2dma2sa        -2367.719002963856
1b2dma3sa        -3067.206916737678
1b2dma4sa        -3766.6929844163915
1b2dma5sa        -3766.6929844163915
1b2gd            -1109.0246868256022
1b2gd1sa         nan
1b2gd2sa         -2508.0647783770646
1b2gd3sa         -3207.547348134192
1b2gd4sa         -3907.019983347619
1b2gd5sa         nan
1b2homJ          nan
1b2homJ1sa       nan
1b2sa            -2097.940017078735
1b3dma2sa        -2502.600474823566
1b3dma3sa        -3202.095531512513
1b3dma4sa        -3901.5915716076133
1b3dma5sa        -3901.5915716076133
1b3gd            nan
1b3gd1sa         nan
1b3gd2sa         -2713.0970068782676
1b3gd3sa         -3412.6094160535526
1b3gd4sa         -4112.090194816669
1b3gd5sa         nan
1b3gd6sa         nan
1b3sa            -2797.4131709561225
1b4dma3sa        -3336.97621656137
1b4dma4sa        nan
1b4gd1sa         nan
1b4gd2sa         nan
1b4gd3sa         -3617.6676509404297
1b4gd4sa         -4317.161143870623
1b4gd5sa         nan
1b4sa            -3496.873409799411
1b5gd2sa         nan
1b5gd3sa         nan
1b5gd4sa         nan
1b6gd3sa         nan
1bda             nan
1bda1sa          nan
1diAAmda         nan
1diAAmda1sa      nan
1diABmda         nan
1diABmda1sa      nan
1dma             -134.86981877545296
1dma1eda         nan
1dma1eda1ma3sa   nan
1dma1eda1sa      nan
1dma1eda2sa      nan
1dma1eda3sa1tma  nan
1dma1ma          nan
1dma1ma1sa       nan
1dma1ma2sa       nan
1dma1ma3sa1tma   nan
1dma1p           -135.221840950399
1dma1p1sa        -834.6893518214449
1dma1p2sa        -1534.152993924806
1dma1sa          nan
1dma1sa1tma      nan
1dma1tma         nan
1dma2sa          nan
1dma2sa1tma      nan
1dma3sa          -2233.2932693969487
1dma4sa          nan
1dma5sa          nan
1eda             nan
1eda1ma          nan
1eda1ma1sa       nan
1eda1ma2sa       nan
1eda1ma3sa1tma   nan
1eda1sa          nan
1eda1sa1tma      nan
1eda1tma         nan
1eda2sa          nan
1eda2sa1tma      nan
1eda3sa          nan
1eda4sa          nan
1fa              -189.506042925395
1fa1gd           -394.53744943335994
1fd              -114.33685971985902
1fd1gd           -319.351038147171
1gd              -205.02046228864697
1gd1ml           -320.55397981286205
1gd1p1sa         -904.8604182381032
1gd1p2sa         -1604.3288505661926
1gd1pxfa         -469.56619981471795
1gd1pxml         -395.59855748114904
1gd1sa           -904.5044947186101
1gd1w            -281.35852321499897
1gd2sa           -1603.983646858347
1gd3sa           -2303.4552481363103
1gd4sa           -3002.9214753085357
1homJ            nan
1ma              -95.663942704425
1ma1sa           nan
1ma1sa1tma       nan
1ma1tma          nan
1ma2sa           nan
1ma2sa1tma       nan
1ma3sa           nan
1ma4sa           nan
1mda             nan
1mda1sa          nan
1ml              -115.53280742456398
1msa             -663.531779273254
1msa1sa          -1362.996878084221
1msa1sa1w        -1439.3400028290482
1msa1sa2w        -1515.6774909768928
1msa1sa3w        -1592.015955720527
1msa1w           -739.8722522894419
1msa2sa          -2062.460023213752
1msa2sa1w        -2138.8009304315888
1msa2sa2w        -2215.1413401986906
