#CLUSTER   ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
2am1p1sa   -34.075669289333746  -51.83950518158963   -59.58019752551003
4am1p      -35.72059231775347   -58.691652540437644  -77.04531350879085
3gd1sa     -35.9655873986776    -72.12032283347799   -121.26357683954602
5am1p      -37.201859821449034  -69.23895359114977   -107.4529390229741
1gd2sa     -37.20189459831454   -62.19109627767466   -83.81419312214926
2dma1p1sa  -37.57382763456553   -58.780541492742486  -71.12766680597306
1b1dma1sa  -40.509447909658775  -66.07805883779656   -85.75754126472555
1b2dma1sa  -41.43492030224297   -79.12641795503441   -126.417902574658
1dma3sa    -41.58679978479631   -78.96769503154792   -125.37613699970134
2am3sa     -41.694935695733875  -87.89219199004583   -154.9463568483781
4gd1sa     -42.361636774207     -92.45341234881198   -168.00863852050287
3am1p1sa   -42.6478729021037    -70.0589297466795    -91.93713514862729
1b1gd1sa   -46.74222675152123   -68.7930186665617    -73.95871848164404
4am1p1sa   -47.67808684578631   -84.56300934695173   -123.71263626072047
2am1p2sa   -47.70424390712287   -78.52750096248928   -103.38171073366719
1gd3sa     -48.51048462605104   -86.21265907189809   -126.45371271485692
1b2sa      -50.0735967742512    -76.84907366964035   -89.8053895535272
3dma1p1sa  -51.22843754698988   -85.53786638763268   -115.0743881966572
2dma1p2sa  -52.17204662086442   -86.36813185596839   -114.69423187897671
3dma2sa    -53.01656088163145   -102.13304430502467  -164.7374926150561
3am3sa     -53.16272884584032   -109.38014106289484  -188.55412448960504
5am1p1sa   -53.229240247863345  -100.20922835904639  -157.5716522260431
2am4sa     -54.28684987616725   -113.87791505269706  -199.8694119615676
1gd4sa     -56.706205499358475  -107.50978274201043  -170.39603301518474
4am3sa     -56.97408266668208   -126.32023294363171  -232.5881277101798
4dma1p1sa  -57.36857215699274   -103.56365129176993  -154.93905461883935
1am1b2sa   -57.99308385106269   -95.96335188881494   -127.35290302892444
2dma3sa    -61.251370701007545  -110.97399635589682  -166.77050362065117
1b3sa      -62.55051781539805   -102.53459519753233  -134.10725266496854
5dma1p1sa  -62.71793577959761   -120.99318982393015  -195.45615980095727
1b1dma2sa  -62.83360875758808   -101.58281431812793  -129.96547228019006
3am1b2sa   -63.93873093498405   -122.48740484798327  -196.37321453579835
2am1b2sa   -64.09508572460618   -112.49592744931579  -162.33721859935451
2gd2sa     -65.19399317586794   -100.87661323253997  -119.6800941017714
3am1p2sa   -65.89372426783666   -107.30947074934375  -138.9090943535312
1b4sa      -66.57744667492807   -119.06999183818698  -176.06085917724414
3am4sa     -67.82280020019971   -139.4279335406609   -240.16479402916187
2dma4sa    -70.73005993803963   -135.188429787755    -216.19443182743223
1b1gd2sa   -72.28982168319635   -112.30537002487108  -134.2128067799776
1b2dma2sa  -73.5284351297887    -125.30203146778513  -173.64949299969203
4am1p2sa   -74.26390853489283   -124.62162235926371  -168.90059977916138
1am1b3sa   -74.82760958722793   -125.4753313169349   -169.87329106141675
3gd2sa     -75.10365931829438   -126.5977814400103   -172.71213188605415
1b1dma3sa  -76.03119219001383   -128.13542777346447  -174.75846246388102
3am1p3sa   -76.3679668281693    -131.7102814442478   -185.6190327547052
3dma1p2sa  -77.79057665821165   -124.19906503811944  -155.65483273391777
3dma3sa    -79.32854692824185   -142.43035989860073  -211.64451776052283
1b3dma2sa  -79.67659335839562   -143.10707082552835  -212.74686388376028
5am1p2sa   -79.71064898290206   -140.58050738240127  -204.1585054489463
3am5sa     -80.03420580178499   -164.9318061536178   -284.74794684545185
2gd3sa     -80.39652730198577   -131.47840943094343  -171.32947217575085
4am4sa     -80.79826665855944   -160.84960929048248  -268.4935188049032
2am1b3sa   -83.08775332174264   -144.9423834194895   -207.46144590794358
5am4sa     -86.09450799366459   -180.00443137809634  -314.97542640928305
4gd2sa     -86.53568133478984   -151.0582210982684   -216.409658773375
