# CLUSTER  dG
1am3aq1sa            -984.9428018533109
1am3aq2sa            -1684.410994519934
1am3aq3sa            -2383.8741923923585
1am3dma1p2sa         -1860.4632496534264
1am3dma1p3sa         -2559.9381904145826
1am3dma1p4sa         -3259.3998093087766
1am3dma2sa           -1860.0544413739733
1am3dma3sa           -2559.5438019376397
1am3dma4sa           -3259.0233074129155
1am3sa               -2154.854800939233
1am3sa1tma           -2328.979420461763
1am3sa2tma           -2503.088573223149
1am3sa3tma           -2677.2490615302004
1am4aq               -361.803829929228
1am4aq1p             -362.185123069462
1am4aq1p1sa          -1061.643205512779
1am4aq1sa            -1061.2805614312338
1am4aq2sa            -1760.7468777615338
1am4aq3sa            -2460.213103340316
1am4sa               -2854.312484821686
1am4sa2tma           -3202.5699542774323
1am4sa3tma           -3376.6741764862677
1am5aq1p             -438.52616341918593
1am5aq1sa            -1137.6194096980528
1am5aq2sa            -1837.0868738418972
1am5aq3sa            -2536.54999156719
1am5sa               -3553.769854851145
1aq1dma1p            -211.57344558529996
1aq1dma1p1sa         -911.0364698492041
1aq2dma1p1sa         -1045.946855616239
1b                   -698.953115059932
1b1dma               -833.821883121063
1b1dma1sa            -1533.3345146190914
1b1dma1sa1w          -1609.6696591437928
1b1dma1sa2w          -1686.008877157026
1b1dma1sa3w          -1762.349471875023
1b1dma1sa4w          -1838.687893660786
1b1dma1sa5w          -1915.025813913804
1b1dma1w             -910.1663505372561
1b1dma2sa            -2232.819282893969
1b1dma2sa1w          -2309.154437831553
1b1dma2sa2w          -2385.49490700711
1b1dma2sa3w          -2461.8220722938054
1b1dma2sa4w          -2538.162291899131
1b1dma2sa5w          -2614.4981547680227
1b1dma2w             -986.5080611833681
1b1dma3sa            -2932.287631554309
1b1dma3sa1w          -3008.63795207496
1b1dma3sa2w          -3084.9613676299496
1b1dma3sa3w          -3161.293431374492
1b1dma3sa4w          -3237.640981896707
1b1dma3sa5w          -3313.9767410695813
1b1dma3w             -1062.847981143378
1b1dma4sa            -3631.7600249630123
1b1dma4sa1w          -3708.101011715977
1b1dma4sa2w          -3784.4310771012697
1b1dma4sa3w          -3860.7672155296355
1b1dma4sa4w          -3937.116566070499
1b1dma4sa5w          -4013.4568376793645
1b1dma4w             -1139.190802157521
1b1dma5sa            -4331.230865326701
1b1dma5w             -1215.5269338921773
1b1sa                -1398.453315075928
1b1sa1w              -1474.793202134809
1b1sa2w              -1551.129303050594
1b1sa3w              -1627.4660199413809
1b1sa4w              -1703.8055732869948
1b1sa5w              -1780.1441784663364
1b1w                 -775.297602940847
1b2dma               -968.6907886741781
1b2dma1sa            -1668.2011572006973
1b2dma1sa1w          -1744.5362285377669
1b2dma1sa2w          -1820.8696387577559
1b2dma1sa3w          -1897.2191958060241
1b2dma1sa4w          -1973.5620779293067
1b2dma1sa5w          -2049.9063479865567
1b2dma2sa            -2367.7042741771256
1b2dma2sa1w          -2444.0394879336254
1b2dma2sa2w          -2520.382255172539
1b2dma2sa3w          -2596.7117020888445
1b2dma2sa4w          -2673.049536756265
1b2dma2sa5w          -2749.392109875026
1b2dma3sa            -3067.1874204049964
1b2dma3sa1w          -3143.522532093959
1b2dma3sa2w          -3219.857300515847
1b2sa                -2097.929617156815
1b2sa1w              -2174.2686087078946
1b2sa2w              -2250.611092326879
1b2sa3w              -2326.945068502999
1b2sa4w              -2403.275950920956
1b2sa5w              -2479.617146423292
1b2w                 -851.6391880068841
1b3dma2sa            -2502.5836364924517
1b3dma3sa            -3202.0717936664796
1b3sa                -2797.397348528344
1b3sa1w              -2873.734781749415
1b3sa2w              -2950.077410867984
1b3sa3w              -3026.4147053809997
1b3sa4w              -3102.746129267914
1b3sa5w              -3179.08105360188
1b3w                 -927.9813008680788
1b4dma3sa            -3336.95327790149
1b4sa                -3496.855499340295
1b4w                 -1004.319420823668
1b5sa                -4196.32524723629
1b5w                 -1080.6579152733293
1b6sa                -4895.782064714644
1bda                 -190.138164801598
1bda1sa              -889.604511095539
1ca                  -651.1346864187849
1ca1sa               -1350.599754423911
1ca2sa               -2050.057695294565
1diAAmda             -268.551977967212
1diAAmda1sa          -968.021502200314
1diABmda             -268.548856951841
1diABmda1sa          -968.0211493509199
1dma                 -134.869316903071
1dma1eda             -325.000302347988
1dma1eda1fa          -514.5147992000951
1dma1eda1fa1msa      -1178.0317266621132
1dma1eda1fa1msa1sa   -1877.5688932671071
1dma1eda1fa1sa       -1214.000522719585
1dma1eda1fa2msa      -1841.640418790038
1dma1eda1fa2sa       -1913.4915531792574
1dma1eda1ma3sa       nan
1dma1eda1msa         -988.5566290367418
