#CLUSTER             ddG_298.15K_[Eh]       ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
1ma2w                5.327086803692509      -12.380949280923232  -59.39304405372927
1sua2w               5.165462085918989      -15.295235553727252  -68.62551614858802
1am1dma              5.099646143993596      -2.46148468850879    -25.36015707702107
1am1eda              5.030278823032859      -4.027559819762246   -30.380139670512904
1dma2w               4.747143914137268      -12.989508454920724  -59.48902354205289
1am1tma              4.566479173852713      -2.7948598747025244  -24.690052150131407
1dma1sua1w           4.505489529808983      -18.073606158359325  -75.7306580183373
1sua1w               4.261979669274297      -5.787403543057735   -33.705796452427414
1homF1w              3.901963251933921      -7.408202725273441   -37.93448256645873
2am                  3.6836122904351214     -1.69396058395796    -18.036467799464134
1fa2tma              3.6299761478730943     -17.20870590634877   -69.89328208681958
2eda1fa1msa          3.2117563858046196     -34.239248517900705  -125.61128594300352
1b2dma               2.9971693325205706     -19.67498931643786   -76.04279271846806
2am1b                2.8786941537400708     -14.968890003568958  -59.86109058323041
1am1homF             2.817964071116876      -6.432649067195598   -31.0267084966777
2am1nta              2.7694502439990174     -16.342778099759016  -64.10272796812748
1am1fa1tma           2.7179929431149503     -16.188162849241053  -63.411557244544056
1fa1ma1tma           2.568293781601824      -17.87476866011275   -68.56636740491713
1dma1w               2.559807037934661      -5.838654162522289   -28.168576892579985
2fa2tma              2.5075240606965963     -31.094720585242612  -112.70248078507478
1dma1sua3w           2.364960838574916      -40.49751640687464   -143.76145311233847
1dma1sua2w           2.2677597783040255     -30.188589516008506  -108.85912894272903
1dma1homF            2.2610847931937315     -9.532536354556214   -39.555999153637956
1ma1w                2.16036618387443       -5.3853004978227546  -25.308290061104508
2nta                 2.1237137496937066     -8.777036997082178   -36.56129715509584
1eda1fa1ma           1.856442381234956      -20.82193121198361   -76.06363774357496
1dma1fa1tma          1.7608355808042688     -18.911267560892156  -69.33457367680896
1am1b                1.6519370016176254     -8.36985535104759    -33.61325625552929
1fa2ma               1.59139994753059       -18.476693470729515  -67.30871513762023
1sa6w                1.5683754445635714     -59.27945904160151   -204.0846368823966
1eda1fa1tma          1.5487671731825685     -19.96650979849801   -72.16259256004767
2am1fa               1.4887780600547558     -16.56869176471082   -60.56505056118982
1am2nta              1.3898921789950691     -19.226795842288993  -69.14871045248543
2dma1fa              1.35398493160028       -19.86720794822031   -71.17622968267948
2homF                1.3416276031639427     -16.242405306198634  -58.97713536459881
