Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-9
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/r2...
1msa1am1dma-15_6    -855.935044456542 
1msa1am1dma-27_4    -855.912581222763 
1msa1am1dma-10_10   -855.9161894724   
1msa1am1dma-19_8    -855.923302285259 
1msa1am1dma-7_10    -855.94249205734  
1msa1am1dma-20_9    -855.925289851536 
1msa1am1dma-15_1    -855.960803178514 
1msa1am1dma-27_3    -855.923874699628 
1msa1am1dma-7_4     -855.93373651794  
1msa1am1dma-19_1    -855.961189325583 
1msa1am1dma-20_7    -855.920289971528 
1msa1am1dma-12_5    -855.92441531429  
1msa1am1dma-23_11   -855.920173435914 
1msa1am1dma-15_8    -855.934888522619 
1msa1am1dma-7_3     -855.938315734209 
1msa1am1dma-19_6    -855.929578469387 
1msa1am1dma-12_2    -855.924083333598 
1msa1am1dma-10_4    -855.940249337306 
1msa1am1dma-29_2    -855.928923230598 
1msa1am1dma-22_6    -855.929466457131 
1msa1am1dma-5_5     -855.948214514952 
1msa1am1dma-14_11   -855.929563040847 
1msa1am1dma-31_3    -855.918267210843 
1msa1am1dma-31_10   -855.920574491884 
1msa1am1dma-17_9    -855.922653167033 
1msa1am1dma-31_4    -855.917980013718 
1msa1am1dma-2_8     -855.944019196945 
1msa1am1dma-10_3    -855.927131290996 
1msa1am1dma-3_11    -855.950757574436 
1msa1am1dma-29_5    -855.919476547692 
1msa1am1dma-22_1    -855.956615610291 
1msa1am1dma-5_2     -855.935006519942 
1msa1am1dma-25_5    -855.917865562759 
1msa1am1dma-17_7    -855.915854687657 
1msa1am1dma-9_2     -855.939341650839 
1msa1am1dma-2_6     -855.95459162749  
1msa1am1dma-19_11   -855.923230277958 
1msa1am1dma-22_8    -855.932654337396 
1msa1am1dma-25_2    -855.919123595107 
1msa1am1dma-27_10   -855.911092612957 
1msa1am1dma-9_5     -855.938049422842 
1msa1am1dma-2_1     -855.975332380658 
1msa1am1dma-18_8    -855.92422846317  
1msa1am1dma-1_7     -855.945411460613 
1msa1am1dma-5_10    -855.940532815609 
1msa1am1dma-26_4    -855.916207289826 
1msa1am1dma-14_6    -855.922332992867 
1msa1am1dma-26_3    -855.922556647214 
1msa1am1dma-14_1    -855.962579835359 
1msa1am1dma-12_10   -855.9276402387   
1msa1am1dma-21_9    -855.917934688925 
1msa1am1dma-8_10    -855.944982725593 
1msa1am1dma-6_4     -855.930923990133 
1msa1am1dma-13_5    -855.924613089228 
1msa1am1dma-21_7    -855.923479062455 
1msa1am1dma-21_11   -855.917521741006 
1msa1am1dma-18_1    -855.960484636718 
1msa1am1dma-6_3     -855.943071164286 
1msa1am1dma-13_2    -855.911686951102 
1msa1am1dma-18_6    -855.921122069696 
1msa1am1dma-1_9     -855.958310267304 
1msa1am1dma-14_8    -855.938615941105 
1msa1am1dma-30_3    -855.905678715734 
1msa1am1dma-1_11    -855.939720690745 
1msa1am1dma-23_6    -855.932474641941 
1msa1am1dma-28_2    -855.910279261009 
1msa1am1dma-11_4    -855.920319835195 
1msa1am1dma-4_5     -855.919556428152 
1msa1am1dma-28_10   -855.918988911044 
1msa1am1dma-23_1    -855.958007626243 
1msa1am1dma-28_5    -855.921733126113 
1msa1am1dma-11_3    -855.93259514248  
1msa1am1dma-16_11   -855.933633640093 
