#CLUSTER  ddG_298.15K_[kcal/mol] ddH_298.15K_[kcal/mol] ddS_298.15K_[cal/mol/K]
1am1p                        23.35150152083952   21.967670956626534  -4.641390455177969 
4ma                          11.208033179078484  -19.796004968928173 -103.98805348990821
1mb                          10.391298956354149  9.01194392668549    -4.626379438659924 
1am1mb                       10.23258628003532   0.8017481759889051  -31.631185993771368
1am1p1sa                     9.615775195255992   1.5773440355842467  -26.961030218564915
4put                         8.616782053723      -33.9115023619961   -142.64056486888774
4dma                         8.485717972449493   -22.252660417521838 -103.09702629566999
3ma                          7.931943340372527   -11.906439604441402 -66.538262434379   
3put                         7.774979654815979   -19.780428698810283 -92.42129248216762 
3dma                         7.590292371925898   -13.065816513990285 -69.28092867998544 
4am                          7.585685717465822   -17.030750943813473 -82.56393312523457 
2tma                         5.872711639822228   -3.6619864390813746 -31.979534056415446
1am1msa1p                    5.343399452191079   -4.063779684511246  -31.551833428465102
1dma1p                       5.108600233637844   4.387400499195792   -2.418915761979335 
1dma1ma                      5.052399967054953   -3.6122525982355    -29.061387104833535
2dma                         5.038418502110289   -4.358216049527982  -31.516466717009138
3am                          4.733151240856387   -10.712238325038925 -51.804090444071335
1ma1tma                      4.608738454116974   -4.282157790919882  -29.820212124810205
1eda1tma                     4.467122842499521   -5.551489937555743  -33.60259191705107 
1fd1gd                       4.44398364481458    -4.671186213308829  -30.572429509085076
2ma                          4.161972292844439   -3.5355625420925207 -25.8176583429031  
1eda1ma                      4.0937530652445275  -6.09573389783327   -34.17570673506835 
1dma1tma                     4.072918900768855   -4.744791042350698  -29.574744065495693
1dma1eda                     3.9937828119000187  -6.6091755031375214 -35.562496444807365
1am1eda                      3.6128270545450505  -4.677716062506079  -27.806617867072987
1am1ma                       3.552825901497272   -2.8223192863661097 -21.382341733615185
2put                         3.478658817068208   -11.103167585388292 -48.90768540144008 
1am1tma                      3.411311377538368   -3.906642604226363  -24.544537923097437
1am1dma                      3.3234708256059093  -3.1532128845865373 -21.722903606199452
2am                          2.774020799275604   -2.742594174691476  -18.50281728655709 
2eda                         2.6250522162008565  -9.09775718365563   -39.31849538772093 
1b2dma                       2.0744875234086066  -20.4785377017688   -75.6432172568538  
2pcla                        2.0530793827492744  -10.559413690003566 -42.302509048190714
2w                           1.8411917457415257  -4.66099722526269   -21.808448670125372
3w                           1.3140277183556464  -15.568298655882245 -56.62360011479821 
2am1p                        1.175283369695535   -7.326222609175602  -28.51419077265392 
2ca                          1.1530716140987352  -12.043979151523672 -44.263125156948405
1ca1pcla                     1.1039814796531573  -11.835409684979822 -43.39893062052356 
2nta                         1.0325178163475357  -9.93005880585406   -36.768662157448844
1am1b                        0.528676655725576   -9.236631539824884  -32.75300417761956 
1fa2tma                      0.44058887226856314 -20.330466962303035 -69.66646263490941 
1b1dma                       0.32425811467692256 -11.655880256235832 -40.18158098585579 
1w                           0.0                 0.0                 0.0                
1triAABmda                   0.0                 0.0                 0.0                
1tma                         0.0                 0.0                 0.0                
1teAABBmda                   0.0                 0.0                 0.0                
1sa                          0.0                 0.0                 0.0                
1pxml                        0.0                 0.0                 0.0                
1pxfa                        0.0                 0.0                 0.0                
1put                         0.0                 0.0                 0.0                
1pda                         0.0                 0.0                 0.0                
1pcla                        0.0                 0.0                 0.0                
1p1tma                       0.0                 0.0                 0.0                
1nta                         0.0                 0.0                 0.0                
1msa                         0.0                 0.0                 0.0                
1ml                          0.0                 0.0                 0.0                
1mda                         0.0                 0.0                 0.0                
1malonic                     0.0                 0.0                 0.0                
1ma                          0.0                 0.0                 0.0                
1homJ                        0.0                 0.0                 0.0                
1gd                          0.0                 0.0                 0.0                
1fd                          0.0                 0.0                 0.0                
1fa                          0.0                 0.0                 0.0                
1eda                         0.0                 0.0                 0.0                
1dma                         0.0                 0.0                 0.0                
1diABmda                     0.0                 0.0                 0.0                
1diAAmda                     0.0                 0.0                 0.0                
