#CLUSTER     ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p        17.838936548883794      17.57776027743239       -0.875989506849038       17.92262767268403
1sa1tma      -14.519694157104823     -24.977628799897502     -35.076084664827945      -27.638476310516126
1dma1sa1tma  -17.406365973918582     -39.74968571127101      -74.93986160455607       -43.56440016742272
1sa2tma      -18.294478374911705     -40.4641017903632       -74.35728128613796       -44.152161520003574
2sa1tma      -29.062212551230914     -52.53336093433609      -78.72261741758567       -57.46394678419165
3sa1tma      -37.5391036625806       -74.81839257419051      -125.03534768200606      -81.41888886915694
1dma2sa1tma  -46.05609147656651      -82.85260654798185      -123.41611628836412      -91.15056557992648
2sa2tma      -46.55169093198492      -83.31101862722426      -123.29138921776584      -91.73118594844709
