#CLUSTER               ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1fa2ma3sa1tma          -74.3692354777595       -148.12598550200346     -247.3813517497367       -162.02307446375198
2dma1fa1nta2sa2tma     -74.46479613147676      -160.11937925644452     -287.28687950695155      -177.0755072303291
1fa3ma1nta2sa1tma      -74.52582372666802      -160.14794038547552     -287.1779864445965       -175.9708147073834
1dma1fa2ma3sa          -74.64230034407228      -148.67044927645475     -248.29162814670212      -162.14782582456246
1dma1fa1ma3sa1tma      -75.0922144370852       -149.08350808612886     -248.1680149208671       -162.9922335655865
1fa3sa4tma             -75.77589227003045      -163.48829046229366     -294.188825061345        -181.0701126488275
1dma1nta3sa2tma        -75.79854002199136      -151.88469538552454     -255.19421554217865      -165.9010487171763
1dma1fa2ma1nta2sa1tma  -75.81187819584738      -161.98359412522404     -289.021351429879        -178.1569632463361
2dma1fa2ma1nta2sa      -76.65817882074043      -162.6913099657977      -288.55653578481065      -178.49134268343914
1dma1ma1nta3sa1tma     -76.73984093533363      -151.43815466479282     -250.5393718901497       -164.99238062863878
2dma1fa3sa1tma         -76.74270119669382      -151.67819306228193     -251.33487125738432      -166.0974339782697
2dma1fa1ma3sa          -77.31837668828666      -150.63667974900454     -245.91079342799935      -164.2462496694643
2dma1fa1ma1nta2sa1tma  -77.50732121046167      -163.08455721879727     -287.02745600581636      -179.41801058214332
3dma1fa1ma1nta2sa      -78.67005165107548      -164.15968154894654     -286.733623671549        -180.1314321096288
3dma1fa1nta2sa1tma     -79.00020336371381      -165.50883504244848     -290.151372390681        -181.7270396132226
2dma1ma1nta3sa         -79.1098215028178       -152.90919611463323     -247.52431531654784      -166.54589068004861
2dma1nta3sa1tma        -79.16535648598801      -154.7928391508467      -253.65581977068783      -168.95064196274325
3dma1fa3sa             -80.2014482181985       -155.6803779527545      -253.15757080193498      -170.05037056002766
1fa1ma3sa3tma          -80.27604396326933      -167.42437085148413     -292.2969206379005       -184.85261318075936
3dma1nta3sa            -80.44332321430556      -156.3322409298271      -254.5326772263168       -170.3759413396474
1fa4ma3sa              -80.59705329779536      -165.55488814110868     -284.94997431926754      -181.0568036963232
4dma1fa1nta2sa         -81.13163347123191      -167.3983398961136      -289.3399511153631       -183.1556031756336
1fa2ma3sa2tma          -81.73578959307633      -168.76462125446415     -291.89613168489154      -185.1373752365762
1dma1fa3sa3tma         -81.83440547937062      -169.10927870299201     -292.7213591258941       -186.78594163397793
1dma1fa1ma3sa2tma      -83.60476733511314      -170.75191141286632     -292.2929534700394       -186.99511682390585
1fa3ma3sa1tma          -84.19904863263946      -169.698405539355       -286.7662482191681       -186.10023152623035
1dma1fa3ma3sa          -84.55183093319647      -169.58324971678667     -285.1967760644816       -185.0983140761964
2dma1fa3sa2tma         -84.7036870433949       -171.96443272399483     -292.6739751165323       -188.97602122681565
1nta3sa4tma            -85.66833894490264      -174.25283776375        -297.113864894848        -192.9196188058122
2dma1fa2ma3sa          -86.70118446904235      -173.07249169587158     -289.6907839234309       -188.79021960194223
1dma1fa2ma3sa1tma      -86.90485379716847      -173.24841982821818     -289.597739496287        -189.20906251067936
4ma1nta3sa             -88.42811287357472      -174.66681482759304     -289.24602365687343      -191.02915295190178
2dma1fa1ma3sa1tma      -89.17617348290514      -175.56430742770317     -289.7472210113461       -192.2723878010147
3dma1fa3sa1tma         -89.56967911531683      -176.98338569045882     -293.1870084686924       -194.06577839241072
2ma1nta3sa2tma         -89.63174287835136      -177.53681320947362     -294.8350505825001       -194.7928706278035
1ma1nta3sa3tma         -90.12404793815222      -178.52087562379893     -296.4844128304121       -196.56271524738986
3dma1fa1ma3sa          -90.19709291914478      -177.4498046291992      -292.64702904375247      -193.1981290220283
1dma3ma1nta3sa         -90.62547731236555      -176.56733923964202     -288.2504173300586       -192.42325881286524
