Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1dma		-135.134498	0.098641	0.067924	-135.035857	-135.066574	64.650		-134.937072	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1dma_1w		-211.559070	0.127226	0.087685	-211.431844	-211.471385	83.221		-211.291666	
1sa_1dma_1w	-911.739490	0.177080	0.122087	-911.562410	-911.617403	115.744		-910.801896	
1sa_1dma_2w	-988.174616	0.206019	0.146119	-987.968597	-988.028497	126.070		-987.165740	
1sa_1dma_3w	-1064.605892	0.234928	0.169297	-1064.370963	-1064.436595	138.133		-1063.526032	
1sa_1dma_4w	-1141.036397	0.263210	0.192826	-1140.773187	-1140.843571	148.134		-1139.886111	
1sa_1dma_5w	-1217.466217	0.290906	0.213388	-1217.175311	-1217.252829	163.150		-1216.245483	
2sa_1dma_1w	-1611.916483	0.225120	0.156812	-1611.691363	-1611.759671	143.768		-1610.311361	
2sa_1dma_2w	-1688.345985	0.252837	0.177804	-1688.093148	-1688.168181	157.920		-1686.668500	
2sa_1dma_3w	-1764.783792	0.281539	0.202273	-1764.502253	-1764.581519	166.829		-1763.034984	
2sa_1dma_4w	-1841.216765	0.310194	0.227353	-1840.906570	-1840.989412	174.355		-1839.396140	
2sa_1dma_5w	-1917.643594	0.337944	0.247335	-1917.305650	-1917.396259	190.702		-1915.753385	
2sa_2dma_1w	-1747.100584	0.329307	0.248731	-1746.771277	-1746.851853	169.587		-1745.293146	
2sa_2dma_2w	-1823.531789	0.357672	0.270763	-1823.174117	-1823.261026	182.915		-1821.654632	
2sa_2dma_3w	-1899.962634	0.386724	0.294911	-1899.575910	-1899.667723	193.236		-1898.012962	
2sa_2dma_4w	-1976.399875	0.415727	0.321422	-1975.984148	-1976.078453	198.483		-1974.380276	
2sa_2dma_5w	-2052.825709	0.443148	0.338516	-2052.382562	-2052.487193	220.216		-2050.735358	
3sa_1dma_1w	-2312.078776	0.271835	0.188519	-2311.806941	-2311.890257	175.353		-2309.805834	
3sa_1dma_2w	-2388.515829	0.300013	0.214524	-2388.215815	-2388.301305	179.929		-2386.170606	
3sa_1dma_3w	-2464.947812	0.328123	0.235780	-2464.619689	-2464.712032	194.352		-2462.530792	
3sa_1dma_4w	-2541.380848	0.356429	0.258118	-2541.024419	-2541.122730	206.914		-2538.893478	
3sa_1dma_5w	-2617.814414	0.385517	0.283225	-2617.428896	-2617.531189	215.292		-2615.255310	
3sa_2dma_1w	-2447.272045	0.376876	0.281557	-2446.895168	-2446.990488	200.617		-2444.798030	
3sa_2dma_2w	-2523.707038	0.405987	0.309194	-2523.301052	-2523.397844	203.718		-2521.160797	
3sa_2dma_3w	-2600.140468	0.434442	0.333129	-2599.706026	-2599.807339	213.231		-2597.521701	
3sa_2dma_4w	-2676.577285	0.462077	0.356192	-2676.115209	-2676.221093	222.852		-2673.887504	
3sa_2dma_5w	-2753.005425	0.489916	0.375701	-2752.515509	-2752.629724	240.386		-2750.247594	
3sa_3dma_1w	-2582.460880	0.481456	0.375279	-2581.979425	-2582.085601	223.467		-2579.788182	
3sa_3dma_2w	-2658.902836	0.510628	0.401676	-2658.392207	-2658.501160	229.310		-2656.155611	
3sa_3dma_3w	-2735.325283	0.538751	0.424606	-2734.786532	-2734.900677	240.237		-2732.510603	
3sa_3dma_4w	-2811.764307	0.566143	0.445603	-2811.198164	-2811.318704	253.697		-2808.875798	

