# CLUSTER  dG
1am2sa  -1455.399613483343
1am3sa  -2154.8653841229884
1am4sa  -2854.327333818493
1am5sa  -3553.7885877395024
2am     -112.92112189164199
2am1sa  -812.3965413190028
2am3sa  -2211.3499489678447
2am4sa  -2910.8165453497018
2am5sa  -3610.2778502338756
3am     -169.37710273731003
3am1sa  -868.8571729733142
3am2sa  -1568.3440045562306
3am4sa  -2967.3023647191944
3am5sa  -3666.7787364143146
4am     -225.833064213406
4am1sa  -925.3218158015201
4am2sa  -1624.8112146649858
4am3sa  -2324.3028536666866
4am5sa  -3723.256043622325
5am4sa  -3080.2535168602203
5am5sa  -3779.748487315172
