{77.092,436.516,555.276,604.684,678.792,901.422,1034.009,1098.248,1246.494,1374.985,1460.578,1502.968,1509.683,1900.867,3138.967,3233.221,3270.403,3880.895}	{78.055795,438.629385,540.693055,592.65055,649.674895,883.01324,1017.901635,1073.289875,1209.2978899999998,1375.665345,1422.248055,1467.773235,1457.77608,1869.693315,3038.11877,3105.09896,3130.38321,3696.56475}
{24.689,82.88,94.846,103.82,120.941,166.535,272.895,440.702,557.579,606.345,681.247,897.283,1037.055,1060.567,1105.375,1248.64,1370.167,1462.06,1507.381,1514.32,1689.113,1696.83,1901.477,3127.32,3222.527,3266.237,3578.366,3714.356,3722.373,3876.643}	{11.318489999999999,49.28217499999999,44.75678500000002,77.15786499999999,92.903625,132.221395,184.12390999999997,451.921565,551.8948049999999,600.174515,764.0570799999999,881.284295,1016.66403,960.8879450000001,1080.88862,1214.428525,1432.921065,1420.29964,1467.99442,1468.958805,1644.4271,1647.81053,1861.7233600000002,3035.536885,3094.229515,3129.18174,3444.7372,3556.6327850000002,3559.61192,3693.99727}
{12.033,72.85,89.474,112.599,200.465,296.414,328.767,467.852,604.214,639.366,923.36,949.465,1034.908,1093.035,1143.257,1327.185,1425.234,1454.489,1502.896,1517.584,1689.883,1693.25,1908.283,3124.589,3216.149,3254.144,3466.808,3573.996,3705.458,3709.689}	{319.7417050000001,65.27063,84.31086,139.24215999999998,186.66002,272.115775,301.988405,1278.33372,601.8198150000001,628.95424,906.34657,888.232285,1832.3758,1073.5954100000001,1072.276405,1292.6051949999999,1383.034015,1403.4463700000001,3088.1631850000003,1469.90111,1654.64628,1654.395315,1885.37852,3025.93197,3079.755815,3118.5861699999996,3277.40179,3401.554555,3536.12548,3528.7311299999997}
{64.005,82.127,116.583,122.105,220.988,305.656,414.482,474.816,617.301,650.268,929.548,1048.499,1062.409,1099.406,1122.893,1354.14,1434.267,1497.878,1509.913,1515.037,1681.743,1700.329,1854.722,3136.159,3221.658,3229.561,3264.945,3560.904,3695.403,3722.152}	{67.31067,72.17045,81.07490999999999,58.21604000000001,208.68884,300.315425,362.01558500000004,457.68182499999995,612.8267350000001,634.33785,868.50774,1030.240955,1009.3026500000002,1067.12294,1046.064355,1318.92676,1395.29202,1454.560015,1459.317415,1456.94466,1650.1767949999999,1652.85331,1779.042195,3032.521035,2980.6159749999997,3097.692335,3123.1844650000003,3427.8233,3533.8690549999997,3556.808295}
{64.003,82.105,116.53,122.124,220.995,305.652,414.487,474.816,617.297,650.263,929.543,1048.499,1062.361,1099.401,1122.971,1354.128,1434.258,1497.874,1509.912,1515.024,1681.753,1700.334,1854.729,3136.161,3221.768,3229.563,3264.943,3560.897,3695.385,3722.126}	{64.60688,71.42588500000001,81.40996000000001,58.78777500000001,208.72548,300.01794,361.95122000000003,457.78572999999994,612.6020950000001,633.820655,868.38768,1030.2756,1009.75512,1066.975975,1046.10275,1318.92338,1395.36473,1454.554285,1459.33715,1456.48866,1649.76118,1652.63726,1778.91959,3032.82192,2980.652115,3097.98019,3123.3193650000003,3427.567495,3533.5239950000005,3556.3461500000003}
{63.952,82.082,116.547,122.16,220.996,305.678,414.516,474.824,617.296,650.264,929.541,1048.497,1062.407,1099.403,1123.028,1354.13,1434.266,1497.88,1509.914,1515.034,1681.76,1700.342,1854.731,3136.161,3221.65,3229.563,3264.943,3560.876,3695.358,3722.104}	{71.0669,75.24163499999999,85.34155,57.881069999999994,208.74328,301.87508,361.90770000000003,457.6037,613.113725,634.257285,868.31064,1030.3640950000001,1011.3205949999999,1067.86637,1045.996225,1318.95604,1395.3687400000001,1454.6579250000002,1460.632805,1457.0357250000002,1649.9064,1653.0014500000002,1778.87133,3032.687225,2980.76207,3098.82641,3123.26542,3427.345435,3533.61,3556.033015}
{19.138,38.144,61.235,81.183,99.521,122.404,134.356,169.461,186.24,193.799,286.508,395.894,457.501,611.687,636.575,666.624,887.692,930.348,1049.005,1057.933,1100.492,1345.565,1421.837,1490.937,1506.348,1508.953,1634.949,1690.909,1702.148,1850.936,3138.647,3232.335,3270.486,3544.582,3584.831,3717.203,3725.843,3741.272,4004.16}	{19.138,38.144,102.59204000000001,193.09841500000005,168.446415,99.450385,251.89797500000003,161.01644000000002,313.755595,185.75976,370.11946,378.48922,170.70488999999992,601.05025,596.3349400000001,546.91174,814.672685,891.1979,736.8814100000001,976.437595,1074.457195,1315.770415,1373.6503,1434.19366,880.5480799999997,1462.361375,1601.57544,1642.10735,1657.312545,1798.7926249999998,3036.11074,3185.462405,3284.873675,3344.180235,3452.55526,3566.444845,3569.2820199999996,3565.541285,3828.36454}
{32.901,50.113,75.785,80.423,101.946,113.552,139.086,142.406,250.225,311.207,369.807,420.167,443.944,481.972,619.575,655.452,927.128,1046.824,1096.275,1125.432,1179.377,1346.458,1440.643,1500.083,1510.693,1533.131,1654.32,1683.913,1695.301,1867.747,2922.542,3134.698,3227.246,3263.669,3562.71,3698.592,3720.986,3875.311,4028.258}	{36.305255,109.16124,79.110005,94.149315,113.67005499999999,15.95468499999997,103.23210500000005,95.82508500000002,231.801155,325.04497,420.80512000000004,524.917595,395.88703,433.62737,610.6092050000001,643.719455,913.3690250000001,1034.369205,1061.45659,1067.99348,1108.767585,1315.594885,1400.72143,1465.8623650000002,1458.86974,1473.264545,1606.469685,1654.369835,1656.8719649999998,1844.413385,2475.905915,3034.3264799999997,3097.33016,3123.6758649999997,3426.31071,3538.093165,3556.525655,3713.8253,3846.728315}
{26.064,29.15,50.331,79.655,101.887,110.638,134.561,173.04,212.063,219.727,308.159,443.363,514.904,552.23,608.246,678.725,763.218,894.38,1035.939,1098.846,1117.046,1250.59,1368.155,1461.144,1507.022,1518.234,1672.562,1696.371,1704.351,1904.858,3125.492,3222.658,3264.127,3565.588,3629.984,3698.81,3719.062,3874.134,4017.361}	{19.52327,24.94621,89.3589,226.95073499999998,82.51837,78.64288000000002,101.322055,111.11369499999998,199.83065,202.393995,262.75965,451.52669,502.61638,533.85572,600.55399,652.48679,692.98826,877.189355,1016.669155,1074.80191,1033.83096,1209.593605,1405.577105,1433.471135,1467.846885,1468.960625,1622.83721,1651.6808150000002,1656.819805,1891.057275,3038.781695,3097.560435,3127.96313,3434.749205,3478.96348,3540.9599399999997,3556.2226499999997,3690.573495,3834.63463}
{16.564,31.128,57.942,105.564,116.58,135.918,147.325,153.403,220.062,239.098,342.144,446.175,537.237,554.55,609.475,697.208,792.472,907.241,1050.82,1102.511,1138.195,1252.255,1387.041,1459.521,1509.183,1520.943,1673.502,1701.236,1709.327,1870.592,3124.978,3228.819,3263.542,3543.378,3583.395,3680.571,3717.546,3879.065,4016.404}	{9.773845,27.581004999999998,52.35504,105.564,100.49139,124.618215,111.40373000000001,128.67664,196.19905500000002,205.46060000000006,280.12024,442.768745,396.22460999999987,625.0693799999999,608.232195,680.26251,739.564705,889.785745,1024.575585,1079.832335,962.097815,1378.1608700000002,1281.44902,1420.72284,1477.58734,1483.51417,1443.956365,1648.8991500000002,1663.20848,1850.4851700000002,3033.616765,3098.5027099999998,3129.4904149999998,3420.3482700000004,3432.0039699999998,3529.198465,3554.3767249999996,3698.10443,3831.647915}
{39.296,66.529,85.542,110.866,140.359,171.324,211.048,237.167,277.828,291.109,417.196,468.975,592.175,618.185,649.243,914.254,944.155,1007.886,1053.509,1098.953,1150.53,1357.912,1427.194,1498.073,1509.936,1514.578,1670.32,1703.351,1712.845,1845.555,3136.829,3230.54,3247.541,3265.665,3384.407,3531.645,3673.676,3720.003,4005.53}	{43.67586,77.269965,82.44153,101.80542,129.75730000000001,165.84312500000001,190.72378,191.46579,267.97312,256.112935,399.96473000000003,462.236665,612.35267,610.5821149999999,637.93983,879.249005,908.5709449999999,930.9893599999999,1031.9108,1075.150245,1071.384585,1322.653255,1389.886505,1452.1200450000001,1466.8279149999998,1461.743095,1630.494135,1653.8323100000002,1654.907915,1807.30147,3037.80571,3100.8750999999997,2998.04575,3115.41336,3197.854425,3407.751165,3520.97714,3555.60755,3832.7934800000003}
