{18.661,422.956,538.795,575.485,665.314,848.106,990.411,1059.909,1197.147,1339.15,1403.26,1477.51,1480.633,1792.042,3024.754,3086.712,3142.525,3673.624}	{18.661,392.329115,534.43674,573.52806,816.30863,832.508745,971.4088049999999,1007.0811150000001,1158.1924,1454.1236450000001,1366.179855,1435.487105,1374.374235,1764.417285,2888.2880649999997,2938.367595,2985.77846,3480.8700099999996}
{42.994,84.917,115.738,120.413,236.798,324.017,419.18,472.07,593.156,625.715,877.671,1016.617,1059.225,1102.722,1155.702,1285.698,1391.482,1473.988,1482.647,1497.535,1693.627,1720.388,1750.207,2875.643,3019.747,3081.66,3133.849,3417.116,3546.245,3568.521}	{42.994,66.26749999999998,441.94572999999997,64.25841,180.27368,347.6726,496.774955,462.32704,581.7683,615.10868,813.1801250000001,905.78503,866.5519949999999,1056.259035,1153.176925,1242.0098950000001,1349.481015,1419.189845,1458.3641949999999,1390.120245,1675.3101299999998,1665.7659899999999,1664.737055,2432.48627,2913.29752,2951.87569,2985.5144600000003,3259.85064,3426.6038,3391.293435}
{42.99,84.916,115.743,120.436,236.843,324.06,419.191,472.072,593.163,625.717,877.669,1016.617,1059.22,1102.848,1155.702,1285.712,1391.494,1473.996,1482.65,1497.563,1693.622,1720.387,1750.189,2875.248,3019.735,3081.636,3133.836,3417.113,3546.246,3568.523}	{42.99,65.468255,442.7263249999999,65.02852000000001,181.27929999999998,347.39918,497.27825499999994,463.551035,581.566235,615.08823,813.2707849999999,905.8863249999999,866.8240750000001,1056.345045,1153.279195,1242.04637,1354.59405,1424.27231,1458.08975,1390.024015,1675.20766,1665.250705,1664.817285,2434.369425,2913.2726900000002,2951.442735,2985.483445,3259.9638849999997,3426.63466,3391.224545}
{43.077,84.92,115.601,120.381,236.838,324.073,419.112,472.009,593.165,625.7,877.652,1016.613,1059.222,1102.852,1155.698,1285.679,1391.487,1473.996,1482.651,1497.554,1693.633,1720.383,1750.202,2875.274,3019.731,3081.637,3133.829,3417.133,3546.265,3568.508}	{43.077,65.135095,450.603785,62.568195,181.687535,347.17794499999997,500.768015,465.52245,581.17041,615.3676800000001,812.90624,921.0631300000001,896.813065,1055.95003,1153.88532,1242.022105,1354.58868,1424.215185,1457.6666500000001,1389.97898,1675.005925,1665.523475,1664.40042,2434.207845,2913.33197,2951.4023650000004,2985.59612,3260.0804449999996,3426.9948449999997,3391.0326649999997}
{10.687,76.463,93.545,113.814,212.981,319.317,357.302,460.515,578.219,612.064,863.112,995.672,1000.337,1056.732,1181.915,1259.487,1387.285,1432.677,1479.373,1492.077,1711.939,1714.673,1799.464,3006.936,3068.956,3129.401,3141.539,3430.212,3556.212,3559.937}	{10.687,71.74255999999998,94.02303,197.34857000000002,196.040795,311.08844500000004,359.11722000000003,458.49896,579.059915,593.87389,834.2440799999999,930.6947150000001,968.330395,1039.6474349999999,1120.403275,1224.2463950000001,1356.5479300000002,1350.9297749999998,1461.729985,1425.626015,1788.35083,2879.349925,1766.657455,3053.4021150000003,2848.401895,2963.99262,2886.41535,4487.270515,3385.57806,3383.0896199999997}
{26.42,65.902,83.732,106.89,123.481,189.984,267.173,428.964,545.798,577.028,669.136,844.189,993.742,1070.974,1117.068,1196.481,1333.116,1413.664,1479.981,1491.817,1716.28,1727.107,1792.296,3000.267,3067.873,3138.287,3419.599,3555.22,3557.78,3673.063}	{26.42,6.306490000000004,83.732,54.08181500000001,108.68843999999999,66.79455000000003,186.47643,424.88438,538.96369,553.180115,368.2164399999998,795.845055,971.71008,1046.2329949999998,1033.89271,1160.35504,1010.1372549999999,1366.27863,1433.467915,1439.383845,1660.89775,1668.46722,1758.26853,2952.51858,2938.22436,2989.15949,3141.92623,3389.47675,3384.34112,3478.92555}
{26.484,30.632,64.011,111.469,129.005,142.544,155.944,209.38,237.961,260.9,384.578,437.016,541.922,548.994,581.51,701.335,855.708,870.212,1015.924,1068.219,1182.662,1203.657,1351.005,1415.13,1485.634,1497.357,1706.001,1732.871,1748.662,1761.268,2992.725,3081.383,3129.548,3275.54,3397.125,3522.005,3559.328,3665.914,3807.008}	{561.4366500000001,3357.4714299999996,64.011,760.15509,647.914855,844.16226,4579.421200000002,138.83787999999998,1051.2185049999998,260.9,411.99906999999996,406.77953,1218.9051350000002,813.04375,570.548665,677.406185,1242.0566399999998,1282.346955,993.463175,1022.81578,1457.49431,1425.4405649999999,1282.57834,1385.5065800000002,1443.9949100000001,1029.017955,2329.99888,2212.864005,2099.25298,1986.65012,2874.91279,3190.675715,2959.66331,3366.39546,3411.221405,3510.69502,3153.600455,3471.3454150000002,3959.3631849999997}
{31.832,43.189,86.053,118.107,142.819,172.653,214.862,281.878,297.279,358.104,446.134,461.771,592.69,602.978,628.283,879.649,1008.961,1026.718,1055.773,1060.201,1189.129,1293.349,1390.854,1468.203,1481.355,1484.397,1693.556,1725.67,1734.296,1754.75,2898.506,3021.05,3048.658,3083.931,3134.74,3380.775,3518.589,3566.95,3799.391}	{31.832,43.189,78.95283,115.10786,132.356315,170.19686,160.10801500000002,221.30237,197.970295,358.70428999999996,419.021095,410.028205,603.0167650000001,583.425705,623.17533,851.176605,970.880205,998.6547200000001,1001.5238249999999,1026.043605,1109.5700399999998,1253.3891099999998,1353.5893,1414.60955,1430.90507,1416.08899,1617.30458,1678.787375,1669.776045,1665.409865,2559.480325,2917.145175,2823.669385,2937.197615,3006.1359599999996,3136.5200400000003,3346.92126,3387.853695,3616.65659}
{34.795,45.421,68.399,83.42,98.173,134.933,144.35,165.84,262.833,304.563,382.657,436.797,463.14,520.065,596.592,631.635,873.483,1014.132,1058.979,1151.194,1216.494,1270.172,1392.119,1475.654,1483.821,1520.765,1697.556,1715.107,1716.903,1761.015,2577.948,3018.128,3081.084,3133.966,3425.483,3555.637,3574.355,3643.737,3822.641}	{80.445495,38.134060000000005,68.399,94.711425,87.04052,86.22004499999997,124.21256,46.464579999999955,258.286305,237.352235,377.17096499999997,347.98498500000005,429.77527999999995,445.0849100000001,595.39446,626.625895,798.574045,946.08679,1006.90868,1108.7854499999999,1164.79524,1234.683665,1366.344415,1401.692945,1437.2288199999998,1449.317645,1663.70295,1421.2391599999999,1664.736555,1725.900855,2024.466665,2887.28283,2907.294845,2976.899515,3011.256545,3380.38851,3392.2087500000002,3336.96672,3612.715925}
{28.536,44.977,53.861,83.943,98.213,138.795,144.933,165.64,186.529,193.135,331.004,383.801,444.686,584.915,616.944,714.156,879.038,917.255,1018.628,1060.894,1137.827,1282.061,1393.871,1455.903,1479.718,1483.406,1686.472,1724.088,1730.295,1753.083,3022.583,3089.498,3140.175,3246.486,3416.64,3513.092,3547.576,3550.006,3801.75}	{398.88978999999995,329.43016500000004,94.90891999999998,129.83991,60.06772500000004,96.94641999999997,225.19969,80.37344499999996,200.182875,193.135,331.004,383.801,392.458985,644.8481899999999,743.1555599999999,714.156,1035.843995,621.6939150000001,1055.98363,1036.6944,1093.060145,1361.58052,1443.66704,1430.5577700000001,1517.5468700000001,1496.52897,1627.12725,1666.317515,1673.1693050000001,1757.38822,2917.19879,2928.61621,3000.664865,4284.33109,3030.251305,3402.2053,3368.404295,3378.8371549999997,3603.2407}
