#CLUSTER  dE_[Eh]
1w        -76.398248694362
2w        -152.782239702154
3w        -229.17882747777
4w        -305.589267517798
5w        -382.010072653409
6w        -458.422473691802
7w        -534.833065351667
8w        -611.259738346413
9w        -687.671564513398
1sa       -700.067627612341
10w       -764.093138678341
1sa1w     -776.439718177339
1sa2w     -852.841090137573
1sa3w     -929.261228321974
1sa4w     -1005.681256613082
1sa5w     -1082.095555262648
1sa6w     -1158.516265088589
1sa7w     -1234.955888228388
1sa8w     -1311.36236470585
1sa9w     -1387.779014251075
2sa       -1400.111969359406
1sa10w    -1464.196625555503
2sa1w     -1476.533943824502
1sa11w    -1540.615393380184
2sa2w     -1552.961142767373
1sa12w    -1617.03550587899
2sa3w     -1629.364931672896
1sa13w    -1693.45463650135
2sa4w     -1705.787459664758
1sa14w    -1769.864352977004
2sa5w     -1782.196791444265
1sa15w    -1846.287953745803
3sa       -2100.19797464651
3sa1w     -2176.623385496096
3sa2w     -2253.042345248377
3sa3w     -2329.46547250766
3sa4w     -2405.876938263842
3sa5w     -2482.290759492625
4sa       -2800.283620730489
4sa1w     -2876.713722091592
4sa2w     -2953.130025832552
4sa3w     -3029.561292320049
4sa4w     -3105.972279968303
4sa5w     -3182.396948866852
