#CLUSTER  dE_[Eh]
1am1sa    -757.09760393242
2am2sa    -1514.254974123514
3am3sa    -2271.413321640421
4am4sa    -3028.569413892663
5am5sa    -3785.735453996891
4am6sa    -4429.601862877653
5am6sa    -4486.250069127747
6am6sa    -4542.895804626848
7am6sa    -4599.519016227232
8am6sa    -4656.140178846108
5am7sa    -5186.77090938758
6am7sa    -5243.416411319504
7am7sa    -5300.063513288107
8am7sa    -5356.690275663084
9am7sa    -5413.320171877142
6am8sa    -5943.925215794644
7am8sa    -6000.592630120126
8am8sa    -6057.237452799659
9am8sa    -6113.874962844756
10am8sa   -6170.483399756217
7am9sa    -6701.098224306336
8am9sa    -6757.756757499066
9am9sa    -6814.410319388139
10am9sa   -6871.024631814979
11am9sa   -6927.63779331162
8am10sa   -7458.262919278686
9am10sa   -7514.911387946748
10am10sa  -7571.565174100136
11am10sa  -7628.183120352615
12am10sa  -7684.799350674978
9am11sa   -8215.415397519808
10am11sa  -8272.06153901075
11am11sa  -8328.710781070868
12am11sa  -8385.34563140973
13am11sa  -8441.975295243714
10am12sa  -8972.59312073296
11am12sa  -9029.233660946065
12am12sa  -9085.884518744886
13am12sa  -9142.506873343878
14am12sa  -9199.138446936402
11am13sa  -9729.751131465428
12am13sa  -9786.389895578894
13am13sa  -9843.041237716805
14am13sa  -9899.670811149625
15am13sa  -9956.289001155532
12am14sa  -10486.919582510473
13am14sa  -10543.555800651811
14am14sa  -10600.205247705704
15am14sa  -10656.818676862515
16am14sa  -10713.45717053041
