Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
      components                                                            [msa, nta, am, dma]
      file_basename                                                        1msa1nta1am1dma-30_1
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_IV/GF...
1msa1nta1am1dma-2_6     -55.7739864091 
1msa1nta1am1dma-9_11    -55.77111065172
1msa1nta1am1dma-46_7    -55.7313992073 
1msa1nta1am1dma-29_7    -55.74103152371
1msa1nta1am1dma-10_1    -55.77812478518
1msa1nta1am1dma-22_3    -55.74697339923
1msa1nta1am1dma-52_8    -55.73185713469
1msa1nta1am1dma-41_3    -55.73268008368
1msa1nta1am1dma-31_8    -55.75049770534
1msa1nta1am1dma-25_7    -55.76856445225
1msa1nta1am1dma-2_8     -55.77127785928
1msa1nta1am1dma-17_5    -55.73725029083
1msa1nta1am1dma-46_9    -55.74541818656
1msa1nta1am1dma-36_2    -55.7341425875 
1msa1nta1am1dma-29_9    -55.74635315458
1msa1nta1am1dma-59_2    -55.72957841664
1msa1nta1am1dma-5_2     -55.77186924583
1msa1nta1am1dma-60_4    -55.71790991169
1msa1nta1am1dma-52_6    -55.72993379766
1msa1nta1am1dma-36_5    -55.73253724483
1msa1nta1am1dma-4_11    -55.76317425948
1msa1nta1am1dma-59_5    -55.72541262248
1msa1nta1am1dma-5_5     -55.77704472376
1msa1nta1am1dma-60_3    -55.72490705849
1msa1nta1am1dma-10_8    -55.76137454214
1msa1nta1am1dma-51_11   -55.72412749815
1msa1nta1am1dma-52_1    -55.74557542306
1msa1nta1am1dma-41_4    -55.72152133884
1msa1nta1am1dma-11_11   -55.77477717738
1msa1nta1am1dma-67_9    -55.71729512336
1msa1nta1am1dma-17_2    -55.73031884115
1msa1nta1am1dma-34_10   -55.74330570051
1msa1nta1am1dma-26_11   -55.74786805042
1msa1nta1am1dma-15_4    -55.73992700059
1msa1nta1am1dma-27_6    -55.73806240554
1msa1nta1am1dma-48_6    -55.74198606526
1msa1nta1am1dma-33_9    -55.7444543228 
1msa1nta1am1dma-43_2    -55.73255104057
1msa1nta1am1dma-50_7    -55.72510916881
1msa1nta1am1dma-43_10   -55.73898875261
1msa1nta1am1dma-7_3     -55.77023767407
1msa1nta1am1dma-62_5    -55.71922276249
1msa1nta1am1dma-34_3    -55.74902145723
1msa1nta1am1dma-44_8    -55.74627431003
1msa1nta1am1dma-66_11   -55.72564290319
1msa1nta1am1dma-12_9    -55.74617833626
1msa1nta1am1dma-7_4     -55.76716952976
1msa1nta1am1dma-62_2    -55.7228483405 
1msa1nta1am1dma-34_4    -55.74611851123
1msa1nta1am1dma-58_10   -55.72277683345
1msa1nta1am1dma-15_3    -55.73621272691
1msa1nta1am1dma-65_8    -55.7282279612 
1msa1nta1am1dma-27_1    -55.7616098092 
1msa1nta1am1dma-18_10   -55.73350312432
1msa1nta1am1dma-48_1    -55.75242071704
1msa1nta1am1dma-43_5    -55.73238325411
1msa1nta1am1dma-20_5    -55.74456017034
1msa1nta1am1dma-19_3    -55.74198456134
1msa1nta1am1dma-12_7    -55.75368235514
1msa1nta1am1dma-44_1    -55.75414756994
1msa1nta1am1dma-65_6    -55.72582947298
1msa1nta1am1dma-57_4    -55.72873029249
1msa1nta1am1dma-38_4    -55.76729061234
1msa1nta1am1dma-65_1    -55.7406042742 
1msa1nta1am1dma-30_11   -55.74291191683
1msa1nta1am1dma-57_3    -55.72452093117
1msa1nta1am1dma-27_8    -55.74137620396
1msa1nta1am1dma-38_3    -55.75978023296
1msa1nta1am1dma-48_8    -55.73595220322
1msa1nta1am1dma-15_10   -55.74301705124
1msa1nta1am1dma-33_7    -55.74348081358
1msa1nta1am1dma-50_9    -55.71499408907
1msa1nta1am1dma-20_2    -55.73024699326
1msa1nta1am1dma-19_4    -55.74815724624
1msa1nta1am1dma-55_10   -55.73112133865
1msa1nta1am1dma-44_6    -55.74524578428
1msa1nta1am1dma-13_1    -55.76398703595
1msa1nta1am1dma-18_5    -55.72679307778
1msa1nta1am1dma-51_8    -55.72901716505
1msa1nta1am1dma-29_10   -55.73695774117
1msa1nta1am1dma-21_3    -55.74782798986
1msa1nta1am1dma-45_7    -55.74734171866
1msa1nta1am1dma-56_2    -55.72027908468
1msa1nta1am1dma-26_9    -55.74852306361
1msa1nta1am1dma-1_6     -55.7732919569 
1msa1nta1am1dma-32_6    -55.74598229132
1msa1nta1am1dma-39_2    -55.73657184605
1msa1nta1am1dma-49_9    -55.73430929733
1msa1nta1am1dma-56_5    -55.73056672336
1msa1nta1am1dma-1_1     -55.78802133604
1msa1nta1am1dma-32_1    -55.75607895238
1msa1nta1am1dma-57_11   -55.71628488916
1msa1nta1am1dma-39_5    -55.73314928285
1msa1nta1am1dma-2_11    -55.77059311356
1msa1nta1am1dma-17_11   -55.73248221505
1msa1nta1am1dma-13_6    -55.73517285458
1msa1nta1am1dma-18_2    -55.74759074307
1msa1nta1am1dma-21_4    -55.73690134039
1msa1nta1am1dma-32_10   -55.73960780861
1msa1nta1am1dma-14_2    -55.76224003623
1msa1nta1am1dma-42_4    -55.74714816103
1msa1nta1am1dma-41_11   -55.73530367965
1msa1nta1am1dma-13_8    -55.74303829485
1msa1nta1am1dma-6_5     -55.76676321369
1msa1nta1am1dma-63_3    -55.72929396058
1msa1nta1am1dma-51_1    -55.74840888994
1msa1nta1am1dma-24_10   -55.75140781771
1msa1nta1am1dma-35_5    -55.74072024554
1msa1nta1am1dma-6_2     -55.77175349166
1msa1nta1am1dma-63_4    -55.72800183776
1msa1nta1am1dma-51_6    -55.72330851032
1msa1nta1am1dma-35_2    -55.74762655055
1msa1nta1am1dma-45_9    -55.74740824302
1msa1nta1am1dma-26_7    -55.74537519861
1msa1nta1am1dma-14_5    -55.75556210864
1msa1nta1am1dma-1_8     -55.77358855822
1msa1nta1am1dma-32_8    -55.74630130249
1msa1nta1am1dma-42_3    -55.74359770488
1msa1nta1am1dma-49_7    -55.7349952272 
1msa1nta1am1dma-40_5    -55.7522545384 
1msa1nta1am1dma-66_8    -55.72983619013
1msa1nta1am1dma-16_3    -55.73305648221
1msa1nta1am1dma-48_10   -55.73687500479
1msa1nta1am1dma-24_1    -55.75959949303
1msa1nta1am1dma-37_4    -55.74699605522
1msa1nta1am1dma-4_4     -55.76788089125
1msa1nta1am1dma-61_2    -55.73424885644
1msa1nta1am1dma-11_9    -55.77216963964
1msa1nta1am1dma-58_4    -55.72406547149
1msa1nta1am1dma-47_8    -55.73134021613
1msa1nta1am1dma-37_3    -55.73950811341
1msa1nta1am1dma-36_11   -55.74214453417
1msa1nta1am1dma-53_7    -55.72713510182
1msa1nta1am1dma-13_10   -55.7496438649 
1msa1nta1am1dma-4_3     -55.76727405536
1msa1nta1am1dma-61_5    -55.72159751419
1msa1nta1am1dma-28_8    -55.74815390862
1msa1nta1am1dma-58_3    -55.72989606671
1msa1nta1am1dma-53_10   -55.72423714055
1msa1nta1am1dma-6_10    -55.77121149383
1msa1nta1am1dma-40_2    -55.74671828421
1msa1nta1am1dma-30_9    -55.73897850219
1msa1nta1am1dma-3_9     -55.77437389071
1msa1nta1am1dma-16_4    -55.72912760338
1msa1nta1am1dma-24_6    -55.74932012792
1msa1nta1am1dma-47_6    -55.74078370304
1msa1nta1am1dma-20_11   -55.74625593284
1msa1nta1am1dma-23_2    -55.73148356246
1msa1nta1am1dma-53_9    -55.72724797856
1msa1nta1am1dma-28_6    -55.74547600988
1msa1nta1am1dma-45_10   -55.74690588766
1msa1nta1am1dma-30_7    -55.7396747367 
1msa1nta1am1dma-3_7     -55.7709428296 
1msa1nta1am1dma-66_1    -55.74034505035
1msa1nta1am1dma-8_3     -55.7710409539 
1msa1nta1am1dma-60_11   -55.71745528506
1msa1nta1am1dma-24_8    -55.75013276233
1msa1nta1am1dma-54_3    -55.73122705768
1msa1nta1am1dma-66_6    -55.72497488273
1msa1nta1am1dma-8_4     -55.7721254782 
1msa1nta1am1dma-54_4    -55.72736184865
1msa1nta1am1dma-47_1    -55.75350795934
1msa1nta1am1dma-23_5    -55.73193826564
1msa1nta1am1dma-11_7    -55.76367452833
1msa1nta1am1dma-28_1    -55.75935509193
1msa1nta1am1dma-30_10   -55.73672652291
1msa1nta1am1dma-27_9    -55.7506143791 
1msa1nta1am1dma-57_2    -55.72162354941
1msa1nta1am1dma-48_9    -55.73028765847
1msa1nta1am1dma-38_2    -55.75917844403
1msa1nta1am1dma-15_11   -55.74284998405
1msa1nta1am1dma-33_6    -55.73713797976
1msa1nta1am1dma-20_3    -55.7493019317 
1msa1nta1am1dma-50_8    -55.72832476779
1msa1nta1am1dma-19_5    -55.74496094329
1msa1nta1am1dma-12_1    -55.76669090993
1msa1nta1am1dma-55_11   -55.72872406035
1msa1nta1am1dma-44_7    -55.73475407242
1msa1nta1am1dma-20_4    -55.7544835435 
1msa1nta1am1dma-19_2    -55.73949687767
1msa1nta1am1dma-12_6    -55.75704971342
1msa1nta1am1dma-65_7    -55.72505057433
1msa1nta1am1dma-57_5    -55.72011217024
1msa1nta1am1dma-38_5    -55.76440103243
