#CLUSTER             ddE_[kcal/mol]
1tma                 0.0
1sa                  0.0
1nta                 0.0
1msa                 0.0
1ma                  0.0
1fa                  0.0
1dma                 0.0
2ma                  -4.415666210959898
2tma                 -4.703060593252303
1dma1ma              -4.704284801417089
1ma1tma              -5.151454943843419
2dma                 -5.640366979932878
1dma1tma             -5.733898103630054
2nta                 -10.17779370927019
3ma                  -12.540026894683251
1fa1ma               -13.023120945719711
1fa1nta              -13.663481992320158
1nta1sa              -13.667809756356291
1dma1fa              -13.71843622768938
1msa1nta             -14.014065004943404
3dma                 -14.195036593358964
1fa1tma              -14.623046935739694
1ma1nta              -15.427431793534197
2fa                  -15.934739539341535
1dma1nta             -16.738231658004224
1nta1tma             -17.217968785087578
1fa1msa              -17.294456191186327
1fa1sa               -17.713418792467564
1ma1msa              -17.825329738785513
2sa                  -19.035937312524766
4ma                  -19.957593096682103
1ma1sa               -20.049239972548094
1dma1msa             -20.462754875130486
2msa                 -20.567889473750256
1fa2tma              -20.576518849120475
1fa1ma1tma           -22.027190433786018
1fa2ma               -22.305028267917805
1msa1sa              -22.481565259571653
2dma1fa              -22.892258609790588
1dma1fa1ma           -23.021567234383838
1dma1fa1tma          -23.233096092939377
4dma                 -23.283729829534423
1dma1sa              -24.362251673883293
1sa1tma              -25.878214672673494
2fa1ma               -26.117949945466535
2ma1nta              -26.728451733128168
1ma1nta1tma          -26.761712313687894
1nta2tma             -26.924036403070204
2fa1tma              -27.727561305626296
1dma2fa              -29.415804291784298
1ma2nta              -30.12115209485637
1dma1ma1nta          -30.510008303826908
1dma1nta1tma         -30.700674809864722
2dma1nta             -31.038341089879395
1msa2tma             -33.406523943762295
1dma2nta             -34.530753051978536
2nta1tma             -35.11960198893212
2ma1msa              -35.20875641790917
1ma1msa1tma          -35.22917827399215
2fa2tma              -36.5039647052763
2ma1sa               -37.029416691628285
3msa                 -37.25452732760459
3sa                  -37.37558839400299
1dma1msa1tma         -37.62420852674404
1ma1msa1nta          -38.51434258319205
2fa2ma               -38.64806275778392
1dma2fa1tma          -38.82527149375528
1dma1ma1msa          -39.0353220073157
2fa1ma1tma           -39.04339336635894
1ma1nta1sa           -39.730176225304604
1fa1ma1msa           -39.74304570426466
2dma1msa             -39.942829266772605
1ma1sa1tma           -40.07676700910088
1dma2fa1ma           -40.15088242760248
2msa1sa              -40.35499013826484
1dma1sa1tma          -40.6990107545862
1dma1ma1sa           -40.98499008314684
1msa2sa              -41.12262670486234
1sa2tma              -41.27684851625236
2dma1sa              -41.519129960855935
1fa1ma1sa            -41.67381382279564
1fa1msa1tma          -42.33999765635235
1dma1msa1nta         -43.213816117553506
1dma1fa1msa          -43.952722857065964
1msa1nta1tma         -43.96842658089008
1dma1nta1sa          -44.38875119620934
1fa1sa1tma           -44.81031540420372
1nta1sa1tma          -45.506401355261914
2dma2fa              -45.953668629488675
1dma1fa1sa           -46.01308929314837
1ma2msa              -47.28761885734275
2msa1tma             -49.49004080117447
1dma2msa             -51.72950641508214
3ma1sa               -51.86859865603037
1fa1msa2tma          -51.873970955843106
4msa                 -52.641246552579105
1ma2sa               -52.99437442724593
1ma1msa1sa           -53.2853420067695
1fa1ma1msa1tma       -54.793047888728324
1msa1sa1tma          -54.80712495232001
1msa3sa              -55.21719250269234
1fa2ma1msa           -56.15913353365613
3dma1sa              -56.34960746479919
2sa1tma              -56.587992117682006
1fa2ma1sa            -56.7067657612497
2ma2nta              -56.98345615220023
2nta2tma             -57.1768076318549
1ma2nta1tma          -57.694191473245155
1dma2sa              -57.72265641996637
1dma1fa1msa1tma      -57.84112263278803
1dma1msa1sa          -57.87980831012828
4sa                  -58.608607466099784
1fa1ma1sa1tma        -59.55149471992627
3msa1sa              -59.565314022416715
1dma1fa1ma1msa       -59.661004037887324
2msa2sa              -60.239026636234485
1fa1sa2tma           -60.69999598985305
1dma1ma2nta          -61.31893783976557
1dma1fa1ma1sa        -61.32534540153574
1dma2nta1tma         -62.16897435847204
1dma1fa1sa1tma       -63.41374784766231
2dma1fa1msa          -63.60985654540127
4ma1sa               -64.98692854115507
1ma1msa1nta1tma      -65.1042574280873
1msa1nta2tma         -65.11903303215513
2dma1fa1sa           -65.14455850957893
2ma1msa1nta          -65.66439551668009
2dma2nta             -65.79179119528271
2ma1nta1sa           -66.2358534752857
1dma1ma1msa1nta      -70.17508473159978
1nta1sa2tma          -70.28854377189418
1dma1msa1nta1tma     -70.34023726556916
1ma1nta1sa1tma       -70.55330098897684
4dma1sa              -70.70251488662325
1dma1ma1nta1sa       -71.92503453418612
2msa2tma             -72.6154601391172
1ma2msa1tma          -73.00465395970969
2ma2msa              -73.50512360886205
1dma3msa             -74.14753286587074
2dma1msa1nta         -74.5258289432968
2msa3sa              -75.02345290896483
3msa2sa              -76.12309376208577
1dma1nta1sa1tma      -76.23817192495335
2dma1nta1sa          -76.4189875877928
1ma3sa               -77.06043353909627
2ma1msa1sa           -77.38895200105617
1dma1ma2msa          -78.12849132181145
3sa1tma              -78.57203948457027
2ma2sa               -78.66100171289872
1ma1msa1sa1tma       -79.80253369675484
1dma2msa1sa          -79.92061138508143
2dma2msa             -81.54825974779669
1dma1ma1msa1sa       -82.54959894699277
1ma2sa1tma           -82.82933249726193
1dma3sa              -82.92598205828108
1dma1msa2sa          -83.79566067201085
1dma1ma2sa           -83.87126513163093
1dma1msa1sa1tma      -84.77471769123804
1fa2msa2tma          -85.69194704538677
2sa2tma              -86.23306756513193
2dma1msa1sa          -87.09260631346842
1dma2sa1tma          -87.33363676309818
2dma2sa              -88.78650164895225
1fa1ma2msa1tma       -92.0679544021259
1fa2ma2msa           -92.12241746066138
2msa1nta2tma         -92.15553524490679
3ma2sa               -92.45203694852535
1ma2msa1nta1tma      -93.87712502828799
2ma2msa1nta          -94.10918605345068
1fa1msa1sa2tma       -94.29935508646304
1dma1fa2msa1tma      -94.83827520470368
2ma2sa1tma           -96.93133946548915
2ma1msa1nta1sa       -96.93237959628459
1ma4sa               -97.02683985885233
1dma3msa1sa          -97.1540845358395
1dma1fa1ma2msa       -97.22939008043613
3msa3sa              -97.2758091557771
1fa2ma1msa1sa        -97.66340295266127
2dma1fa2msa          -97.81182494922541
2ma1nta2sa           -97.83973141561728
1fa1ma1msa1sa1tma    -98.08660751755815
1dma2msa1nta1tma     -98.58218995272182
1ma2sa2tma           -98.69371580542065
1msa1nta1sa2tma      -98.86886495532235
1fa2ma2sa            -99.07079508074094
1dma1ma2msa1nta      -99.0921014675987
1ma1msa1nta1sa1tma   -100.19117473915685
3dma1msa1sa          -100.77574942231877
1dma1fa1ma1msa1sa    -100.83902594010578
1fa1ma2sa1tma        -100.96556667034747
2dma2msa1nta         -101.24101693701232
1dma2msa2sa          -101.38600869092625
1dma1fa1msa1sa1tma   -101.80571325030178
1fa2sa2tma           -101.89177991030738
1dma1ma1msa1nta1sa   -101.94782246998511
1dma1msa3sa          -101.96360212797299
1nta2sa2tma          -102.10807760525495
2dma3msa             -102.80945368832909
1ma1nta2sa1tma       -103.00699657265795
1dma4sa              -103.01641210843809
1dma1ma1nta2sa       -103.11419395182747
2dma1fa1msa1sa       -103.43607073434396
1ma3sa1tma           -103.54146561009111
1dma1msa1nta1sa1tma  -104.14734967204276
1dma1fa1ma2sa        -104.32462484878488
1dma1fa2sa1tma       -104.6474910324323
1dma1nta2sa1tma      -105.32356543483911
2dma1msa1nta1sa      -106.28994578286074
2dma1fa2sa           -106.37085187446792
2dma1nta2sa          -107.43492424406577
2ma3sa               -108.45211526681669
3dma2sa              -108.79781576490495
4ma2sa               -109.97217389475554
2dma2msa1sa          -110.6634790043463
2dma1msa2sa          -113.16512724407949
2dma3sa              -118.18793981242925
4dma2sa              -124.09372026042547
2ma4sa               -133.37009169207886
2dma3msa1sa          -133.49114689073758
2dma2msa2sa          -137.69348125800025
3ma3sa               -138.9410289665684
2ma3sa1tma           -139.8442207335611
2dma1msa3sa          -140.97648016177118
2dma4sa              -141.52042024652474
1ma3sa2tma           -142.19886086287443
3dma2msa1sa          -142.82123809756013
3sa3tma              -143.62434768181993
1dma1ma3sa1tma       -146.34822658408666
3dma1msa2sa          -149.2220701589249
3dma3sa              -151.45323887793347
4ma3sa               -161.66138315643184
2ma3sa2tma           -162.50415136560332
1ma3sa3tma           -163.07601758855162
3ma4sa               -166.59044678299688
3dma3msa1sa          -168.64686836098554
2ma4sa1tma           -172.33898725832114
3dma2msa2sa          -174.04069449484814
4dma3sa              -174.74664604431018
1ma4sa2tma           -175.40692278149072
3dma4sa              -176.33860235614702
3dma1msa3sa          -177.21932101529092
4dma3msa1sa          -196.74032381089637
4ma4sa               -197.90831795800477
4dma2msa2sa          -205.0148546533892
2ma4sa2tma           -206.16652617428917
1ma4sa3tma           -207.41501072555548
4dma4sa              -208.6264752408024
4dma1msa3sa          -210.51861971616745
