#CLUSTER             dE_[Eh]
1ma                  -95.705547647915
1dma                 -134.937232454333
1tma                 -174.17365999408
1fa                  -189.515467539311
2ma                  -191.418132180452
1dma1ma              -230.650276934616
2dma                 -269.88345349833
1ma1tma              -269.887417092697
1nta                 -280.539503681077
1fa1ma               -285.241769065607
3ma                  -287.136626954809
1dma1tma             -309.120030090948
1dma1fa              -324.47456193889
2tma                 -348.354814869608
1fa1tma              -363.712431082435
1ma1nta              -376.269636760127
2fa                  -379.056328964451
1fa2ma               -380.962108526983
4ma                  -382.853995368843
3dma                 -404.834318827109
1dma1nta             -415.503410480645
1dma1fa1ma           -420.194935222709
1nta1tma             -454.740602538055
2dma1fa              -459.426413960591
1fa1ma1tma           -459.429778105808
1fa1nta              -470.076745589582
2ma1nta              -471.99319391547
2fa1ma               -474.778104758536
1dma1fa1tma          -498.663384665045
1dma1ma1nta          -511.23090507805
1dma2fa              -514.015045084603
1fa2tma              -537.895578635799
4dma                 -539.786035185481
1ma1nta1tma          -550.461359266291
2dma1nta             -550.463431845042
2fa1tma              -553.248782210143
2nta                 -561.095226876179
2fa2ma               -570.503620618256
1dma1nta1tma         -589.699321273768
1dma2fa1ma           -609.737700344969
1nta2tma             -628.929730295027
2fa1ma1tma           -648.972362970347
2dma2fa              -648.978632575227
1ma2nta              -656.832556616587
1msa                 -663.562711534898
1dma2fa1tma          -688.203700173849
1dma2nta             -696.07126864193
1sa                  -699.460058420152
2fa2tma              -727.436428437595
2nta1tma             -735.308634581871
2ma2nta              -752.580912512522
1ma1msa              -759.296665946986
1dma1ma2nta          -791.819506420072
1ma1sa               -795.19755689535
1dma1msa             -798.532553801256
1ma2nta1tma          -831.050157499202
2dma2nta             -831.058319245568
1dma1sa              -834.436114994328
1fa1msa              -853.105739828805
2ma1msa              -855.029916134457
1dma2nta1tma         -870.288973399631
1sa1tma              -873.674958399814
1fa1sa               -889.003754380351
2ma1sa               -890.930164456475
1dma1ma1msa          -894.267699024214
2nta2tma             -909.517445333227
1dma1ma1sa           -930.168152935372
1ma1msa1tma          -933.498061025257
2dma1msa             -933.500830050426
1msa1nta             -944.124548280526
1fa1ma1msa           -948.847061950329
2dma1sa              -969.400688956649
1ma1sa1tma           -969.40313311459
1dma1msa1tma         -972.733562594707
1nta1sa              -980.021343367225
1fa1ma1sa            -984.747485742177
3ma1sa               -986.65936009008
1dma1fa1msa          -988.085455373523
1dma1sa1tma          -1008.635809539766
1msa2tma             -1011.963268756894
1dma1fa1sa           -1023.986085695567
1fa1msa1tma          -1027.319312845556
1ma1msa1nta          -1039.869140008833
1fa2ma1msa           -1044.578770569314
1sa2tma              -1047.873157932101
1fa1sa1tma           -1063.22059647334
1ma1nta1sa           -1075.768424468317
1dma1msa1nta         -1079.108313980298
1fa2ma1sa            -1080.476990171077
4ma1sa               -1082.385813343044
1dma1fa1ma1msa       -1083.816036019178
3dma1sa              -1104.361555525088
1dma1nta1sa          -1115.0075332631
1msa1nta1tma         -1118.345944080771
1dma1fa1ma1sa        -1119.716035228586
1fa1ma1msa1tma       -1123.044705896971
2dma1fa1msa          -1123.054013787554
2ma1msa1nta          -1135.617954466522
1nta1sa1tma          -1154.245741910123
1fa1ma1sa1tma        -1158.949635928172
2dma1fa1sa           -1158.953806401297
1dma1fa1msa1tma      -1162.281248169798
2ma1nta1sa           -1171.516212037396
1dma1ma1msa1nta      -1174.85682758792
1dma1fa1sa1tma       -1198.187475690228
1fa1msa2tma          -1201.508166349945
1dma1ma1nta1sa       -1210.756963224467
1ma1msa1nta1tma      -1214.085174166614
2dma1msa1nta         -1214.095445818101
1fa1sa2tma           -1237.419578546495
4dma1sa              -1239.321661029306
1ma1nta1sa1tma       -1249.991204745111
2dma1nta1sa          -1249.995809674819
1dma1msa1nta1tma     -1253.325203124116
1dma1nta1sa1tma      -1289.231949063493
1msa1nta2tma         -1292.553310059446
2msa                 -1327.158200426197
1nta1sa2tma          -1328.458895169441
1msa1sa              -1363.058596979398
2sa                  -1398.950452850351
1ma2msa              -1422.906329112583
1ma1msa1sa           -1458.813234076682
1dma2msa             -1462.14509259043
1ma2sa               -1494.710117270799
1dma1msa1sa          -1498.052240706746
2msa1tma             -1501.377951277735
2ma2msa              -1518.653657444816
1dma2sa              -1533.949337151938
1msa1sa1tma          -1537.283771563357
2ma1msa1sa           -1554.557193668435
1dma1ma2msa          -1557.892710132683
2sa1tma              -1573.183956470366
2ma2sa               -1590.456567714853
1dma1ma1msa1sa       -1593.797102574094
1ma2msa1tma          -1597.1209722336
2dma2msa             -1597.129844743207
1dma1ma2sa           -1629.69655569021
1ma1msa1sa1tma       -1633.029152341543
2dma1msa1sa          -1633.036027198276
1ma2sa1tma           -1668.931322787482
2dma2sa              -1668.936073505422
1dma1msa1sa1tma      -1672.268760909273
2msa2tma             -1675.588464353534
3ma2sa               -1686.184093003091
1dma2sa1tma          -1708.170185733711
1fa2ma2msa           -1708.19879383647
1fa2ma1msa1sa        -1744.104970935272
2sa2tma              -1747.404859386707
1dma1fa1ma2msa       -1747.438617205763
2ma2sa1tma           -1764.659343645833
3dma1msa1sa          -1767.99506535411
1fa2ma2sa            -1780.004560665784
4ma2sa               -1781.917561054488
1dma1fa1ma1msa1sa    -1783.34171647126
1fa1ma2msa1tma       -1786.666819389331
2dma1fa2msa          -1786.671230190801
2ma2msa1nta          -1799.225996128187
3dma2sa              -1803.905196347715
1dma1fa1ma2sa        -1819.244618069254
1fa1ma1msa1sa1tma    -1822.573757707798
2dma1fa1msa1sa       -1822.577539974695
1dma1fa2msa1tma      -1825.902919028511
2ma1msa1nta1sa       -1835.127842105147
1dma1ma2msa1nta      -1838.465621797699
1ma2sa2tma           -1843.130264546443
1fa1ma2sa1tma        -1858.475692553831
2dma1fa2sa           -1858.479563779645
1dma1fa1msa1sa1tma   -1861.811369347606
1fa2msa2tma          -1865.124770816175
2ma1nta2sa           -1871.026634962483
1dma1ma1msa1nta1sa   -1874.367519611
1ma2msa1nta1tma      -1877.693738657753
2dma2msa1nta         -1877.70073115423
1dma1fa2sa1tma       -1897.713244940742
1fa1msa1sa2tma       -1901.035834620776
1dma1ma1nta2sa       -1910.266725246701
1ma1msa1nta1sa1tma   -1913.601147725516
2dma1msa1nta1sa      -1913.606124102763
1dma2msa1nta1tma     -1916.932921539757
1fa2sa2tma           -1936.945280929975
4dma2sa              -1938.866804628929
1ma1nta2sa1tma       -1949.502981954788
2dma1nta2sa          -1949.505295646164
1dma1msa1nta1sa1tma  -1952.83913716304
2msa1nta2tma         -1956.159107447659
1dma1nta2sa1tma      -1988.738358486763
3msa                 -1990.747504085521
1msa1nta1sa2tma      -1992.067152815168
2msa1sa              -2026.649791923744
1nta2sa2tma          -2027.969661767615
1msa2sa              -2062.548362128355
3sa                  -2098.439737666363
1dma3msa             -2125.743529893094
1dma2msa1sa          -2161.650076859494
1ma3sa               -2194.208527793031
1dma1msa2sa          -2197.553599092574
1dma3sa              -2233.44956004244
2dma3msa             -2260.7264384969
3sa1tma              -2272.679049061457
2ma3sa               -2289.964101786203
2dma2msa1sa          -2296.636301697321
2dma1msa2sa          -2332.537635253937
1ma3sa1tma           -2368.424388433277
2dma3sa              -2368.442986583103
3ma3sa               -2385.718237112105
3dma2msa1sa          -2431.624781331497
2ma3sa1tma           -2464.187788800818
3dma1msa2sa          -2467.532328697165
4ma3sa               -2481.459992322677
1dma1ma3sa1tma       -2503.429838507245
3dma3sa              -2503.433231212781
1ma3sa2tma           -2542.659653543592
3sa3tma              -2621.130037571038
2ma3sa2tma           -2638.397560065493
4dma3sa              -2638.40758445724
4msa                 -2654.334736171277
3msa1sa              -2690.243117374247
1ma3sa3tma           -2716.866583747895
2msa2sa              -2726.141537899968
1msa3sa              -2762.030881900561
4sa                  -2797.933633405336
1dma3msa1sa          -2825.240251965324
1dma2msa2sa          -2861.144342920575
1ma4sa               -2893.700405035276
1dma1msa3sa          -2897.042610269057
1dma4sa              -2932.941634931119
2dma3msa1sa          -2960.235391811901
2ma4sa               -2989.463869939098
2dma2msa2sa          -2996.139435612337
2dma1msa3sa          -3032.042014343341
2dma4sa              -3067.940228061239
3ma4sa               -3085.222358138836
3dma3msa1sa          -3095.228649052522
3dma2msa2sa          -3131.13459163554
2ma4sa1tma           -3163.699631461882
3dma1msa3sa          -3167.037004036848
4ma4sa               -3180.977814506192
3dma4sa              -3202.9329473931
4dma3msa1sa          -3230.210651739746
1ma4sa2tma           -3242.172632924948
4dma2msa2sa          -3266.121185065292
4dma1msa3sa          -3302.027302848953
4dma4sa              -3337.921634378941
2ma4sa2tma           -3337.927199626785
3msa2sa              -3389.729562568231
1ma4sa3tma           -3416.397301580252
2msa3sa              -3425.625157046161
3msa3sa              -4089.223330333826
