#CLUSTER  dG_298.15K_[kcal/mol] dH_298.15K_[kcal/mol] dS_298.15K_[cal/mol/K]
4ma                       15.763839078921592   -15.240197517588967 -103.98804828617428
4dma                      12.95619689655723    -18.922940787044354 -106.9231517138424 
3ma                       10.494986168137984   -9.34368804175756   -66.53923934216108 
3dma                      9.551213646540418    -11.196840682910988 -69.58931520885248 
2tma                      6.113290116452845    -3.2966592404118273 -31.56112479277796 
1dma1ma                   5.793414003637736    -2.7378026699079783 -28.61384093080396 
2dma                      5.4815428396104835   -4.173524723039009  -32.38325528307156 
1dma1p                    5.464704097001231    4.7429053490486694  -2.420924863083698 
1eda1ma                   5.443938959768275    -4.74495436160214   -34.17371565116396 
1eda1tma                  5.435122013019281    -4.58109897164104   -33.5945697958483  
1dma1eda                  5.259799436680623    -5.341366096414276  -35.55648342470896 
1ma1tma                   5.203655354984221    -3.6854419605224393 -29.81417848564486 
1am1eda                   5.035362973445444    -3.2545868898305343 -27.804628084102077
2ma                       4.976679764062283    -2.720854295112076  -25.817655741036134
2eda                      4.663140546850627    -7.058482345455559  -39.31451582177911 
1am1ma                    4.557988047723484    -2.4597768560706754 -23.53769882213888 
1dma1tma                  4.500349979149178    -4.31436189415399   -29.564688490136334
1am1dma                   4.259742303314852    -2.1610951940820087 -21.53559449067643 
1am1tma                   4.13703882903792     -3.179116611048812  -24.538505584865575
2am                       3.673806263366714    -1.9733443176664878 -18.94063585786448 
1fa2tma                   2.838583438540809    -18.166860974859446 -70.45260578035138 
2nta                      2.156401401211042    -8.80617522081593   -36.768662157448844
1fa1ma1tma                1.7599756411655108   -19.424473461782327 -71.05299045104212 
2fa2tma                   1.4190156045078766   -31.615547589433845 -110.79846786550625
1fa2ma                    1.3937690192396985   -19.084711936375243 -68.68516168226509 
2dma1fa                   1.0840260686090915   -20.484670417383313 -72.34176248850457 
2am2fa                    0.9511553821794223   -27.69427927979268  -96.07725863501403 
1am2fa1tma                0.6672795659687836   -30.479770853096852 -104.46771899781989
1dma1fa1ma                0.483263253554469    -20.6917584883995   -71.02137092746375 
1dma1fa1tma               0.4564301395585062   -20.910262842371594 -71.66423941628412 
1w                        0.0                  0.0                 0.0                
1tma                      0.0                  0.0                 0.0                
1sa                       0.0                  0.0                 0.0                
1pxml                     0.0                  0.0                 0.0                
1p1tma                    0.0                  0.0                 0.0                
1nta                      0.0                  0.0                 0.0                
1msa                      0.0                  0.0                 0.0                
1ml                       0.0                  0.0                 0.0                
1mf                       0.0                  0.0                 0.0                
1malonic                  0.0                  0.0                 0.0                
1ma                       0.0                  0.0                 0.0                
1fa                       0.0                  0.0                 0.0                
1etox                     0.0                  0.0                 0.0                
1eda                      0.0                  0.0                 0.0                
1dme                      0.0                  0.0                 0.0                
1dma                      0.0                  0.0                 0.0                
1am                       0.0                  0.0                 0.0                
1acon                     0.0                  0.0                 0.0                
1acan                     0.0                  0.0                 0.0                
1acal                     0.0                  0.0                 0.0                
1am2fa1ma                 -0.43537797751196194 -32.31963956641994  -106.94033737702203
2fa2ma                    -0.815236431080848   -33.51238456573628  -109.66677221041367
1msa1nta                  -0.9657728244492318  -12.719862099474994 -39.42340860360021 
1fa1nta                   -1.1254216170345899  -12.270807245193282 -37.381806567941474
1dma2fa1tma               -1.1813595322018955  -34.46805886537186  -111.6441366192669 
2ma1nta                   -1.2427338705747388  -23.321593920438318 -74.05285946625372 
1nta1sa                   -1.289663509465754   -12.37103875662433  -37.1671146981664  
2fa1ma1tma                -1.3367479895387078  -34.64091484787059  -111.70272298618667
1fa1ma                    -1.3372003142430913  -11.491912394012616 -34.05907120520005 
1eda2fa1tma               -1.4002045110973995  -36.080409069982124 -116.31797604895625
1am1eda2fa                -1.4134971916500945  -35.012361930217594 -112.69114451956929
1nta2tma                  -1.612238151166821   -23.2295702919655   -72.50488727500675 
3dma1malonic              -1.703337399463635   -36.564559390506474 -116.9251114915116 
1ma1nta1tma               -1.7348369579121936  -22.98732367058983  -71.28118971254968 
1am2fa                    -1.7912950763711706  -21.440372902958188 -65.90332995689678 
1dma1fa                   -1.8638928541186033  -12.286415053880773 -34.95731074879016 
1am1dma2fa                -2.037210644048173   -33.99950036298833  -107.20204500772964
1eda2fa1ma                -2.2187456380488584  -37.09220347065275  -116.96615070475869
2fa1ma                    -2.431282632300281   -24.001293147979595 -72.34616976610633 
2fa1tma                   -2.501972745434614   -24.585466518910835 -74.06840105141788 
1dma1p1w                  -2.553570295756799   -10.840176646677719 -27.7934138885907  
1eda2fa                   -2.628828722430626   -25.732680867717136 -77.49069979948851 
1dma2fa1ma                -2.7906369074626127  -35.59817029361875  -110.03700615899704
2eda2fa                   -3.0975637856172398  -39.916329584346386 -123.49074559359191
1fa1tma                   -3.1212994527450064  -13.335206233081408 -34.25761120363804 
2dma1malonic              -3.280282937368611   -25.967253277660348 -76.09247137434288 
2fa                       -3.3058957727334928  -14.498474144667853 -37.540091806016974
1dma1ml1p                 -3.4209974753466668  -13.188862034556223 -32.76157826327622 
1ma1nta                   -3.5158275445282925  -14.15639749681577  -35.68864649461729 
1ma1msa                   -3.7882577157579362  -15.476882888819091 -39.20384092961018 
1ma2nta                   -3.9054350944934413  -26.81372854358051  -76.83479271887937 
1fa1msa                   -3.9569774773553945  -15.97818773362087  -40.3193367644892  
1dma1malonic              -4.037767860048916   -15.601291847793618 -38.78424949747391 
1dma2fa                   -4.082220323383808   -26.49440103818779  -75.17082245458643 
1dma1ma1nta               -4.438451113499468   -26.703596312610898 -74.67766291843334 
1dma1nta                  -4.524449367512716   -15.428253239166224 -36.57153738608868 
2dma1nta                  -4.7856054777803365  -27.3171494868875   -75.57116890544982 
1nta1tma                  -4.905228726187488   -15.666626436111983 -36.09390477955755 
1fa1sa                    -5.080229603510816   -16.429757307691034 -38.06650244458215 
1dma1nta1tma              -5.1322134693327826  -27.153263181913644 -73.85896264584044 
1dma1eda2fa               -5.458473709732061   -40.03159433824476  -115.95881478596553
2msa                      -5.598828803864308   -19.116887415293604 -45.339790747313984
1malonic1sa               -5.610310722258873   -18.47550794784911  -43.150082929272514
2sa                       -5.721720378496684   -17.12328772433102  -38.24104425846781 
