# CLUSTER  dG
1eda2sa             -1589.0841662070313
1eda2sa1tma         -1763.1845939090663
1eda2sa2tma         -1937.267326199124
1eda3ma3sa          -2575.6044542449295
1eda3ma4sa          -3275.089537090095
1eda3sa1tma         -2462.6605906166365
1eda3sa2tma         -2636.759386116164
1eda3sa3tma         -2810.850490864553
1eda4sa2tma         -3336.24406097991
1eda4sa3tma         -3510.3383762740023
1ma1sa              -795.125918167828
1ma1sa1tma          -969.2156759243911
1ma1tma             -269.73570768933695
1ma2sa              -1494.6021401302798
1ma2sa1tma          -1668.704189264325
1ma2sa2tma          -1842.7902719227357
1ma3sa1tma          -2368.1805879233075
1ma3sa2tma          -2542.2836916708084
1ma3sa3tma          -2716.3714345923445
1ma4sa2tma          -3241.755135537285
1ma4sa3tma          -3415.8636630498863
1sa1tma             -873.548834793384
1sa2tma             -1047.6346325515158
2am                 -112.92195628636298
2am1dma1eda3sa      -2536.398624327138
2am1dma1eda4sa      -3235.8811810803654
2am1dma1ma3sa       -2441.920008606717
2am1dma1ma4sa       -3141.4011242259735
2am1dma2sa          -1646.7584206110178
2am1dma3sa          -2346.2426898176022
2am1dma3sa1tma      -2520.336705998522
2am1dma4sa          -3045.7137282102976
2am1dma4sa1tma      -3219.8230825439373
2am1eda1ma3sa       -2497.186257957348
2am1eda1ma4sa       -3196.6705737392776
2am1eda2sa          -1702.0248703925558
2am1eda3sa          -2401.511205518845
2am1eda3sa1tma      -2575.6059139494073
2am1eda4sa          -3100.986468460539
2am1eda4sa1tma      -3275.0876258999356
2am1ma2sa           -1607.546104592249
2am1ma3sa           -2307.028538565784
2am1ma3sa1tma       -2481.126247679247
2am1ma4sa           -3006.504733921987
2am1ma4sa1tma       -3180.61377343072
2am1sa              -812.392675867492
2am2dma3sa          -2481.133092903522
2am2dma4sa          -3180.615936232879
2am2eda3sa          -2591.668292663305
2am2eda4sa          -3291.1497000349445
2am2ma3sa           -2402.7070023547335
2am2ma4sa           -3102.194056801331
2am2sa              -1511.869524105515
2am2sa1tma          -1685.9644786877377
2am3sa              -2211.338131700642
2am3sa1tma          -2385.4460281637103
2am3sa2tma          -2559.538881009457
2am4sa1tma          -3084.9192113802214
2am4sa2tma          -3259.0299564550105
2dma                -269.73207394926305
2dma1eda1ma3sa      -2654.0295608265706
2dma1eda1ma4sa      -3353.509818521142
2dma1eda2sa         -1858.857747731459
2dma1eda3sa         -2558.349387399495
2dma1eda3sa1tma     -2732.4408204698984
2dma1eda4sa         -3257.8321853704197
2dma1eda4sa1tma     -3431.9299905943353
2dma1ma2sa          -1764.377033537103
2dma1ma3sa          -2463.8730721028164
2dma1ma3sa1tma      -2637.9656350061064
2dma1ma4sa          -3163.34368638434
2dma1ma4sa1tma      -3337.448019742978
2dma1sa             -969.214210004523
2dma2eda3sa         -2748.5069831477754
2dma2eda4sa         -3447.991974311962
2dma2ma3sa          -2559.5490397196804
2dma2ma4sa          -3259.031605331237
2dma2sa             -1668.7109506907898
2dma2sa1tma         -1842.7989291003353
2dma3sa             -2368.1830866010896
2dma3sa1tma         -2542.285351813047
2dma3sa2tma         -2716.378045958104
2dma4sa1tma         -3241.762823814647
2dma4sa2tma         -3415.864630646577
2eda                -380.26964830930507
2eda1ma2sa          -1874.9157382874942
2eda1ma3sa          -2574.406418020233
2eda1ma3sa1tma      -2748.499190454997
2eda1ma4sa          -3273.886875857616
2eda1ma4sa1tma      -3447.98572784459
2eda1sa             -1079.7549260365313
2eda2ma3sa          -2670.086687038636
2eda2ma4sa          -3369.5630066808912
2eda2sa             -1779.2450857629758
2eda2sa1tma         -1953.332097936712
2eda3sa             -2478.72146489499
2eda3sa1tma         -2652.8216421544653
2eda3sa2tma         -2826.912069836894
2eda4sa1tma         -3352.299571671676
2eda4sa2tma         -3526.401109475749
2ma                 -191.322801933397
2ma1sa              -890.7956765363389
2ma2sa              -1590.2848355048689
2ma2sa1tma          -1764.3739767960822
2ma3sa              -2289.7577726373443
2ma3sa1tma          -2463.86317497001
2ma3sa2tma          -2637.954532313982
2ma4sa1tma          -3163.339800170512
2ma4sa2tma          -3337.448341148838
2sa                 -1398.907869792963
2sa1tma             -1573.0220386183687
2sa2tma             -1747.1234293019552
2sa3tma             -1921.206047737317
2tma                -348.149285328547
3am1dma3sa          -2402.709554035621
3am1dma4sa          -3102.2003031506038
3am1eda3sa          -2457.9767632049898
3am1eda4sa          -3157.462844129691
3am1ma3sa           -2363.4981892142414
3am1ma4sa           -3062.9829754917705
3am2sa              -1568.3381171468018
3am3sa              -2267.8210799364897
3am3sa1tma          -2441.916622257042
3am4sa              -2967.2948083994006
3am4sa1tma          -3141.4052612900227
3dma1eda3sa         -2693.2361589480374
3dma1eda4sa         -3392.7198310676454
3dma1ma3sa          -2598.7602332076403
3dma1ma4sa          -3298.243543511778
3dma2sa             -1803.588317810569
3dma3sa             -2503.081789741712
3dma3sa1tma         -2677.1750945387657
3dma4sa             -3202.5510877087518
3dma4sa1tma         -3376.6571081263337
3eda1ma3sa          -2764.5602805701287
3eda1ma4sa          -3464.0488296700796
3eda2sa             -1969.3966819800028
3eda3sa             -2668.8869520392154
3eda3sa1tma         -2842.9742691491174
3eda4sa             -3368.3690340109733
3eda4sa1tma         -3542.461082430443
3ma2sa              -1685.9532224263799
3ma3sa              -2385.4471185305088
3ma3sa1tma          -2559.543648595837
3ma4sa              -3084.924625541716
3ma4sa1tma          -3259.035966312488
3sa2tma             -2446.593272541104
3sa3tma             -2620.6946912302888
3sa4tma             -2794.7787590830762
4am3sa              -2324.290382433845
4am4sa              -3023.7811152913687
4dma3sa             -2637.969093069231
4dma4sa             -3337.4512931673817
4eda3sa             -2859.036727075805
4eda4sa             -3558.5288858585554
4ma3sa              -2481.1248171281845
4ma4sa              -3180.6106115985276
4sa3tma             -3320.1704250109074
4sa4tma             -3494.276317868101
