Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
1msa1nta1am1dma-9_11    -1136.865498993613
1msa1nta1am1dma-52_8    -1136.829719117513
1msa1nta1am1dma-22_3    -1136.836193776322
1msa1nta1am1dma-10_1    -1136.887760782148
1msa1nta1am1dma-29_7    -1136.840767461875
1msa1nta1am1dma-18_11   -1136.842800485109
1msa1nta1am1dma-22_4    -1136.829994003142
1msa1nta1am1dma-10_6    -1136.837481276748
1msa1nta1am1dma-31_1    -1136.874360243049
1msa1nta1am1dma-9_2     -1136.853740290064
1msa1nta1am1dma-67_7    -1136.817843378047
1msa1nta1am1dma-2_6     -1136.861003833428
1msa1nta1am1dma-58_11   -1136.805822298175
1msa1nta1am1dma-55_5    -1136.821230236348
1msa1nta1am1dma-36_5    -1136.834839106019
1msa1nta1am1dma-5_2     -1136.8515053895  
1msa1nta1am1dma-52_1    -1136.859395977146
1msa1nta1am1dma-10_8    -1136.849602181301
1msa1nta1am1dma-60_3    -1136.809723371205
1msa1nta1am1dma-59_5    -1136.821538175125
1msa1nta1am1dma-4_11    -1136.860320398543
1msa1nta1am1dma-41_4    -1136.824041724615
1msa1nta1am1dma-17_2    -1136.836917237232
1msa1nta1am1dma-67_9    -1136.805945192522
1msa1nta1am1dma-2_8     -1136.85452825001 
1msa1nta1am1dma-55_11   -1136.82649750245 
1msa1nta1am1dma-31_8    -1136.835069921372
1msa1nta1am1dma-41_3    -1136.831580065078
1msa1nta1am1dma-17_5    -1136.833672879441
1msa1nta1am1dma-25_7    -1136.848014265586
1msa1nta1am1dma-36_2    -1136.822259455442
1msa1nta1am1dma-46_9    -1136.832399922188
1msa1nta1am1dma-30_10   -1136.822072122974
1msa1nta1am1dma-52_6    -1136.825236242825
1msa1nta1am1dma-5_5     -1136.864843080534
1msa1nta1am1dma-60_4    -1136.81342645273 
1msa1nta1am1dma-15_11   -1136.841785119549
1msa1nta1am1dma-59_2    -1136.814517702712
1msa1nta1am1dma-29_9    -1136.846630510619
1msa1nta1am1dma-62_2    -1136.802388571354
1msa1nta1am1dma-12_9    -1136.844458129181
1msa1nta1am1dma-7_3     -1136.857835236533
1msa1nta1am1dma-22_11   -1136.832394437924
1msa1nta1am1dma-34_4    -1136.840563619741
1msa1nta1am1dma-27_1    -1136.88090558345 
1msa1nta1am1dma-62_11   -1136.807957451241
1msa1nta1am1dma-65_8    -1136.811235639422
1msa1nta1am1dma-15_3    -1136.827486366665
1msa1nta1am1dma-43_5    -1136.82641153108 
1msa1nta1am1dma-47_10   -1136.828883238142
1msa1nta1am1dma-48_1    -1136.865707777738
1msa1nta1am1dma-27_6    -1136.825683652884
1msa1nta1am1dma-15_4    -1136.843640093449
1msa1nta1am1dma-43_2    -1136.820874228272
1msa1nta1am1dma-33_9    -1136.841262847016
1msa1nta1am1dma-48_6    -1136.835578505476
1msa1nta1am1dma-62_5    -1136.8206034148  
1msa1nta1am1dma-39_11   -1136.826110282963
1msa1nta1am1dma-7_4     -1136.839570459798
1msa1nta1am1dma-50_7    -1136.82123402169 
1msa1nta1am1dma-44_8    -1136.828537804131
1msa1nta1am1dma-34_3    -1136.832432765141
1msa1nta1am1dma-27_8    -1136.844710195513
1msa1nta1am1dma-57_3    -1136.818412849265
1msa1nta1am1dma-65_1    -1136.853159295701
1msa1nta1am1dma-33_7    -1136.830468279513
1msa1nta1am1dma-48_8    -1136.832315425659
1msa1nta1am1dma-38_3    -1136.846817740543
1msa1nta1am1dma-19_4    -1136.848336424611
1msa1nta1am1dma-20_2    -1136.837588241172
1msa1nta1am1dma-50_9    -1136.809887689613
1msa1nta1am1dma-44_6    -1136.846860688456
1msa1nta1am1dma-12_7    -1136.850295113309
1msa1nta1am1dma-11_10   -1136.852272659033
1msa1nta1am1dma-19_3    -1136.837595798981
1msa1nta1am1dma-20_5    -1136.844818864755
1msa1nta1am1dma-34_11   -1136.830047387366
1msa1nta1am1dma-44_1    -1136.869775904242
1msa1nta1am1dma-57_4    -1136.821943030587
1msa1nta1am1dma-65_6    -1136.815358021552
1msa1nta1am1dma-51_10   -1136.812245735146
1msa1nta1am1dma-38_4    -1136.850190077112
1msa1nta1am1dma-1_6     -1136.860443598983
1msa1nta1am1dma-56_5    -1136.817776276141
1msa1nta1am1dma-2_11    -1136.846318314836
1msa1nta1am1dma-39_5    -1136.827337266559
