#CLUSTER  ddE_[kcal/mol]
1sa1w     15.758949817946814
2sa       12.186105564247555
3w        10.444890282738925
1sa2w     8.785861821999788
2w        8.652483122637932
4w        0.48353885150027054
1sa3w     0.23427769472982618
3sa       -1.0472831152728759
2sa1w     -2.992374456561265
4sa       -7.610321147192735
5w        -11.603590101058217
3sa1w     -12.380638600087877
1sa4w     -13.138702574418858
2sa2w     -17.15019429885615
6w        -20.00734690342142
4sa1w     -22.809658580838914
2sa3w     -24.434881768869673
3sa2w     -25.25401894164861
1sa5w     -26.37554671215912
7w        -31.506989316538238
2sa4w     -34.17300529355634
3sa3w     -39.60276704973876
4sa2w     -40.55597053402926
1sa6w     -40.82594738019907
8w        -43.03477743859912
2sa5w     -46.8380806942987
3sa4w     -52.30827814453005
9w        -52.89488906316183
4sa3w     -55.32975945200087
1sa7w     -59.58500360549442
1sa8w     -62.844518937909015
3sa5w     -62.86859863448262
10w       -64.35869794130849
4sa4w     -64.74462067225613
1sa9w     -74.77974869733225
4sa5w     -84.24154680125139
1sa10w    -87.94800281833886
1sa11w    -97.0773678905025
1sa12w    -109.59521635431156
1sa13w    -119.65593364174129
1sa14w    -132.13111823682266
1sa15w    -140.03036560781766
