filename                                cluster(QHA=100cm^-1,T=298.15,p=1atm)  G(Eh)                H(Eh)                S(Eh/K)
1sa1cha1dma1am-11000101_4_966-str23     1am1cha1dma1sa                         -1653.0607530610393  -1652.9750149644449  0.00028756698505627283
1sa1cha1ma1am-11000011_13_770-str20     1am1cha1ma1sa                          -1613.85322399467    -1613.7730053152757  0.00026905476905608516
1sa1cha1tma1am-11001001_4_227-str74     1am1cha1sa1tma                         -1692.2684136918479  -1692.1857149773682  0.00027737284749091654
2sa1cha1am-21000001_1_900-str35         1am1cha2sa                             -2217.647567328546   -2217.5644269133745  0.00027885431887235895
1sa1mbtca1dma1am-10100101_4_378-str10   1am1dma1mbtca1sa                       -1653.0588778251713  -1652.9760606870514  0.00027777004232839
1sa1mbtca1ma1am-10100011_5_990-str30    1am1ma1mbtca1sa                        -1613.850477917105   -1613.7690482736523  0.0002731163624117351
1sa1pdpe1ma1am-10010011_4_976-str30     1am1ma1pdpe1sa                         -2114.6982214422874  -2114.593886837318   0.00034993997977162495
1sa1mbtca1tma1am-10101001_5_411-str32   1am1mbtca1sa1tma                       -1692.265267042491   -1692.1798306594992  0.0002865550326730106
2sa1mbtca1am-20100001_3_747-str7        1am1mbtca2sa                           -2217.6460390513666  -2217.5612178351003  0.0002844917533664255
1sa1pdpe1tma1am-10011001_4_275-str35    1am1pdpe1sa1tma                        -2193.104794304527   -2192.997174281031   0.0003609593275048592
2sa1pdpe1am-20010001_2_682-str84        1am1pdpe2sa                            -2718.4866125733533  -2718.379791746461   0.0003582788089624361
1sa1cha1dma1ma-11000110_5_347-str24     1cha1dma1ma1sa                         -1692.270625824489   -1692.1863891828689  0.000282531080394106
1sa1cha1tma1dma-11001100_4_144-str3     1cha1dma1sa1tma                        -1770.6897045540757  -1770.6014019694292  0.0002961683201299003
2sa1cha1dma-21000100_2_885-str95        1cha1dma2sa                            -2296.066206178434   -2295.974254939896   0.0003084059652463276
1sa1cha1tma1ma-11001010_4_304-str1      1cha1ma1sa1tma                         -1731.4773221300045  -1731.3918293763506  0.00028674410079993146
2sa1cha1ma-21000010_2_942-str7          1cha1ma2sa                             -2256.858143174727   -2256.771243041245   0.00029146447587507975
1sa1cha2tma-11002000_3_887-str63        1cha1sa2tma                            -1809.890002042464   -1809.7987861196716  0.00030593970414953883
1sa1cha2dma-11000200_2_803-str5         1cha2dma1sa                            -1731.4808430725643  -1731.3926995135462  0.00029563494555852354
1sa1cha2ma-11000020_3_829-str1          1cha2ma1sa                             -1653.0593635126847  -1652.975692559275   0.00028063375284086107
2sa1cha1tma-21001000_2_625-str13        1cha2sa1tma                            -2335.2743851557652  -2335.18263882685    0.0003077186950030271
1sa1mbtca1dma1ma-10100110_5_771-str1    1dma1ma1mbtca1sa                       -1692.2665414460264  -1692.1813122652563  0.0002858600730180706
1sa1pdpe1dma1ma-10010110_4_401-str62    1dma1ma1pdpe1sa                        -2193.1090059618964  -2193.001606583226   0.00036021928113643455
1sa1mbtca1tma1dma-10101100_4_632-str6   1dma1mbtca1sa1tma                      -1770.6888368129949  -1770.5992936626644  0.0003003291978224198
2sa1mbtca1dma-20100100_3_328-str9       1dma1mbtca2sa                          -2296.0664029884656  -2295.9759864396983  0.0003032585905306584
1sa1pdpe1tma1dma-10011100_4_120-str10   1dma1pdpe1sa1tma                       -2271.5181638153877  -2271.407248356272   0.0003720122727309722
2sa1pdpe1dma-20010100_4_543-str2        1dma1pdpe2sa                           -2796.9077749622447  -2796.798050709247   0.000368016947838812
1sa1mbtca1tma1ma-10101010_5_964-str1    1ma1mbtca1sa1tma                       -1731.4707414949332  -1731.383504651293   0.00029259380728030923
2sa1mbtca1ma-20100010_5_481-str14       1ma1mbtca2sa                           -2256.853413902134   -2256.763650556388   0.00030106773686396126
1sa1pdpe1tma1ma-10011010_4_672-str29    1ma1pdpe1sa1tma                        -2232.313332812974   -2232.201806536736   0.000374060963400501
2sa1pdpe1ma-20010010_4_957-str98        1ma1pdpe2sa                            -2757.699655619856   -2757.589155998867   0.00037061754482410283
1sa1mbtca2tma-10102000_2_521-str3       1mbtca1sa2tma                          -1809.8893406259795  -1809.797892983925   0.000306716894363958
2sa1mbtca1tma-20101000_4_379-str9       1mbtca2sa1tma                          -2335.2700629138662  -2335.1780068486496  0.0003087575556506255
1sa1pdpe2tma-10012000_3_959-str56       1pdpe1sa2tma                           -2310.7308949290673  -2310.6178371326178  0.0003791977073620466
2sa1pdpe1tma-20011000_4_938-str16       1pdpe2sa1tma                           -2836.109736712385   -2835.9969454546217  0.00037830373222488167
1sa1cha2am-11000002_10_997-str28        2am1cha1sa                             -1574.6462630238366  -1574.567655871349   0.00026364968132674174
1sa1mbtca2am-10100002_3_686-str44       2am1mbtca1sa                           -1574.641430289634   -1574.5629055738439  0.0002633731872869983
1sa1pdpe2am-10010002_4_574-str77        2am1pdpe1sa                            -2075.4824042409873  -2075.3819764271448  0.00033683653812476727
1sa1mbtca2dma-10100200_1_297-str19      2dma1mbtca1sa                          -1731.4797648513843  -1731.3918169677002  0.00029497864727217525
1sa1pdpe2dma-10010200_3_935-str2        2dma1pdpe1sa                           -2232.3169564550662  -2232.205870614199   0.00037258373592872937
1sa1mbtca2ma-10100020_3_210-str51       2ma1mbtca1sa                           -1653.052524544301   -1652.9675070499811  0.00028515007318422037
1sa1pdpe2ma-10010020_4_682-str48        2ma1pdpe1sa                            -2153.8989783538173  -2153.793273679463   0.000354535215005588
1sa1cha1am-11000001_2_0-str49           1am1cha1sa                             -1518.1797858950586  -1518.1058940138018  0.00024783458412390246
1sa1mbtca1am-10100001_1_0-str43         1am1mbtca1sa                           -1518.178979022489   -1518.1057384627586  0.00024565004102041464
1sa1pdpe1am-10010001_2_0-str66          1am1pdpe1sa                            -2019.0155372082913  -2018.920999676851   0.00031708043414537576
1sa1cha1dma-11000100_2_0-str32          1cha1dma1sa                            -1596.5981590390913  -1596.519011833377   0.0002654610287247838
1sa1cha1ma-11000010_2_0-str43           1cha1ma1sa                             -1557.3882006519038  -1557.311686404143   0.000256630044477196
1sa1cha1tma-11001000_1_645-str86        1cha1sa1tma                            -1635.8034806748979  -1635.7228527189186  0.00027042748944882577
1sa1mbtca1dma-10100100_2_0-str54        1dma1mbtca1sa                          -1596.5980730338172  -1596.5186852547615  0.00026626791566403206
1sa1pdpe1dma-10010100_3_0-str53         1dma1pdpe1sa                           -2097.4350572327285  -2097.3352192768753  0.0003348581447365951
1sa1mbtca1ma-10100010_1_100-str36       1ma1mbtca1sa                           -1557.3861093689343  -1557.3090667442425  0.0002584022293887233
1sa1pdpe1ma-10010010_3_0-str27          1ma1pdpe1sa                            -2058.227561244895   -2058.129456175843   0.0003290460139242753
1sa1mbtca1tma-10101000_2_0-str5         1mbtca1sa1tma                          -1635.8035150013197  -1635.7242577072288  0.00026583026694898223
1sa1pdpe1tma-10011000_3_0-str39         1pdpe1sa1tma                           -2136.6405604581396  -2136.5397439786375  0.0003381401291372475
1am2cha1sa-12000001_1_150-str77         1am2cha1sa                             -2280.439731598808   -2280.339826373911   0.0003350837662161587
1am2mbtca1sa-10200001_3_703-str81       1am2mbtca1sa                           -2280.4322329795764  -2280.3289190719956  0.00034651654395458515
1am2pdpe1sa-10020001_3_905-str12        1am2pdpe1sa                            -3282.1209916093485  -3281.976675395691   0.00048403895239925717
1dma2mbtca1sa-10200100_3_453-str2       1dma2mbtca1sa                          -2358.8486824958904  -2358.7398540000727  0.0003650125635332466
1dma2pdpe1sa-10020100_3_336-str1        1dma2pdpe1sa                           -3360.540754103141   -3360.3882774383374  0.0005114092396601066
1ma2mbtca1sa-10200010_3_925-str3        1ma2mbtca1sa                           -2319.6405255558834  -2319.5345763916434  0.00035535523810242766
1ma2pdpe1sa-10020010_3_801-str18        1ma2pdpe1sa                            -3321.326553462135   -3321.1789390080303  0.0004951013050618333
2am2cha2sa-22000002_8_630-str8          2am2cha2sa                             -3036.3918562319955  -3036.2764829745643  0.0003869638015485811
2am2mbtca2sa-20200002_4_540-str1        2am2mbtca2sa                           -3036.3842513870536  -3036.267612346183   0.0003912092600080197
2am2pdpe2sa-20020002_3_507-str14        2am2pdpe2sa                            -4038.0698288446765  -4037.9090032700624  0.0005394116203730669
2cha1dma1sa-12000100_2_68-str3          2cha1dma1sa                            -2358.85899237598    -2358.752646221602   0.0003566867495484809
2cha1ma1sa-12000010_1_269-str62         2cha1ma1sa                             -2319.644186982249   -2319.536302918073   0.000361844924284361
2cha1sa1tma-12001000_2_695-str5         2cha1sa1tma                            -2398.059929671374   -2397.9514489853996  0.0003638460036027377
2cha2dma2sa-22000200_8_770-str99        2cha2dma2sa                            -3193.2259768003946  -3193.09848917958    0.000427595575430481
2cha2ma2sa-22000020_4_36-str34          2cha2ma2sa                             -3114.8109181511577  -3114.6852975944     0.00042133341189886064
2cha2sa2tma-22002000_4_21-str1          2cha2sa2tma                            -3271.636720134894   -3271.5044922742227  0.00044349441781193913
2dma2mbtca2sa-20200200_1_139-str44      2dma2mbtca2sa                          -3193.219441744634   -3193.0912572951024  0.0004299327503988809
2dma2pdpe2sa-20020200_1_867-str5        2dma2pdpe2sa                           -4194.907519441864   -4194.733634378341   0.000583213360802596
2ma2mbtca2sa-20200020_4_297-str45       2ma2mbtca2sa                           -3114.805482356414   -3114.6812381381437  0.0004167171499918602
2ma2pdpe2sa-20020020_4_827-str41        2ma2pdpe2sa                            -4116.486701306796   -4116.319963630307   0.0005592409072262449
2mbtca1sa1tma-10201000_2_356-str38      2mbtca1sa1tma                          -2398.052395338392   -2397.941309064047   0.00037258518982065543
2mbtca2sa2tma-20202000_1_613-str4       2mbtca2sa2tma                          -3271.634454143969   -3271.5026931626403  0.00044192849682667514
2pdpe1sa1tma-10021000_1_454-str59       2pdpe1sa1tma                           -3399.7376893302385  -3399.5848371500183  0.0005126687245350015
2pdpe2sa2tma-20022000_1_964-str7        2pdpe2sa2tma                           -4273.305090229044   -4273.128798003491   0.0005912870218077591
1am2cha2sa-22000001_2_675-str2          1am2cha2sa                             -2979.907867251253   -2979.794322297242   0.00038083164182744
1am2mbtca2sa-20200001_5_567-str13       1am2mbtca2sa                           -2979.8998335592732  -2979.7880066664875  0.0003750692362443932
1am2pdpe2sa-20020001_1_762-str75        1am2pdpe2sa                            -3981.5857861981785  -3981.4307163331778  0.0005201068757365805
1dma2mbtca2sa-20200100_3_631-str1       1dma2mbtca2sa                          -3058.3180498775837  -3058.2002779601344  0.00039500894666789373
1dma2pdpe2sa-20020100_2_169-str49       1dma2pdpe2sa                           -4060.00066949347    -4059.840025817529   0.0005388015292319107
1ma2mbtca2sa-20200010_1_704-str43       1ma2mbtca2sa                           -3019.108807635243   -3018.994422301365   0.00038365028971169406
1ma2pdpe2sa-20020010_4_664-str3         1ma2pdpe2sa                            -4020.7972785772386  -4020.6385819009106  0.0005322712605345867
