filename                                cluster(QHA=100cm^-1,T=298.15,p=1atm)  DeltaG(kcal/mol)     DeltaH(kcal/mol)     DeltaS(kcal/(K*mol))
2cha1dma1sa-12000100_2_68-str3          2cha1dma1sa                            -42.8719124213676    -88.26700379763497   -0.15225588253008132
1sa1cha2ma-11000020_3_829-str1          1cha2ma1sa                             -29.525736697134562  -68.27721837401623   -0.1299731064122513
2sa1cha1am-21000001_1_900-str35         1am1cha2sa                             -31.932464888552204  -71.6876478564227    -0.13333953703624318
2cha1ma1sa-12000010_1_269-str62         2cha1ma1sa                             -37.101291055383626  -79.35208817082457   -0.14170986790350787
1am2cha1sa-12000001_1_150-str77         1am2cha1sa                             -34.439293382747564  -78.28596467379248   -0.14706245611563726
2cha1sa1tma-12001000_2_695-str5         2cha1sa1tma                            -37.757889273940236  -82.89729322560015   -0.15139830270515253
1sa1cha2dma-11000200_2_803-str5         1cha2dma1sa                            -35.964609727147035  -76.26802046521334   -0.13517830198890884
2sa1pdpe1ma-20010010_4_957-str98        1ma1pdpe2sa                            -40.27746779518202   -79.56007511517964   -0.13175451054617357
1sa1pdpe2ma-10010020_4_682-str48        2ma1pdpe1sa                            -30.177380999492016  -68.38717335445108   -0.1281562715246844
1am2pdpe1sa-10020001_3_905-str12        1am2pdpe1sa                            -37.01661907142261   -79.56433502648724   -0.14270573857055596
1ma2pdpe1sa-10020010_3_801-str18        1ma2pdpe1sa                            -40.37292957800673   -84.26186116592726   -0.14720419784687327
1ma2mbtca1sa-10200010_3_925-str3        1ma2mbtca1sa                           -33.74864554585656   -75.991983066604     -0.14168484829887745
1sa1pdpe2am-10010002_4_574-str77        2am1pdpe1sa                            -20.04461308120517   -54.74390842189314   -0.11638200684514652
1sa1cha2am-11000002_10_997-str28        2am1cha1sa                             -21.5726782483398    -56.679967379022855  -0.11775042472129217
1sa1pdpe2dma-10010200_3_935-str2        2dma1pdpe1sa                           -34.41907823452493   -73.61067495757015   -0.13144925951041936
1dma2pdpe1sa-10020100_3_336-str1        1dma2pdpe1sa                           -45.76406679447973   -88.78119783167494   -0.1442801644679374
2sa1cha1dma-21000100_2_885-str95        1cha1dma2sa                            -39.97482269082684   -79.79131022084039   -0.13354515354606494
2sa1pdpe1am-20010001_2_682-str84        1am1pdpe2sa                            -32.2266857882496    -70.40687603200786   -0.12805698555643527
2sa1mbtca1am-20100001_3_747-str7        1am1mbtca2sa                           -30.445921633276157  -68.53558931697626   -0.12775337140248683
2sa1cha1tma-21001000_2_625-str13        1cha2sa1tma                            -39.40497668420721   -80.43378317277529   -0.1376112912574263
1sa1cha2tma-11002000_3_887-str63        1cha1sa2tma                            -30.30753317833296   -70.85050154197961   -0.1359817822025301
2sa1pdpe1dma-20010100_4_543-str2        1dma1pdpe2sa                           -41.85257188556716   -83.80097619537264   -0.140695637461519
1am2mbtca1sa-10200001_3_703-str81       1am2mbtca1sa                           -28.678797837987076  -69.1648954100092    -0.1357910366335893
1sa1pdpe2tma-10012000_3_959-str56       1pdpe1sa2tma                           -31.76115484777256   -71.88281863799784   -0.13456871973785758
1sa1mbtca2am-10100002_3_686-str44       2am1mbtca1sa                           -18.012578297406435  -52.5607891487889    -0.1158752669842872
2sa1pdpe1tma-20011000_4_938-str16       1pdpe2sa1tma                           -37.381397164732334  -78.48898433873546   -0.13787552297078665
1dma2mbtca1sa-10200100_3_453-str2       1dma2mbtca1sa                          -35.34734225430293   -77.96314182138303   -0.14293409212434674
1sa1mbtca2ma-10100020_3_210-str51       2ma1mbtca1sa                           -24.706718778936192  -62.00243444053922   -0.12509044327140617
1sa1mbtca2tma-10102000_2_521-str3       1mbtca1sa2tma                          -29.3649476095743    -69.15170388668776   -0.1334454344349853
2sa1mbtca1ma-20100010_5_481-str14       1ma1mbtca2sa                           -34.93989381182473   -73.33923182880972   -0.12879201078897445
2pdpe1sa1tma-10021000_1_454-str59       2pdpe1sa1tma                           -38.138733785031945  -82.00396532702143   -0.14712470750236578
2sa1mbtca1tma-20101000_4_379-str9       1mbtca2sa1tma                          -36.16521218531125   -76.38885066114017   -0.13491074450805027
2sa1mbtca1dma-20100100_3_328-str9       1dma1mbtca2sa                          -39.57077683543321   -79.7394792464329    -0.13472648804584547
1sa1cha1tma1ma-11001010_4_304-str1      1cha1ma1sa1tma                         -31.572836505729356  -72.44412186855334   -0.13708296281405474
1sa1mbtca2dma-10100200_1_297-str19      2dma1mbtca1sa                          -34.760477961506695  -74.57586800435092   -0.1335414725560612
2mbtca1sa1tma-10201000_2_356-str38      2mbtca1sa1tma                          -31.974983243984752  -74.25775756695657   -0.14181711998299834
1sa1cha1tma1am-11001001_4_227-str74     1am1cha1sa1tma                         -26.116533639506088  -65.33021555826417   -0.13152333362007976
1sa1cha1dma1am-11000101_4_966-str23     1am1cha1dma1sa                         -27.011643644131254  -63.23436661233427   -0.12149160814352646
1sa1cha1tma1dma-11001100_4_144-str3     1cha1dma1sa1tma                        -35.82303714113368   -77.11039637585054   -0.13847848141712576
1sa1pdpe1ma1am-10010011_4_976-str30     1am1ma1pdpe1sa                         -29.83618554630084   -65.49482914275723   -0.11959967666056015
1sa1cha1dma1ma-11000110_5_347-str24     1cha1dma1ma1sa                         -33.07306352473097   -73.6488254016731    -0.13609177218589186
1sa1cha1ma1am-11000011_13_770-str20     1am1cha1ma1sa                          -25.80693952686852   -63.31386209698394   -0.12579883471500775
1sa1mbtca1ma1am-10100011_5_990-str30    1am1ma1mbtca1sa                        -23.556222876068205  -59.69245431222953   -0.12120151412313122
1sa1mbtca1tma1ma-10101010_5_964-str1    1ma1mbtca1sa1tma                       -26.915923516164185  -66.08197962582926   -0.13136359587207216
1sa1pdpe1tma1ma-10011010_4_672-str29    1ma1pdpe1sa1tma                        -29.96286074818636   -67.78256926135509   -0.12684792390679533
1sa1pdpe1dma1ma-10010110_4_401-str62    1dma1ma1pdpe1sa                        -32.94992753531551   -72.27553909720154   -0.13189874748066427
1sa1mbtca1dma1ma-10100110_5_771-str1    1dma1ma1mbtca1sa                       -29.98255904566031   -69.3246920738602    -0.13195416075095012
1sa1pdpe1tma1am-10011001_4_275-str35    1am1pdpe1sa1tma                        -24.7386898847908    -61.598712304228684  -0.12362912097707647
1sa1mbtca1tma1am-10101001_5_411-str32   1am1mbtca1sa1tma                       -23.61445698737225   -60.4994361474819    -0.12371282629533414
1sa1mbtca1dma1am-10100101_4_378-str10   1am1dma1mbtca1sa                       -25.307382770697586  -62.75220839004032   -0.12559056051967504
1sa1pdpe1tma1dma-10011100_4_120-str10   1dma1pdpe1sa1tma                       -29.47452163907292   -69.8567709781637    -0.1354427279532811
1sa1mbtca1tma1dma-10101100_4_632-str6   1dma1mbtca1sa1tma                      -34.75098226907721   -74.64907526105526   -0.13381885960601062
1am2cha2sa-22000001_2_675-str2          1am2cha2sa                             -46.869815357378684  -103.35929470031988  -0.1894666421020247
2sa1cha2am-21000002_7_398-str28         2am1cha2sa                             -46.25789184309542   -95.28670357458759   -0.16444344031788732
2ma2pdpe1sa-10020020_4_553-str4         2ma2pdpe1sa                            -50.55711381562287   -106.7825488212402   -0.1885810330551959
2cha1dma2sa-22000100_5_771-str7         2cha1dma2sa                            -52.741740660741925  -112.07152622251306  -0.1989930758390805
2cha1ma2sa-22000010_3_434-str32         2cha1ma2sa                             -51.84128546656575   -111.09639895230066  -0.19874262446950508
2cha2ma1sa-12000020_3_436-str13         2cha2ma1sa                             -47.313975172815844  -104.26151000644313  -0.19100296774611336
2am2cha1sa-12000002_3_612-str67         2am2cha1sa                             -34.91980816872092   -89.82857401896035   -0.18416490306901384
2cha2sa1tma-22001000_4_115-str7         2cha2sa1tma                            -50.34571874696121   -108.98128753519268  -0.19666466137173583
2cha2dma1sa-12000200_3_260-str5         2cha2dma1sa                            -52.527601848356426  -111.33506802580087  -0.19724120804157613
