Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
1fa1dma1am-12_11       -28.61694722287
1fa1dma1am-7_6         -28.61835190648
1fa1dma1am-10_2        -28.61044991266
1fa1dma1am-3_10        -28.61879514776
1fa1dma1am-6_7         -28.61789727956
1fa1dma1am-11_3        -28.61225938828
1fa1dma1am-1_11        -28.63127386396
1fa1dma1am-10_10       -28.61395993817
1fa1dma1am-11_4        -28.61403819939
1fa1dma1am-1_4         -28.62343262372
1fa1dma1am-6_9         -28.61256755106
1fa1dma1am-1_3         -28.62635283432
1fa1dma1am-14_1        -28.63319463704
1fa1dma1am-8_1         -28.63443337839
1fa1dma1am-3_5         -28.61623062277
1fa1dma1am-14_11       -28.61522641766
1fa1dma1am-4_8         -28.6174375993 
1fa1dma1am-14_6        -28.61523949342
1fa1dma1am-8_6         -28.59401455747
1fa1dma1am-3_2         -28.62285178295
1fa1dma1am-5_10        -28.61702792757
1fa1dma1am-13_2        -28.62556313911
1fa1dma1am-4_6         -28.6245733306 
1fa1dma1am-14_8        -28.61665271387
1fa1dma1am-8_8         -28.61158270002
1fa1dma1am-8_10        -28.62303339739
1fa1dma1am-13_5        -28.62273659598
1fa1dma1am-4_1         -28.63995709825
1fa1dma1am-12_10       -28.60726325176
1fa1dma1am-7_7         -28.61735454259
1fa1dma1am-10_3        -28.61481115728
1fa1dma1am-3_11        -28.61292688365
1fa1dma1am-10_4        -28.61023293887
1fa1dma1am-7_9         -28.61095273227
1fa1dma1am-7_10        -28.6125748979 
1fa1dma1am-2_5         -28.62585610388
1fa1dma1am-9_1         -28.63484219301
1fa1dma1am-2_2         -28.62073464585
1fa1dma1am-9_6         -28.60859690226
1fa1dma1am-5_8         -28.61321757533
1fa1dma1am-9_8         -28.61503755183
1fa1dma1am-12_2        -28.62060317565
1fa1dma1am-5_6         -28.61445122198
1fa1dma1am-12_5        -28.61879884326
1fa1dma1am-5_1         -28.63487197768
1fa1dma1eda-61_7       -38.72957462752
1fa1dma1eda-48_11      -38.73093889518
1fa1dma1eda-58_1       -38.75807171165
1fa1dma1eda-53_5       -38.73473956541
1fa1dma1eda-9_4        -38.73501819637
1fa1dma1eda-37_1       -38.75890440849
1fa1dma1eda-24_4       -38.72605217404
1fa1dma1eda-16_6       -38.73378342676
1fa1dma1eda-54_8       -38.72270581318
1fa1dma1eda-24_3       -38.73984389291
1fa1dma1eda-13_11      -38.73929076012
1fa1dma1eda-16_1       -38.76273293811
1fa1dma1eda-40_7       -38.72235623315
1fa1dma1eda-36_10      -38.72086978468
1fa1dma1eda-58_6       -38.72932429982
1fa1dma1eda-53_2       -38.71315546639
1fa1dma1eda-23_9       -38.73997767137
1fa1dma1eda-2_7        -38.72121688195
1fa1dma1eda-37_6       -38.72566940462
1fa1dma1eda-9_3        -38.72874927745
1fa1dma1eda-53_11      -38.72286774685
1fa1dma1eda-54_6       -38.73308038026
1fa1dma1eda-66_4       -38.7214169331 
1fa1dma1eda-20_10      -38.71885780811
1fa1dma1eda-1_10       -38.71796647212
1fa1dma1eda-30_2       -38.73431387547
1fa1dma1eda-40_9       -38.71999251161
1fa1dma1eda-5_3        -38.73679533986
1fa1dma1eda-11_5       -38.73389543681
1fa1dma1eda-58_8       -38.73487011964
1fa1dma1eda-28_3       -38.72919289233
1fa1dma1eda-60_10      -38.7297075943 
1fa1dma1eda-23_7       -38.72652326644
1fa1dma1eda-2_9        -38.73171133206
1fa1dma1eda-45_11      -38.72226925912
1fa1dma1eda-37_8       -38.71156104243
1fa1dma1eda-47_3       -38.73301678129
1fa1dma1eda-11_2       -38.73131893551
1fa1dma1eda-61_9       -38.721752522  
1fa1dma1eda-28_4       -38.73129582847
1fa1dma1eda-47_4       -38.7325899761 
1fa1dma1eda-54_1       -38.76218510099
1fa1dma1eda-16_8       -38.73751954251
1fa1dma1eda-66_3       -38.72027930963
1fa1dma1eda-30_5       -38.72488817382
1fa1dma1eda-5_4        -38.73108667137
1fa1dma1eda-39_7       -38.73041005904
1fa1dma1eda-7_2        -38.7271661146 
1fa1dma1eda-42_8       -38.71882286849
1fa1dma1eda-32_3       -38.72238021988
1fa1dma1eda-29_11      -38.71767463785
1fa1dma1eda-64_5       -38.72505891595
1fa1dma1eda-8_11       -38.74182554463
1fa1dma1eda-56_7       -38.71593698118
1fa1dma1eda-45_2       -38.71167045935
1fa1dma1eda-35_9       -38.73077251926
1fa1dma1eda-21_6       -38.73133014897
1fa1dma1eda-13_4       -38.73823466248
1fa1dma1eda-45_5       -38.72823427249
1fa1dma1eda-57_10      -38.72515447702
1fa1dma1eda-18_7       -38.73528653913
1fa1dma1eda-21_1       -38.76189574129
1fa1dma1eda-63_8       -38.72393027269
1fa1dma1eda-13_3       -38.73548458005
1fa1dma1eda-7_5        -38.74038854326
1fa1dma1eda-32_4       -38.73077688678
1fa1dma1eda-32_11      -38.72814346412
1fa1dma1eda-64_2       -38.72776983602
1fa1dma1eda-14_9       -38.73704329107
1fa1dma1eda-17_10      -38.71656031713
1fa1dma1eda-41_10      -38.71315245199
1fa1dma1eda-68_2       -38.72446902175
1fa1dma1eda-64_11      -38.72495726755
1fa1dma1eda-18_9       -38.73053451213
1fa1dma1eda-51_4       -38.7335878263 
1fa1dma1eda-63_6       -38.72486369086
1fa1dma1eda-49_5       -38.72908102128
1fa1dma1eda-24_11      -38.73132665506
1fa1dma1eda-5_11       -38.73606286209
1fa1dma1eda-42_1       -38.76049214395
1fa1dma1eda-14_7       -38.74378480499
1fa1dma1eda-26_5       -38.72800691664
1fa1dma1eda-49_2       -38.7084797439 
1fa1dma1eda-39_9       -38.72128163986
1fa1dma1eda-42_6       -38.73983083581
1fa1dma1eda-26_2       -38.71876698374
1fa1dma1eda-56_9       -38.73222744042
1fa1dma1eda-35_7       -38.73452588583
1fa1dma1eda-68_5       -38.72356176781
1fa1dma1eda-21_8       -38.73572080595
1fa1dma1eda-51_3       -38.72246251484
1fa1dma1eda-63_1       -38.75699525388
1fa1dma1eda-17_6       -38.73367916408
1fa1dma1eda-51_11      -38.73022802699
1fa1dma1eda-25_4       -38.72786101694
1fa1dma1eda-34_10      -38.70180466859
1fa1dma1eda-52_5       -38.73100077286
1fa1dma1eda-59_1       -38.7569051483 
1fa1dma1eda-60_7       -38.72890633656
1fa1dma1eda-11_11      -38.7358553331 
1fa1dma1eda-8_4        -38.74817129162
1fa1dma1eda-36_1       -38.76046696387
1fa1dma1eda-22_9       -38.71751583277
1fa1dma1eda-52_2       -38.73636296112
1fa1dma1eda-59_6       -38.72207036938
1fa1dma1eda-36_6       -38.73306638945
1fa1dma1eda-8_3        -38.7454115818 
1fa1dma1eda-3_7        -38.73038531707
1fa1dma1eda-17_1       -38.76357708106
1fa1dma1eda-25_3       -38.73970483517
1fa1dma1eda-55_8       -38.72373515117
1fa1dma1eda-41_7       -38.73229721222
1fa1dma1eda-22_7       -38.73900635178
1fa1dma1eda-29_3       -38.73619481878
1fa1dma1eda-59_8       -38.72887258501
1fa1dma1eda-10_5       -38.7373602137 
1fa1dma1eda-39_10      -38.73046574224
1fa1dma1eda-46_3       -38.73859149895
1fa1dma1eda-36_8       -38.73384691504
1fa1dma1eda-3_9        -38.73430792853
1fa1dma1eda-67_4       -38.72399951978
1fa1dma1eda-55_6       -38.73094632031
1fa1dma1eda-4_3        -38.73732170893
1fa1dma1eda-41_9       -38.72141020444
1fa1dma1eda-31_2       -38.71680518447
1fa1dma1eda-67_3       -38.71515012061
1fa1dma1eda-17_8       -38.72703867747
1fa1dma1eda-55_1       -38.75763712739
1fa1dma1eda-47_11      -38.72631107521
1fa1dma1eda-4_4        -38.72436259718
1fa1dma1eda-31_5       -38.72608212603
1fa1dma1eda-62_10      -38.71705247365
1fa1dma1eda-29_4       -38.73742589161
1fa1dma1eda-22_10      -38.73852370538
1fa1dma1eda-3_10       -38.7355979865 
1fa1dma1eda-60_9       -38.72024432745
1fa1dma1eda-10_2       -38.72856726542
1fa1dma1eda-46_4       -38.72915584625
1fa1dma1eda-15_10      -38.72780549949
1fa1dma1eda-1_8        -38.73573697613
1fa1dma1eda-34_9       -38.73426300878
1fa1dma1eda-44_2       -38.70939163922
1fa1dma1eda-12_4       -38.73353113253
1fa1dma1eda-30_11      -38.71949020909
1fa1dma1eda-20_6       -38.7271190695 
1fa1dma1eda-33_3       -38.72182130705
1fa1dma1eda-43_8       -38.71830741938
1fa1dma1eda-38_7       -38.72571621304
1fa1dma1eda-6_2        -38.7307379502 
1fa1dma1eda-55_10      -38.73441674418
1fa1dma1eda-57_7       -38.72653708751
1fa1dma1eda-65_5       -38.73217732795
1fa1dma1eda-33_4       -38.73313506795
1fa1dma1eda-6_5        -38.72412080486
1fa1dma1eda-15_9       -38.73037300542
1fa1dma1eda-65_2       -38.73576312681
1fa1dma1eda-44_5       -38.72323320687
1fa1dma1eda-12_3       -38.73529828619
1fa1dma1eda-62_8       -38.72250004751
1fa1dma1eda-20_1       -38.7626051368 
1fa1dma1eda-19_7       -38.73406307101
1fa1dma1eda-43_1       -38.75764677146
1fa1dma1eda-58_10      -38.72351106166
1fa1dma1eda-48_5       -38.73011238677
1fa1dma1eda-27_5       -38.72488984445
1fa1dma1eda-15_7       -38.72787179513
1fa1dma1eda-1_1        -38.76492006148
1fa1dma1eda-62_6       -38.72467016102
1fa1dma1eda-18_10      -38.72114688315
1fa1dma1eda-50_4       -38.73035071177
1fa1dma1eda-19_9       -38.73395937814
1fa1dma1eda-1_6        -38.70634407164
1fa1dma1eda-34_7       -38.72933191793
1fa1dma1eda-62_1       -38.75462531719
1fa1dma1eda-50_3       -38.72320176028
1fa1dma1eda-20_8       -38.74342322916
1fa1dma1eda-26_11      -38.7298556745 
1fa1dma1eda-7_11       -38.73336742503
1fa1dma1eda-43_6       -38.72882233745
1fa1dma1eda-38_9       -38.71481321985
1fa1dma1eda-48_2       -38.72265695101
1fa1dma1eda-66_11      -38.72073214622
1fa1dma1eda-57_9       -38.72913949354
1fa1dma1eda-27_2       -38.72644758415
1fa1dma1eda-43_10      -38.71621004185
1fa1dma1eda-39_8       -38.72577242119
1fa1dma1eda-49_3       -38.72533802296
1fa1dma1eda-42_7       -38.72737723215
1fa1dma1eda-14_1       -38.76421015489
1fa1dma1eda-56_8       -38.73086690555
1fa1dma1eda-26_3       -38.73717829678
1fa1dma1eda-35_6       -38.71680358646
1fa1dma1eda-68_4       -38.73786222227
1fa1dma1eda-51_2       -38.71447463592
1fa1dma1eda-21_9       -38.73547602499
1fa1dma1eda-41_11      -38.71531920643
1fa1dma1eda-35_1       -38.75895312088
1fa1dma1eda-18_8       -38.72419156331
1fa1dma1eda-64_10      -38.73416316265
1fa1dma1eda-68_3       -38.7344807659 
1fa1dma1eda-51_5       -38.73069033217
1fa1dma1eda-63_7       -38.7203854095 
1fa1dma1eda-5_10       -38.72816983198
1fa1dma1eda-24_10      -38.73097087476
1fa1dma1eda-49_4       -38.73774561635
1fa1dma1eda-14_6       -38.73359218769
1fa1dma1eda-26_4       -38.72789714302
1fa1dma1eda-45_4       -38.72144540398
1fa1dma1eda-57_11      -38.7210618897 
1fa1dma1eda-18_6       -38.739174876  
1fa1dma1eda-13_2       -38.74137474083
1fa1dma1eda-63_9       -38.71218511952
1fa1dma1eda-7_4        -38.73726783604
1fa1dma1eda-39_1       -38.76008333197
1fa1dma1eda-32_5       -38.72926311579
1fa1dma1eda-32_10      -38.72599978124
1fa1dma1eda-14_8       -38.73638065663
1fa1dma1eda-64_3       -38.73286731061
1fa1dma1eda-56_1       -38.75543632661
1fa1dma1eda-17_11      -38.71075159404
1fa1dma1eda-39_6       -38.72865112211
1fa1dma1eda-7_3        -38.72715958692
1fa1dma1eda-32_2       -38.73766677313
1fa1dma1eda-42_9       -38.73284316591
1fa1dma1eda-8_10       -38.74180935318
1fa1dma1eda-29_10      -38.71738388403
1fa1dma1eda-64_4       -38.72255909027
1fa1dma1eda-56_6       -38.72700329328
1fa1dma1eda-35_8       -38.70458712193
1fa1dma1eda-45_3       -38.72527420911
1fa1dma1eda-18_1       -38.76191151222
1fa1dma1eda-21_7       -38.73001632124
1fa1dma1eda-13_5       -38.7344433653 
1fa1dma1eda-61_8       -38.73936755702
1fa1dma1eda-11_3       -38.75381271434
1fa1dma1eda-28_5       -38.74422647386
1fa1dma1eda-23_1       -38.76145182412
1fa1dma1eda-47_5       -38.7370085453 
1fa1dma1eda-66_2       -38.72773254266
1fa1dma1eda-16_9       -38.73710434878
1fa1dma1eda-30_4       -38.73401289655
1fa1dma1eda-5_5        -38.7274158993 
1fa1dma1eda-54_7       -38.72286009073
1fa1dma1eda-66_5       -38.71813312121
1fa1dma1eda-1_11       -38.71519593848
1fa1dma1eda-20_11      -38.73142741534
1fa1dma1eda-40_8       -38.71236885688
1fa1dma1eda-30_3       -38.73419657524
1fa1dma1eda-5_2        -38.72112546129
1fa1dma1eda-11_4       -38.73709391463
1fa1dma1eda-60_11      -38.72962423096
1fa1dma1eda-28_2       -38.72816503734
1fa1dma1eda-58_9       -38.73391974715
1fa1dma1eda-23_6       -38.73134471413
1fa1dma1eda-2_8        -38.7242154612 
1fa1dma1eda-45_10      -38.71711875217
1fa1dma1eda-47_2       -38.71026792645
1fa1dma1eda-37_9       -38.71863115784
1fa1dma1eda-24_2       -38.72198600651
1fa1dma1eda-54_9       -38.73002923484
1fa1dma1eda-13_10      -38.7337557215 
1fa1dma1eda-40_6       -38.73890766315
1fa1dma1eda-36_11      -38.73471359161
1fa1dma1eda-61_1       -38.75602168833
1fa1dma1eda-58_7       -38.72579566523
1fa1dma1eda-23_8       -38.71589559354
1fa1dma1eda-53_3       -38.72890142841
1fa1dma1eda-2_6        -38.73842833611
1fa1dma1eda-37_7       -38.71883277373
1fa1dma1eda-9_2        -38.72201934402
1fa1dma1eda-53_10      -38.71799027372
1fa1dma1eda-48_10      -38.73157259901
1fa1dma1eda-61_6       -38.72078615252
1fa1dma1eda-53_4       -38.72585433903
1fa1dma1eda-2_1        -38.76285954591
1fa1dma1eda-9_5        -38.73842244226
1fa1dma1eda-24_5       -38.72369451155
1fa1dma1eda-16_7       -38.73878790378
1fa1dma1eda-40_1       -38.75944880468
1fa1dma1eda-1_7        -38.72908703218
1fa1dma1eda-34_6       -38.72633518957
1fa1dma1eda-20_9       -38.72940262341
1fa1dma1eda-50_2       -38.71402947183
1fa1dma1eda-7_10       -38.73248115401
1fa1dma1eda-26_10      -38.73074215541
1fa1dma1eda-43_7       -38.71234182215
1fa1dma1eda-66_10      -38.73102354182
1fa1dma1eda-48_3       -38.72830030333
1fa1dma1eda-38_8       -38.72984053772
1fa1dma1eda-27_3       -38.74033086758
1fa1dma1eda-57_8       -38.72544224988
1fa1dma1eda-43_11      -38.72375242905
1fa1dma1eda-15_1       -38.76280175483
1fa1dma1eda-58_11      -38.71824118728
1fa1dma1eda-48_4       -38.73136859096
1fa1dma1eda-27_4       -38.72774621962
1fa1dma1eda-15_6       -38.73157004008
1fa1dma1eda-34_1       -38.76166152398
1fa1dma1eda-18_11      -38.73534945699
1fa1dma1eda-62_7       -38.72596301792
1fa1dma1eda-50_5       -38.72326135834
1fa1dma1eda-19_8       -38.72780092201
1fa1dma1eda-33_5       -38.7254835717 
1fa1dma1eda-6_4        -38.73485695464
1fa1dma1eda-38_1       -38.75887879081
1fa1dma1eda-57_1       -38.75856615847
1fa1dma1eda-65_3       -38.72352152966
1fa1dma1eda-15_8       -38.73193778131
1fa1dma1eda-44_4       -38.72605017819
1fa1dma1eda-62_9       -38.71498004592
1fa1dma1eda-12_2       -38.73061829824
1fa1dma1eda-19_6       -38.74534860502
1fa1dma1eda-1_9        -38.72767202131
1fa1dma1eda-15_11      -38.72957073959
1fa1dma1eda-44_3       -38.72318203394
1fa1dma1eda-34_8       -38.7321284081 
1fa1dma1eda-12_5       -38.7254165978 
1fa1dma1eda-30_10      -38.73284397797
1fa1dma1eda-20_7       -38.7471012723 
1fa1dma1eda-19_1       -38.76213044749
1fa1dma1eda-43_9       -38.7229470497 
1fa1dma1eda-33_2       -38.72212307131
1fa1dma1eda-38_6       -38.7291382176 
1fa1dma1eda-6_3        -38.72676084332
1fa1dma1eda-55_11      -38.72866616057
1fa1dma1eda-57_6       -38.73056726897
1fa1dma1eda-65_4       -38.73769024206
1fa1dma1eda-17_9       -38.73306752795
1fa1dma1eda-67_2       -38.72892352879
1fa1dma1eda-47_10      -38.72279914418
1fa1dma1eda-4_5        -38.71880572137
1fa1dma1eda-31_4       -38.73395402822
1fa1dma1eda-62_11      -38.72006885869
1fa1dma1eda-22_1       -38.76185655897
1fa1dma1eda-3_11       -38.72243892494
1fa1dma1eda-22_11      -38.73518608354
1fa1dma1eda-29_5       -38.72551274962
1fa1dma1eda-10_3       -38.72085636335
1fa1dma1eda-60_8       -38.71814924769
1fa1dma1eda-46_5       -38.7203765898 
1fa1dma1eda-22_6       -38.71663985265
1fa1dma1eda-59_9       -38.72892416412
1fa1dma1eda-29_2       -38.71271922558
1fa1dma1eda-10_4       -38.73412368613
1fa1dma1eda-36_9       -38.72962053392
1fa1dma1eda-46_2       -38.72166886061
1fa1dma1eda-39_11      -38.72078895309
1fa1dma1eda-3_8        -38.74529414781
1fa1dma1eda-67_5       -38.73369335719
1fa1dma1eda-55_7       -38.73038832502
1fa1dma1eda-4_2        -38.7249981786 
1fa1dma1eda-31_3       -38.73388201312
1fa1dma1eda-41_8       -38.72690277945
1fa1dma1eda-52_3       -38.73597385508
1fa1dma1eda-22_8       -38.72236988345
1fa1dma1eda-59_7       -38.71674069887
1fa1dma1eda-60_1       -38.75818486465
1fa1dma1eda-36_7       -38.7235675215 
1fa1dma1eda-8_2        -38.75059984699
1fa1dma1eda-3_6        -38.71871285953
1fa1dma1eda-55_9       -38.72830208735
1fa1dma1eda-25_2       -38.72009073707
1fa1dma1eda-41_6       -38.72936944208
1fa1dma1eda-17_7       -38.72887198591
1fa1dma1eda-51_10      -38.73317887208
1fa1dma1eda-25_5       -38.73051191699
1fa1dma1eda-41_1       -38.76010478413
1fa1dma1eda-34_11      -38.72992469593
1fa1dma1eda-52_4       -38.7288311669 
1fa1dma1eda-60_6       -38.72773583448
1fa1dma1eda-11_10      -38.73642497638
1fa1dma1eda-8_5        -38.74306506501
1fa1dma1eda-3_1        -38.76365242842
1fa1dma1eda-43_3       -38.73334090297
1fa1dma1eda-33_8       -38.71768644205
1fa1dma1eda-6_9        -38.73150411342
1fa1dma1eda-48_7       -38.72916819561
1fa1dma1eda-27_7       -38.74070981096
