Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-3
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/GF...
1msa1am1dma-29_6    -37.9909353002 
1msa1am1dma-4_4     -38.02172944242
1msa1am1dma-22_5    -38.01213887115
1msa1am1dma-29_1    -38.01115053041
1msa1am1dma-28_11   -37.98776732963
1msa1am1dma-4_3     -38.02303444726
1msa1am1dma-10_7    -38.00598800889
1msa1am1dma-3_9     -38.01656055916
1msa1am1dma-4_10    -38.02024493348
1msa1am1dma-10_9    -38.00850719199
1msa1am1dma-17_3    -38.0142284841 
1msa1am1dma-3_7     -38.0147059695 
1msa1am1dma-25_1    -38.02288160998
1msa1am1dma-8_3     -38.02668303973
1msa1am1dma-31_9    -37.99439988437
1msa1am1dma-17_4    -38.01254277294
1msa1am1dma-25_6    -38.00332522364
1msa1am1dma-8_4     -38.02671562014
1msa1am1dma-25_11   -38.01247156058
1msa1am1dma-29_8    -37.996343954  
1msa1am1dma-12_8    -37.99932436179
1msa1am1dma-12_11   -38.00175331494
1msa1am1dma-1_6     -38.02788222574
1msa1am1dma-15_2    -38.01274726771
1msa1am1dma-27_7    -37.9834057588 
1msa1am1dma-1_1     -38.04534760287
1msa1am1dma-15_5    -38.01746539076
1msa1am1dma-27_9    -37.98472877116
1msa1am1dma-12_1    -38.02659799751
1msa1am1dma-6_5     -38.01828405658
1msa1am1dma-20_3    -38.0155599517 
1msa1am1dma-19_5    -38.00797314422
1msa1am1dma-12_6    -38.01537664055
1msa1am1dma-6_2     -38.02192613968
1msa1am1dma-20_4    -38.0091449439 
1msa1am1dma-19_2    -38.01254642062
1msa1am1dma-21_10   -38.00849220455
1msa1am1dma-1_8     -38.02911983388
1msa1am1dma-5_4     -38.01601357219
1msa1am1dma-28_6    -37.98815064579
1msa1am1dma-23_2    -38.00916555844
1msa1am1dma-30_7    -37.985953003  
1msa1am1dma-24_8    -38.00693855298
1msa1am1dma-14_10   -38.01139641519
1msa1am1dma-2_9     -38.02301841213
1msa1am1dma-31_11   -37.99387273326
1msa1am1dma-11_7    -38.00288047656
1msa1am1dma-5_3     -38.02014652735
1msa1am1dma-28_1    -38.01294049968
1msa1am1dma-23_5    -38.00371547744
1msa1am1dma-9_3     -38.01230399172
1msa1am1dma-24_1    -38.02177000434
1msa1am1dma-27_11   -37.98583671084
1msa1am1dma-2_7     -38.03520340553
1msa1am1dma-16_3    -38.01116343848
1msa1am1dma-11_9    -38.00340499947
1msa1am1dma-28_8    -37.9873263744 
1msa1am1dma-6_10    -38.02731517884
1msa1am1dma-30_9    -37.98421240331
