#CLUSTER  dE_[Eh]
1am1sa    -756.751218915775
2am2sa    -1513.552853857219
3am3sa    -2270.356789527871
4am4sa    -3027.159161359031
5am5sa    -3783.970081269651
4am6sa    -4427.614090067334
5am6sa    -4484.196366478239
6am6sa    -4540.77367484026
7am6sa    -4597.336503771818
8am6sa    -4653.891928840506
5am7sa    -5184.426995477297
6am7sa    -5241.005143075836
7am7sa    -5297.584949957613
8am7sa    -5354.149129722773
9am7sa    -5410.710141708188
6am8sa    -5941.225720028582
7am8sa    -5997.827293236576
8am8sa    -6054.405238508833
9am8sa    -6110.9778351427
10am8sa   -6167.524278699696
7am9sa    -6698.040038181348
8am9sa    -6754.634266965694
9am9sa    -6811.223460331091
10am9sa   -6867.771741632211
11am9sa   -6924.32344296166
8am10sa   -7454.850912837594
9am10sa   -7511.432399428064
10am10sa  -7568.021868467433
11am10sa  -7624.574274555346
12am10sa  -7681.130628560541
9am11sa   -8211.646465429169
10am11sa  -8268.22913273962
11am11sa  -8324.80987253752
12am11sa  -8381.38453000716
13am11sa  -8437.945972027599
10am12sa  -8968.470773607598
11am12sa  -9025.044579497184
12am12sa  -9081.630174252097
13am12sa  -9138.185799187184
14am12sa  -9194.752926259607
11am13sa  -9725.268674943834
12am13sa  -9781.847474544802
13am13sa  -9838.432161658087
14am13sa  -9894.991075455284
15am13sa  -9951.546548189353
12am14sa  -10482.082267078236
13am14sa  -10538.66013724611
14am14sa  -10595.239239141449
15am14sa  -10651.794230582995
16am14sa  -10708.363176186293
13am15sa  -11238.885042508384
14am15sa  -11295.472630459277
15am15sa  -11352.05943393307
16am15sa  -11408.611131049816
17am15sa  -11465.157566529133
14am16sa  -11995.701468297453
15am16sa  -12052.26900553123
16am16sa  -12108.85504009792
17am16sa  -12165.411029872894
18am16sa  -12221.967903914861
15am17sa  -12752.491310274925
16am17sa  -12809.07440246563
17am17sa  -12865.669176893703
18am17sa  -12922.230373439115
19am17sa  -12978.782749760097
16am18sa  -13509.311452610073
17am18sa  -13565.895021199589
18am18sa  -13622.452659628916
19am18sa  -13679.03883903813
20am18sa  -13735.590958976853
17am19sa  -14266.122006157695
18am19sa  -14322.690763458762
19am19sa  -14379.281753834648
20am19sa  -14435.848353249226
21am19sa  -14492.388033702033
18am20sa  -15022.91998336426
19am20sa  -15079.509251799702
20am20sa  -15136.066943646088
21am20sa  -15192.669378126107
22am20sa  -15249.190755848736
21am21sa  -15892.88627713704
22am22sa  -16649.694460345603
23am23sa  -17406.501005306196
24am24sa  -18163.301853189165
25am25sa  -18920.12689221395
26am26sa  -19676.95254237579
27am27sa  -20433.761151936218
28am28sa  -21190.565354875653
29am29sa  -21947.359979144003
30am30sa  -22704.165702956394
