#CLUSTER            ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
1am1dma1eda2sa      -43.842205868451856  -91.43257973517757   -159.61889608127007
1am1dma1ma2sa       -43.970893468824215  -89.63419975631405   -153.15547974889057
1dma1eda2sa         -44.35050172766205   -81.32952571159694   -124.02825417911741
2dma2sa             -44.99551801639609   -81.17778952594381   -121.35593328645768
1dma1malonic3sa     -45.34156308299862   -97.3557234571781    -174.45634873137936
1eda1ma2sa1tma      -45.36830583575647   -95.24892488386831   -167.3004160600755
1am1ma3sa           -45.756387962261215  -93.18024683068506   -159.060402040011
1dma2sa2tma         -46.10160023113713   -95.54664536315249   -165.83949398611077
1dma1ma2sa1tma      -46.145882185548544  -95.58219054350047   -165.81019070159724
1dma1eda1ma2sa      -46.34909101994708   -96.6200926481979    -168.60976564751016
2dma1ma2sa          -46.670110488310456  -96.5183037482202    -167.19165943189998
2eda1ma2sa          -46.78092585375998   -98.18050683196634   -172.39503933502536
1am2dma2sa          -47.04691944504157   -93.20256062329281   -154.80677906370747
2eda2sa1tma         -47.699169924715534  -100.0891958452703   -175.71700794960805
1dma1eda2sa1tma     -48.501564417616464  -99.14153130722116   -169.84728119934266
3eda2sa             -49.13244952436071   -100.01115979033057  -170.6480304067213
1dma2eda2sa         -49.20686408539768   -101.0852631215239   -174.0010029718465
3dma2sa             -50.00731113436632   -100.22650306217838  -168.43599506174516
2dma2sa1tma         -50.02635713794734   -99.00665878233849   -164.28073669055541
2dma1eda2sa         -50.247932175174356  -101.24044675799087  -171.02973195567952
1am1dma3sa          -50.43247550167143   -98.82841018517502   -162.3207602987295
2ma3sa              -50.75477205100469   -99.99327203747816   -165.14673817212974
3am3sa              -51.17479129554704   -107.24979856540449  -188.07649595570484
1am3sa1tma          -51.35529812297318   -100.11782793697785  -163.55032638997687
1am1eda3sa          -52.64909102907404   -103.31608914560638  -169.93794437710713
2dma1malonic2sa     -52.80679668660741   -104.45641115831677  -173.2336557828349
1eda1ma3sa          -53.355933150975034  -103.44901573867537  -168.01302226051249
4am3sa              -54.70728920632973   -123.8204038226977   -231.80652227404778
3sa2tma             -54.91185788298026   -106.50616635096958  -173.04815853688936
2am1ma3sa           -55.24132258351892   -113.89413559157401  -196.7224987686267
1dma1ma3sa          -55.25985977216624   -105.02375717018731  -166.9089297263407
1ma3sa1tma          -56.080607701907866  -106.1204324052378   -167.83439444202213
2am3sa1tma          -57.265527433832176  -117.13175644280273  -200.79231598013774
1dma3sa1tma         -58.636422002571635  -108.25593825962278  -166.4246730060271
2dma3sa             -58.94490210595541   -108.66788766137324  -166.77171073519335
1eda3sa1tma         -59.14311203348916   -111.29337580196443  -174.91284175297915
3am1ma3sa           -59.17657629167661   -129.93278289446607  -237.31747980139883
2am1eda3sa          -59.587898787809536  -118.57194874738343  -197.83347294793649
2am1dma3sa          -60.00840752921067   -118.51359304902144  -196.22735374592105
2eda3sa             -60.10286256019026   -114.5537738034036   -182.62925119178865
3am1eda3sa          -60.994603500235826  -131.63519962131977  -236.92972034479868
3am3sa1tma          -61.272340914350934  -132.05602579234983  -237.4096423890498
1dma1eda3sa         -61.496340725105256  -113.35101619036868  -173.92143372405496
1am2ma3sa           -61.603868931531906  -120.62359450943768  -197.95312955965613
3am1dma3sa          -61.789287405088544  -131.27279643551446  -233.04883122704604
1am1ma3sa1tma       -62.316323015023954  -123.29795602496597  -204.53339932702733
2am2ma3sa           -64.06908118911088   -135.93548746709712  -241.0411077568666
1am1eda1ma3sa       -64.43337113107555   -124.82534527708776  -202.55567380547086
1am3sa2tma          -64.86180233815685   -125.74330567888683  -204.19756277117372
1am1dma1ma3sa       -65.10792802390642   -125.15819650911726  -201.4095874057124
2am3sa2tma          -65.3872719919309    -137.9038885793998   -243.22192382065185
2am1eda1ma3sa       -65.43991815974005   -135.98229591571726  -236.6002943333129
3dma1malonic2sa     -65.44162424455862   -130.0609419014072   -216.73425341774453
3ma3sa              -65.53327529574744   -126.3254815354012   -203.8980588280039
1am1eda3sa1tma      -65.71375827805605   -127.8514152536809   -208.41072270793
2am1ma3sa1tma       -66.19794110150542   -137.3990831260744   -238.8098005188091
3am4sa              -66.45408300682902   -137.20155518967658  -237.28818441231854
1am2eda3sa          -66.45675855828449   -128.7881445856765   -209.06049313032258
1am1dma3sa1tma      -66.94943391287234   -128.3003691881604   -205.77204519569696
2ma3sa1tma          -67.12157976755407   -129.737675362936    -210.01541370113026
3sa3tma             -67.40377056167927   -129.93026453105267  -209.71488837684763
2dma1malonic3sa     -67.84285093587823   -132.9111147664953   -218.2400262631927
