system;max;temperature (K);am conc. (ppv);ma conc. (pptv);dma conc. (pptv);tma conc. (pptv);eda conc. (pptv);J (1/ml/s)
SA_4B;J4x4;278,15;10000;1;10;0;1;4,85
SA_4B;J4x4;278,15;10000;100;10;0;1;5,05
SA_4B;J4x4;278,15;10;1;1;0;10;2,98
SA_4B;J4x4;278,15;10;100;1;0;10;3,07
SA_4B;J4x4;278,15;10;1;10;0;10;5,8
SA_4B;J4x4;278,15;10;100;10;0;10;6,49
SA_4B;J4x4;278,15;10000;1;1;0;10;3,26
SA_4B;J4x4;278,15;10000;100;1;0;10;3,48
SA_4B;J4x4;278,15;10000;1;10;0;10;7,14
SA_4B;J4x4;278,15;10000;100;10;0;10;7,29
SA_4B;J4x4;278,15;10;1;0;1;1;1,18
SA_4B;J4x4;278,15;10;100;0;1;1;2,05
SA_4B;J4x4;278,15;10;1;0;10;1;9
SA_4B;J4x4;278,15;10;100;0;10;1;16,1
SA_4B;J4x4;278,15;10000;1;0;1;1;1,41
SA_4B;J4x4;278,15;10000;100;0;1;1;2,17
SA_4B;J4x4;278,15;10000;1;0;10;1;11,9
SA_4B;J4x4;278,15;10000;100;0;10;1;16,3
SA_4B;J4x4;278,15;10;1;0;1;10;6,77
SA_4B;J4x4;278,15;10;100;0;1;10;6,96
SA_4B;J4x4;278,15;10;1;0;10;10;30,6
SA_4B;J4x4;278,15;10;100;0;10;10;31,6
SA_4B;J4x4;278,15;10000;1;0;1;10;7
SA_4B;J4x4;278,15;10000;100;0;1;10;7,29
SA_4B;J4x4;278,15;10000;1;0;10;10;31,2
SA_4B;J4x4;278,15;10000;100;0;10;10;31,8
SA_4B;J4x4;278,15;10;0;1;1;1;2,91
SA_4B;J4x4;278,15;10;0;10;1;1;4,75
SA_4B;J4x4;278,15;10;0;1;10;1;24,3
SA_4B;J4x4;278,15;10;0;10;10;1;31,7
SA_4B;J4x4;278,15;10000;0;1;1;1;5,26
SA_4B;J4x4;278,15;10000;0;10;1;1;10,2
SA_4B;J4x4;278,15;10000;0;1;10;1;29,4
SA_4B;J4x4;278,15;10000;0;10;10;1;40,5
SA_4B;J4x4;278,15;10;0;1;1;10;8,14
SA_4B;J4x4;278,15;10;0;10;1;10;10,3
SA_4B;J4x4;278,15;10;0;1;10;10;36,8
SA_4B;J4x4;278,15;10;0;10;10;10;38,5
SA_4B;J4x4;278,15;10000;0;1;1;10;8,47
SA_4B;J4x4;278,15;10000;0;10;1;10;12,3
SA_4B;J4x4;278,15;10000;0;1;10;10;37,2
SA_4B;J4x4;278,15;10000;0;10;10;10;41,5
SA_4B;J4x4;278,15;0;1;1;1;1;2,86
SA_4B;J4x4;278,15;0;1;10;1;1;4,82
SA_4B;J4x4;278,15;0;1;1;10;1;24
SA_4B;J4x4;278,15;0;1;10;10;1;31,7
SA_4B;J4x4;278,15;0;100;1;1;1;5,23
SA_4B;J4x4;278,15;0;100;10;1;1;8,76
SA_4B;J4x4;278,15;0;100;1;10;1;30,3
SA_4B;J4x4;278,15;0;100;10;10;1;37,8
SA_4B;J4x4;278,15;0;1;1;1;10;8,11
SA_4B;J4x4;278,15;0;1;10;1;10;10,3
SA_4B;J4x4;278,15;0;1;1;10;10;36,7
SA_4B;J4x4;278,15;0;1;10;10;10;38,5
SA_4B;J4x4;278,15;0;100;1;1;10;8,3
SA_4B;J4x4;278,15;0;100;10;1;10;11,4
SA_4B;J4x4;278,15;0;100;1;10;10;37,2
SA_4B;J4x4;278,15;0;100;10;10;10;40,1
SA_4B;J4x4;298,15;10;1;1;1;0;1,36E-06
SA_4B;J4x4;298,15;10;100;1;1;0;0,000224
SA_4B;J4x4;298,15;10;1;10;1;0;0,00159
SA_4B;J4x4;298,15;10;100;10;1;0;0,0152
SA_4B;J4x4;298,15;10000;1;1;1;0;0,000129
SA_4B;J4x4;298,15;10000;100;1;1;0;0,000709
SA_4B;J4x4;298,15;10000;1;10;1;0;0,0509
SA_4B;J4x4;298,15;10000;100;10;1;0;0,0787
SA_4B;J4x4;298,15;10;1;1;10;0;1,66E-05
SA_4B;J4x4;298,15;10;100;1;10;0;0,000323
SA_4B;J4x4;298,15;10;1;10;10;0;0,00811
SA_4B;J4x4;298,15;10;100;10;10;0;0,0348
SA_4B;J4x4;298,15;10000;1;1;10;0;0,000173
SA_4B;J4x4;298,15;10000;100;1;10;0;0,000871
SA_4B;J4x4;298,15;10000;1;10;10;0;0,0985
SA_4B;J4x4;298,15;10000;100;10;10;0;0,148
SA_4B;J4x4;298,15;10;1;1;0;1;6,76E-05
SA_4B;J4x4;298,15;10;100;1;0;1;0,000264
SA_4B;J4x4;298,15;10;1;10;0;1;0,00174
SA_4B;J4x4;298,15;10;100;10;0;1;0,0114
SA_4B;J4x4;298,15;10000;1;1;0;1;0,000181
SA_4B;J4x4;298,15;10000;100;1;0;1;0,000708
SA_4B;J4x4;298,15;10000;1;10;0;1;0,0372
SA_4B;J4x4;298,15;10000;100;10;0;1;0,0573
SA_4B;J4x4;298,15;10;1;1;0;10;0,0177
SA_4B;J4x4;298,15;10;100;1;0;10;0,0203
SA_4B;J4x4;298,15;10;1;10;0;10;0,0353
SA_4B;J4x4;298,15;10;100;10;0;10;0,0473
SA_4B;J4x4;298,15;10000;1;1;0;10;0,0196
SA_4B;J4x4;298,15;10000;100;1;0;10;0,022
SA_4B;J4x4;298,15;10000;1;10;0;10;0,0722
SA_4B;J4x4;298,15;10000;100;10;0;10;0,0925
SA_4B;J4x4;298,15;10;1;0;1;1;1,42E-05
SA_4B;J4x4;298,15;10;100;0;1;1;6,43E-05
SA_4B;J4x4;298,15;10;1;0;10;1;3,52E-05
SA_4B;J4x4;298,15;10;100;0;10;1;0,000116
SA_4B;J4x4;298,15;10000;1;0;1;1;5,32E-05
SA_4B;J4x4;298,15;10000;100;0;1;1;7,31E-05
SA_4B;J4x4;298,15;10000;1;0;10;1;9,04E-05
SA_4B;J4x4;298,15;10000;100;0;10;1;0,000128
SA_4B;J4x4;298,15;10;1;0;1;10;0,007
SA_4B;J4x4;298,15;10;100;0;1;10;0,00882
SA_4B;J4x4;298,15;10;1;0;10;10;0,0127
SA_4B;J4x4;298,15;10;100;0;10;10;0,0159
SA_4B;J4x4;298,15;10000;1;0;1;10;0,00836
SA_4B;J4x4;298,15;10000;100;0;1;10;0,00948
SA_4B;J4x4;298,15;10000;1;0;10;10;0,0147
SA_4B;J4x4;298,15;10000;100;0;10;10;0,0167
SA_4B;J4x4;298,15;10;0;1;1;1;9,34E-05
SA_4B;J4x4;298,15;10;0;10;1;1;0,00289
SA_4B;J4x4;298,15;10;0;1;10;1;0,000142
SA_4B;J4x4;298,15;10;0;10;10;1;0,0106
SA_4B;J4x4;298,15;10000;0;1;1;1;0,000239
SA_4B;J4x4;298,15;10000;0;10;1;1;0,0527
SA_4B;J4x4;298,15;10000;0;1;10;1;0,000338
SA_4B;J4x4;298,15;10000;0;10;10;1;0,101
SA_4B;J4x4;298,15;10;0;1;1;10;0,0223
SA_4B;J4x4;298,15;10;0;10;1;10;0,0477
SA_4B;J4x4;298,15;10;0;1;10;10;0,0308
SA_4B;J4x4;298,15;10;0;10;10;10;0,0935
SA_4B;J4x4;298,15;10000;0;1;1;10;0,0245
SA_4B;J4x4;298,15;10000;0;10;1;10;0,0964
SA_4B;J4x4;298,15;10000;0;1;10;10;0,0336
SA_4B;J4x4;298,15;10000;0;10;10;10;0,179
SA_4B;J4x4;298,15;0;1;1;1;1;5,43E-05
SA_4B;J4x4;298,15;0;1;10;1;1;0,00289
SA_4B;J4x4;298,15;0;1;1;10;1;8,74E-05
SA_4B;J4x4;298,15;0;1;10;10;1;0,0101
SA_4B;J4x4;298,15;0;100;1;1;1;0,000348
SA_4B;J4x4;298,15;0;100;10;1;1;0,0167
SA_4B;J4x4;298,15;0;100;1;10;1;0,00507
SA_4B;J4x4;298,15;0;100;10;10;1;0,0371
SA_4B;J4x4;298,15;0;1;1;1;10;0,0206
SA_4B;J4x4;298,15;0;1;10;1;10;0,0477
SA_4B;J4x4;298,15;0;1;1;10;10;0,0293
SA_4B;J4x4;298,15;0;1;10;10;10;0,093
SA_4B;J4x4;298,15;0;100;1;1;10;0,0254
SA_4B;J4x4;298,15;0;100;10;1;10;0,0638
SA_4B;J4x4;298,15;0;100;1;10;10;0,035
SA_4B;J4x4;298,15;0;100;10;10;10;0,123
SA_3B;J4x4;278,15;10;1;1;0;0;3,19E-02
SA_3B;J4x4;278,15;10;100;1;0;0;4,19E-01
SA_3B;J4x4;278,15;10;1;10;0;0;1,57E+00
SA_3B;J4x4;278,15;10;100;10;0;0;3,78E+00
SA_3B;J4x4;278,15;10000;1;1;0;0;4,69E-01
SA_3B;J4x4;278,15;10000;100;1;0;0;8,39E-01
SA_3B;J4x4;278,15;10000;1;10;0;0;4,59E+00
SA_3B;J4x4;278,15;10000;100;10;0;0;4,80E+00
SA_3B;J4x4;278,15;10;1;0;1;0;1,18E-02
SA_3B;J4x4;278,15;10;100;0;1;0;5,07E-01
SA_3B;J4x4;278,15;10;1;0;10;0;1,70E+00
SA_3B;J4x4;278,15;10;100;0;10;0;1,18E+01
SA_3B;J4x4;278,15;10000;1;0;1;0;3,24E-02
SA_3B;J4x4;278,15;10000;100;0;1;0;5,28E-01
SA_3B;J4x4;278,15;10000;1;0;10;0;2,23E+00
SA_3B;J4x4;278,15;10000;100;0;10;0;1,20E+01
SA_3B;J4x4;278,15;10;1;0;0;1;7,69E-02
SA_3B;J4x4;278,15;10;100;0;0;1;1,51E-01
SA_3B;J4x4;278,15;10;1;0;0;10;2,25E+00
SA_3B;J4x4;278,15;10;100;0;0;10;2,34E+00
SA_3B;J4x4;278,15;10000;1;0;0;1;1,11E+00
SA_3B;J4x4;278,15;10000;100;0;0;1;3,40E-01
SA_3B;J4x4;278,15;10000;1;0;0;10;2,46E+00
SA_3B;J4x4;278,15;10000;100;0;0;10;2,70E+00
SA_3B;J4x4;278,15;10;0;1;1;0;1,02E+00
SA_3B;J4x4;278,15;10;0;10;1;0;4,34E+00
SA_3B;J4x4;278,15;10;0;1;10;0;1,95E+01
SA_3B;J4x4;278,15;10;0;10;10;0;3,13E+01
SA_3B;J4x4;278,15;10000;0;1;1;0;4,83E+00
SA_3B;J4x4;278,15;10000;0;10;1;0;9,94E+00
SA_3B;J4x4;278,15;10000;0;1;10;0;2,73E+01
SA_3B;J4x4;278,15;10000;0;10;10;0;4,04E+01
SA_3B;J4x4;278,15;10;0;1;0;1;2,91E-01
SA_3B;J4x4;278,15;10;0;10;0;1;1,76E+00
SA_3B;J4x4;278,15;10;0;1;0;10;2,98E+00
SA_3B;J4x4;278,15;10;0;10;0;10;5,78E+00
SA_3B;J4x4;278,15;10000;0;1;0;1;6,95E-01
SA_3B;J4x4;278,15;10000;0;10;0;1;4,84E+00
SA_3B;J4x4;278,15;10000;0;1;0;10;3,25E+00
SA_3B;J4x4;278,15;10000;0;10;0;10;7,13E+00
SA_3B;J4x4;278,15;10;0;0;1;1;1,14E+00
SA_3B;J4x4;278,15;10;0;0;10;1;7,81E+00
SA_3B;J4x4;278,15;10;0;0;1;10;6,77E+00
SA_3B;J4x4;278,15;10;0;0;10;10;3,06E+01
SA_3B;J4x4;278,15;10000;0;0;1;1;1,38E+00
SA_3B;J4x4;278,15;10000;0;0;10;1;1,11E+01
SA_3B;J4x4;278,15;10000;0;0;1;10;6,99E+00
SA_3B;J4x4;278,15;10000;0;0;10;10;3,11E+01
SA_3B;J4x4;278,15;0;1;1;1;0;1,14E+00
SA_3B;J4x4;278,15;0;1;10;1;0;4,42E+00
SA_3B;J4x4;278,15;0;1;1;10;0;2,00E+01
SA_3B;J4x4;278,15;0;1;10;10;0;3,76E+01
SA_3B;J4x4;278,15;0;100;1;1;0;4,77E+00
SA_3B;J4x4;278,15;0;100;10;1;0;8,53E+00
SA_3B;J4x4;278,15;0;100;1;10;0;2,89E+01
SA_3B;J4x4;278,15;0;100;10;10;0;3,13E+01
SA_3B;J4x4;278,15;0;1;1;0;1;2,97E-01
SA_3B;J4x4;278,15;0;1;10;0;1;1,80E+00
SA_3B;J4x4;278,15;0;1;1;0;10;2,97E+00
SA_3B;J4x4;278,15;0;1;10;0;10;5,78E+00
SA_3B;J4x4;278,15;0;100;1;0;1;6,55E-01
SA_3B;J4x4;278,15;0;100;10;0;1;4,01E+00
SA_3B;J4x4;278,15;0;100;1;0;10;3,07E+00
SA_3B;J4x4;278,15;0;100;10;0;10;6,49E+00
SA_3B;J4x4;278,15;0;1;0;1;1;8,45E-01
SA_3B;J4x4;278,15;0;1;0;10;1;8,54E+00
SA_3B;J4x4;278,15;0;1;0;1;10;6,71E+00
SA_3B;J4x4;278,15;0;1;0;10;10;3,05E+01
SA_3B;J4x4;278,15;0;100;0;1;1;2,04E+00
SA_3B;J4x4;278,15;0;100;0;10;1;1,59E+01
SA_3B;J4x4;278,15;0;100;0;1;10;6,96E+00
SA_3B;J4x4;278,15;0;100;0;10;10;3,16E+01
SA_3B;J4x4;278,15;0;0;1;1;1;2,72E+00
SA_3B;J4x4;278,15;0;0;1;10;1;2,36E+01
SA_3B;J4x4;278,15;0;0;1;1;10;8,10E+00
SA_3B;J4x4;278,15;0;0;1;10;10;3,66E+01
SA_3B;J4x4;278,15;0;0;10;1;1;4,68E+00
SA_3B;J4x4;278,15;0;0;10;10;1;3,15E+01
SA_3B;J4x4;278,15;0;0;10;1;10;1,03E+01
SA_3B;J4x4;278,15;0;0;10;10;10;3,85E+01
SA_3B;J4x4;298,15;10;1;1;0;0;3,02E-07
SA_3B;J4x4;298,15;10;100;1;0;0;0,000159
SA_3B;J4x4;298,15;10;1;10;0;0;0,000792
SA_3B;J4x4;298,15;10;100;10;0;0;0,0102
SA_3B;J4x4;298,15;10000;1;1;0;0;9,24E-05
SA_3B;J4x4;298,15;10000;100;1;0;0;0,000564
SA_3B;J4x4;298,15;10000;1;10;0;0;0,0351
SA_3B;J4x4;298,15;10000;100;10;0;0;0,0554
SA_3B;J4x4;298,15;10;1;0;1;0;1,83E-10
SA_3B;J4x4;298,15;10;100;0;1;0;1,12E-06
SA_3B;J4x4;298,15;10;1;0;10;0;3,33E-07
SA_3B;J4x4;298,15;10;100;0;10;0;1,52E-05
SA_3B;J4x4;298,15;10000;1;0;1;0;6,84E-09
SA_3B;J4x4;298,15;10000;100;0;1;0;1,30E-06
SA_3B;J4x4;298,15;10000;1;0;10;0;1,15E-06
SA_3B;J4x4;298,15;10000;100;0;10;0;1,91E-05
SA_3B;J4x4;298,15;10;1;0;0;1;8,58E-06
SA_3B;J4x4;298,15;10;100;0;0;1;4,38E-05
SA_3B;J4x4;298,15;10;1;0;0;10;0,0055
SA_3B;J4x4;298,15;10;100;0;0;10;0,00699
SA_3B;J4x4;298,15;10000;1;0;0;1;3,42E-05
SA_3B;J4x4;298,15;10000;100;0;0;1;5,63E-05
SA_3B;J4x4;298,15;10000;1;0;0;10;0,00664
SA_3B;J4x4;298,15;10000;100;0;0;10;0,00771
SA_3B;J4x4;298,15;10;0;1;1;0;1,17E-06
SA_3B;J4x4;298,15;10;0;10;1;0;0,00153
SA_3B;J4x4;298,15;10;0;1;10;0;1,57E-05
SA_3B;J4x4;298,15;10;0;10;10;0;0,00793
SA_3B;J4x4;298,15;10000;0;1;1;0;119
SA_3B;J4x4;298,15;10000;0;10;1;0;0,05
SA_3B;J4x4;298,15;10000;0;1;10;0;0,000162
SA_3B;J4x4;298,15;10000;0;10;10;0;0,097
SA_3B;J4x4;298,15;10;0;1;0;1;6,71E-05
SA_3B;J4x4;298,15;10;0;10;0;1;0,00169
SA_3B;J4x4;298,15;10;0;1;0;10;0,0176
SA_3B;J4x4;298,15;10;0;10;0;10;0,0352
SA_3B;J4x4;298,15;10000;0;1;0;1;0,000175
SA_3B;J4x4;298,15;10000;0;10;0;1;0,0367
SA_3B;J4x4;298,15;10000;0;1;0;10;0,0195
SA_3B;J4x4;298,15;10000;0;10;0;10;0,0718
SA_3B;J4x4;298,15;10;0;0;1;1;1,32E-05
SA_3B;J4x4;298,15;10;0;0;10;1;3,34E-05
SA_3B;J4x4;298,15;10;0;0;1;10;0,00694
SA_3B;J4x4;298,15;10;0;0;10;10;0,0127
SA_3B;J4x4;298,15;10000;0;0;1;1;5,27E-05
SA_3B;J4x4;298,15;10000;0;0;10;1;8,97E-05
SA_3B;J4x4;298,15;10000;0;0;1;10;0,00835
SA_3B;J4x4;298,15;10000;0;0;10;10;0,0147
SA_3B;J4x4;298,15;0;1;1;1;0;7,00E-07
SA_3B;J4x4;298,15;0;1;10;1;0;0,00155
SA_3B;J4x4;298,15;0;1;1;10;0;1,49E-05
SA_3B;J4x4;298,15;0;1;10;10;0;0,00781
SA_3B;J4x4;298,15;0;100;1;1;0;0,000217
SA_3B;J4x4;298,15;0;100;10;1;0;0,015
SA_3B;J4x4;298,15;0;100;1;10;0;0,000294
SA_3B;J4x4;298,15;0;100;10;10;0;0,0336
SA_3B;J4x4;298,15;0;1;1;0;1;3,94E-05
SA_3B;J4x4;298,15;0;1;10;0;1;0,00171
SA_3B;J4x4;298,15;0;1;1;0;10;0,0163
SA_3B;J4x4;298,15;0;1;10;0;10;0,0352
SA_3B;J4x4;298,15;0;100;1;0;1;0,000248
SA_3B;J4x4;298,15;0;100;10;0;1;0,0113
SA_3B;J4x4;298,15;0;100;1;0;10;0,0202
SA_3B;J4x4;298,15;0;100;10;0;10;0,0471
SA_3B;J4x4;298,15;0;1;0;1;1;3,54E-06
SA_3B;J4x4;298,15;0;1;0;10;1;2,17E-05
SA_3B;J4x4;298,15;0;1;0;1;10;0,00589
SA_3B;J4x4;298,15;0;1;0;10;10;0,0118
SA_3B;J4x4;298,15;0;100;0;1;1;6,35E-05
SA_3B;J4x4;298,15;0;100;0;10;1;0,000107
SA_3B;J4x4;298,15;0;100;0;1;10;0,0088
SA_3B;J4x4;298,15;0;100;0;10;10;0,0158
SA_3B;J4x4;298,15;0;0;1;1;1;5,24E-05
SA_3B;J4x4;298,15;0;0;1;10;1;8,11E-05
SA_3B;J4x4;298,15;0;0;1;1;10;0,0205
SA_3B;J4x4;298,15;0;0;1;10;10;0,0291
SA_3B;J4x4;298,15;0;0;10;1;1;0,00281
SA_3B;J4x4;298,15;0;0;10;10;1;0,00976
SA_3B;J4x4;298,15;0;0;10;1;10;0,0475
SA_3B;J4x4;298,15;0;0;10;10;10;0,0926
SA_2B;J4x4;278,15;10;1;0;0;0;3,69E-07
SA_2B;J4x4;278,15;10;100;0;0;0;0,013
SA_2B;J4x4;278,15;10000;1;0;0;0;3,53E-05
SA_2B;J4x4;278,15;10000;100;0;0;0;0,0904
SA_2B;J4x4;278,15;10;0;1;0;0;0,0157
SA_2B;J4x4;278,15;10;0;10;0;0;1,49
SA_2B;J4x4;278,15;10000;0;1;0;0;0,438
SA_2B;J4x4;278,15;10000;0;10;0;0;4,57
SA_2B;J4x4;278,15;10;0;0;1;0;0,00322
SA_2B;J4x4;278,15;10;0;0;10;0;1,264
SA_2B;J4x4;278,15;10000;0;0;1;0;0,0192
SA_2B;J4x4;278,15;10000;0;0;10;0;1,76
SA_2B;J4x4;278,15;10;0;0;0;1;0,0757
SA_2B;J4x4;278,15;10;0;0;0;10;2,25
SA_2B;J4x4;278,15;10000;0;0;0;1;0,0979
SA_2B;J4x4;278,15;10000;0;0;0;10;2,45
SA_2B;J4x4;278,15;0;1;1;0;0;0,0285
SA_2B;J4x4;278,15;0;1;10;0;0;1,54
SA_2B;J4x4;278,15;0;100;1;0;0;0,418
SA_2B;J4x4;278,15;0;100;10;0;0;3,77
SA_2B;J4x4;278,15;0;1;0;1;0;0,0117
SA_2B;J4x4;278,15;0;1;0;10;0;1,7
SA_2B;J4x4;278,15;0;100;0;1;0;0,507
SA_2B;J4x4;278,15;0;100;0;10;0;11,8
SA_2B;J4x4;278,15;0;1;0;0;1;0,0458
SA_2B;J4x4;278,15;0;1;0;0;10;2,23
SA_2B;J4x4;278,15;0;100;0;0;1;0,151
SA_2B;J4x4;278,15;0;100;0;0;10;2,33
SA_2B;J4x4;278,15;0;0;1;1;0;0,969
SA_2B;J4x4;278,15;0;0;1;10;0;19,4
SA_2B;J4x4;278,15;0;0;10;1;0;4,28
SA_2B;J4x4;278,15;0;0;10;10;0;31,2
SA_2B;J4x4;278,15;0;0;1;0;1;0,277
SA_2B;J4x4;278,15;0;0;1;0;10;2,96
SA_2B;J4x4;278,15;0;0;10;0;1;1,73
SA_2B;J4x4;278,15;0;0;10;0;10;5,76
SA_2B;J4x4;278,15;0;0;0;1;1;0,693
SA_2B;J4x4;278,15;0;0;0;1;10;6,69
SA_2B;J4x4;278,15;0;0;0;10;1;7,38
SA_2B;J4x4;278,15;0;0;0;10;10;30,5
SA_2B;J4x4;298,15;10;1;0;0;0;4,21E-13
SA_2B;J4x4;298,15;10;100;0;0;0;7,39E-07
SA_2B;J4x4;298,15;10000;1;0;0;0;4,11E-11
SA_2B;J4x4;298,15;10000;100;0;0;0;9,34E-07
SA_2B;J4x4;298,15;10;0;1;0;0;2,08E-07
SA_2B;J4x4;298,15;10;0;10;0;0;7,50E-04
SA_2B;J4x4;298,15;10000;0;1;0;0;8,48E-05
SA_2B;J4x4;298,15;10000;0;10;0;0;3,45E-02
SA_2B;J4x4;298,15;10;0;0;1;0;5,01E-11
SA_2B;J4x4;298,15;10;0;0;10;0;2,83E-07
SA_2B;J4x4;298,15;10000;0;0;1;0;5,16E-09
SA_2B;J4x4;298,15;10000;0;0;10;0;9,96E-07
SA_2B;J4x4;298,15;10;0;0;0;1;7,90E-06
SA_2B;J4x4;298,15;10;0;0;0;10;5,45E-03
SA_2B;J4x4;298,15;10000;0;0;0;1;3,37E-05
SA_2B;J4x4;298,15;10000;0;0;0;10;6,62E-03
SA_2B;J4x4;298,15;0;1;1;0;0;2,87E-07
SA_2B;J4x4;298,15;0;1;10;0;0;7,89E-04
SA_2B;J4x4;298,15;0;100;1;0;0;1,58E-04
SA_2B;J4x4;298,15;0;100;10;0;0;1,01E-02
SA_2B;J4x4;298,15;0;1;0;1;0;1,57E-10
SA_2B;J4x4;298,15;0;1;0;10;0;3,24E-07
SA_2B;J4x4;298,15;0;100;0;1;0;1,12E-06
