system;max;temperature (K);am conc. (ppv);ma conc. (pptv);dma conc. (pptv);tma conc. (pptv);eda conc. (pptv);J (1/ml/s)
SA_2B;J4x4;298,15;0;100;0;10;0;1,52E-05
SA_2B;J4x4;298,15;0;1;0;0;1;1,49E-06
SA_2B;J4x4;298,15;0;1;0;0;10;4,53E-03
SA_2B;J4x4;298,15;0;100;0;0;1;4,34E-05
SA_2B;J4x4;298,15;0;100;0;0;10;6,97E-03
SA_2B;J4x4;298,15;0;0;1;1;0;5,99E-07
SA_2B;J4x4;298,15;0;0;1;10;0;1,42E-05
SA_2B;J4x4;298,15;0;0;10;1;0;1,49E-03
SA_2B;J4x4;298,15;0;0;10;10;0;7,64E-03
SA_2B;J4x4;298,15;0;0;1;0;1;3,87E-05
SA_2B;J4x4;298,15;0;0;1;0;10;1,61E-02
SA_2B;J4x4;298,15;0;0;10;0;1;1,65E-03
SA_2B;J4x4;298,15;0;0;10;0;10;3,50E-02
SA_2B;J4x4;298,15;0;0;0;1;1;2,32E-06
SA_2B;J4x4;298,15;0;0;0;1;10;5,70E-03
SA_2B;J4x4;298,15;0;0;0;10;1;2,03E-05
SA_2B;J4x4;298,15;0;0;0;10;10;1,16E-02
SA_2B;J3x3;278,15;10;1;0;0;0;2,92E-06
SA_2B;J3x3;278,15;10;100;0;0;0;2,40E-02
SA_2B;J3x3;278,15;10000;1;0;0;0;2,59E-04
SA_2B;J3x3;278,15;10000;100;0;0;0;1,67E-01
SA_2B;J3x3;278,15;10;0;1;0;0;4,60E-01
SA_2B;J3x3;278,15;10;0;10;0;0;6,85E+00
SA_2B;J3x3;278,15;10000;0;1;0;0;7,70E-01
SA_2B;J3x3;278,15;10000;0;10;0;0;7,61E+00
SA_2B;J3x3;278,15;10;0;0;1;0;7,55E-02
SA_2B;J3x3;278,15;10;0;0;10;0;1,50E+01
SA_2B;J3x3;278,15;10000;0;0;1;0;6,43E-01
SA_2B;J3x3;278,15;10000;0;0;10;0;2,32E+01
SA_2B;J3x3;278,15;10;0;0;0;1;1,46E-01
SA_2B;J3x3;278,15;10;0;0;0;10;3,77E+00
SA_2B;J3x3;278,15;10000;0;0;0;1;1,71E-01
SA_2B;J3x3;278,15;10000;0;0;0;10;4,08E+00
SA_2B;J3x3;278,15;0;1;1;0;0;5,30E-01
SA_2B;J3x3;278,15;0;1;10;0;0;6,87E+00
SA_2B;J3x3;278,15;0;100;1;0;0;7,71E-01
SA_2B;J3x3;278,15;0;100;10;0;0;7,28E+00
SA_2B;J3x3;278,15;0;1;0;1;0;1,68E-01
SA_2B;J3x3;278,15;0;1;0;10;0;1,36E+01
SA_2B;J3x3;278,15;0;100;0;1;0;1,17E+00
SA_2B;J3x3;278,15;0;100;0;10;0;2,37E+01
SA_2B;J3x3;278,15;0;1;0;0;1;1,46E-01
SA_2B;J3x3;278,15;0;1;0;0;10;3,77E+00
SA_2B;J3x3;278,15;0;100;0;0;1;2,61E-01
SA_2B;J3x3;278,15;0;100;0;0;10;3,89E+00
SA_2B;J3x3;278,15;0;0;1;1;0;6,17E+00
SA_2B;J3x3;278,15;0;0;1;10;0;4,47E+01
SA_2B;J3x3;278,15;0;0;10;1;0;1,53E+01
SA_2B;J3x3;278,15;0;0;10;10;0;6,30E+01
SA_2B;J3x3;278,15;0;0;1;0;1;9,26E-01
SA_2B;J3x3;278,15;0;0;1;0;10;4,99E+00
SA_2B;J3x3;278,15;0;0;10;0;1;7,28E+00
SA_2B;J3x3;278,15;0;0;10;0;10;1,11E+01
SA_2B;J3x3;278,15;0;0;0;1;1;2,13E+00
SA_2B;J3x3;278,15;0;0;0;1;10;1,12E+01
SA_2B;J3x3;278,15;0;0;0;10;1;1,83E+01
SA_2B;J3x3;278,15;0;0;0;10;10;4,88E+01
SA_2B;J3x3;298,15;10;1;0;0;0;1,94E-10
SA_2B;J3x3;298,15;10;100;0;0;0;4,22E-05
SA_2B;J3x3;298,15;10000;1;0;0;0;1,40E-07
SA_2B;J3x3;298,15;10000;100;0;0;0;5,92E-05
SA_2B;J3x3;298,15;10;0;1;0;0;2,71E-04
SA_2B;J3x3;298,15;10;0;10;0;0;1,03E-01
SA_2B;J3x3;298,15;10000;0;1;0;0;9,40E-03
SA_2B;J3x3;298,15;10000;0;10;0;0;3,51E-01
SA_2B;J3x3;298,15;10;0;0;1;0;1,52E-08
SA_2B;J3x3;298,15;10;0;0;10;0;2,01E-05
SA_2B;J3x3;298,15;10000;0;0;1;0;6,01E-05
SA_2B;J3x3;298,15;10000;0;0;10;0;5,50E-03
SA_2B;J3x3;298,15;10;0;0;0;1;1,18E-04
SA_2B;J3x3;298,15;10;0;0;0;10;1,21E-02
SA_2B;J3x3;298,15;10000;0;0;0;1;1,33E-04
SA_2B;J3x3;298,15;10000;0;0;0;10;1,22E-02
SA_2B;J3x3;298,15;0;1;1;0;0;4,35E-04
SA_2B;J3x3;298,15;0;1;10;0;0;1,09E-01
SA_2B;J3x3;298,15;0;100;1;0;0;7,91E-03
SA_2B;J3x3;298,15;0;100;10;0;0;2,94E-01
SA_2B;J3x3;298,15;0;1;0;1;0;1,09E-07
SA_2B;J3x3;298,15;0;1;0;10;0;4,08E-05
SA_2B;J3x3;298,15;0;100;0;1;0;1,28E-04
SA_2B;J3x3;298,15;0;100;0;10;0;3,38E-03
SA_2B;J3x3;298,15;0;1;0;0;1;1,14E-04
SA_2B;J3x3;298,15;0;1;0;0;10;1,21E-02
SA_2B;J3x3;298,15;0;100;0;0;1;2,97E-04
SA_2B;J3x3;298,15;0;100;0;0;10;1,34E-02
SA_2B;J3x3;298,15;0;0;1;1;0;3,98E-04
SA_2B;J3x3;298,15;0;0;1;10;0;2,53E-03
SA_2B;J3x3;298,15;0;0;10;1;0;1,54E-01
SA_2B;J3x3;298,15;0;0;10;10;0;4,09E-01
SA_2B;J3x3;298,15;0;0;1;0;1;1,69E-03
SA_2B;J3x3;298,15;0;0;1;0;10;4,53E-02
SA_2B;J3x3;298,15;0;0;10;0;1;1,24E-01
SA_2B;J3x3;298,15;0;0;10;0;10;3,16E-01
SA_2B;J3x3;298,15;0;0;0;1;1;2,18E-04
SA_2B;J3x3;298,15;0;0;0;1;10;1,54E-02
SA_2B;J3x3;298,15;0;0;0;10;1;8,58E-04
SA_2B;J3x3;298,15;0;0;0;10;10;2,85E-02
SA_2B;J2x2;278,15;10;1;0;0;0;8,75E-04
SA_2B;J2x2;278,15;10;100;0;0;0;1,51E-01
SA_2B;J2x2;278,15;10000;1;0;0;0;1,55E+00
SA_2B;J2x2;278,15;10000;100;0;0;0;1,71E+00
SA_2B;J2x2;278,15;10;0;1;0;0;1,43E+00
SA_2B;J2x2;278,15;10;0;10;0;0;1,41E+01
SA_2B;J2x2;278,15;10000;0;1;0;0;3,02E+00
SA_2B;J2x2;278,15;10000;0;10;0;0;1,56E+01
SA_2B;J2x2;278,15;10;0;0;1;0;1,52E+01
SA_2B;J2x2;278,15;10;0;0;10;0;1,18E+02
SA_2B;J2x2;278,15;10000;0;0;1;0;2,03E+01
SA_2B;J2x2;278,15;10000;0;0;10;0;1,20E+02
SA_2B;J2x2;278,15;10;0;0;0;1;8,75E-01
SA_2B;J2x2;278,15;10;0;0;0;10;8,86E+00
SA_2B;J2x2;278,15;10000;0;0;0;1;1,04E+01
SA_2B;J2x2;278,15;10000;0;0;0;10;2,46E+00
SA_2B;J2x2;278,15;0;1;1;0;0;1,42E+00
SA_2B;J2x2;278,15;0;1;10;0;0;1,41E+01
SA_2B;J2x2;278,15;0;100;1;0;0;1,63E+00
SA_2B;J2x2;278,15;0;100;10;0;0;1,43E+01
SA_2B;J2x2;278,15;0;1;0;1;0;1,16E+01
SA_2B;J2x2;278,15;0;1;0;10;0;1,17E+02
SA_2B;J2x2;278,15;0;100;0;1;0;1,91E+01
SA_2B;J2x2;278,15;0;100;0;10;0;1,19E+02
SA_2B;J2x2;278,15;0;1;0;0;1;8,32E-01
SA_2B;J2x2;278,15;0;1;0;0;10;8,85E+00
SA_2B;J2x2;278,15;0;100;0;0;1;1,07E+00
SA_2B;J2x2;278,15;0;100;0;0;10;9,04E+00
SA_2B;J2x2;278,15;0;0;1;1;0;1,75E+01
SA_2B;J2x2;278,15;0;0;1;10;0;1,18E+02
SA_2B;J2x2;278,15;0;0;10;1;0;3,11E+01
SA_2B;J2x2;278,15;0;0;10;10;0;1,23E+02
SA_2B;J2x2;278,15;0;0;1;0;1;2,31E+00
SA_2B;J2x2;278,15;0;0;1;0;10;1,02E+01
SA_2B;J2x2;278,15;0;0;10;0;1;1,49E+01
SA_2B;J2x2;278,15;0;0;10;0;10;2,21E+01
SA_2B;J2x2;278,15;0;0;0;1;1;1,59E+01
SA_2B;J2x2;278,15;0;0;0;1;10;2,64E+01
SA_2B;J2x2;278,15;0;0;0;10;1;1,17E+02
SA_2B;J2x2;278,15;0;0;0;10;10;1,22E+02
SA_2B;J2x2;298,15;10;1;0;0;0;2,21E-06
SA_2B;J2x2;298,15;10;100;0;0;0;1,48E-02
SA_2B;J2x2;298,15;10000;1;0;0;0;3,87E-02
SA_2B;J2x2;298,15;10000;100;0;0;0;9,99E-02
SA_2B;J2x2;298,15;10;0;1;0;0;8,68E-02
SA_2B;J2x2;298,15;10;0;10;0;0;9,46E-01
SA_2B;J2x2;298,15;10000;0;1;0;0;1,33E-01
SA_2B;J2x2;298,15;10000;0;10;0;0;9,94E-01
SA_2B;J2x2;298,15;10;0;0;1;0;1,87E-02
SA_2B;J2x2;298,15;10;0;0;10;0;2,25E+00
SA_2B;J2x2;298,15;10000;0;0;1;0;3,89E-01
SA_2B;J2x2;298,15;10000;0;0;10;0;7,39E+00
SA_2B;J2x2;298,15;10;0;0;0;1;2,61E-02
SA_2B;J2x2;298,15;10;0;0;0;10;4,94E-01
SA_2B;J2x2;298,15;10000;0;0;0;1;8,97E-02
SA_2B;J2x2;298,15;10000;0;0;0;10;5,66E-01
SA_2B;J2x2;298,15;0;1;1;0;0;7,95E-02
SA_2B;J2x2;298,15;0;1;10;0;0;9,44E-01
SA_2B;J2x2;298,15;0;100;1;0;0;1,08E-01
SA_2B;J2x2;298,15;0;100;10;0;0;9,64E-01
SA_2B;J2x2;298,15;0;1;0;1;0;3,24E-03
SA_2B;J2x2;298,15;0;1;0;10;0;1,31E+00
SA_2B;J2x2;298,15;0;100;0;1;0;2,64E-01
SA_2B;J2x2;298,15;0;100;0;10;0;5,55E+00
SA_2B;J2x2;298,15;0;1;0;0;1;7,67E-03
SA_2B;J2x2;298,15;0;1;0;0;10;4,67E-01
SA_2B;J2x2;298,15;0;100;0;0;1;6,52E-02
SA_2B;J2x2;298,15;0;100;0;0;10;5,35E-01
SA_2B;J2x2;298,15;0;0;1;1;0;1,85E-01
SA_2B;J2x2;298,15;0;0;1;10;0;2,25E+00
SA_2B;J2x2;298,15;0;0;10;1;0;1,63E+00
SA_2B;J2x2;298,15;0;0;10;10;0;7,84E+00
SA_2B;J2x2;298,15;0;0;1;0;1;1,20E-01
SA_2B;J2x2;298,15;0;0;1;0;10;5,84E-01
SA_2B;J2x2;298,15;0;0;10;0;1;9,96E-01
SA_2B;J2x2;298,15;0;0;10;0;10;1,47E+00
SA_2B;J2x2;298,15;0;0;0;1;1;1,76E-02
SA_2B;J2x2;298,15;0;0;0;1;10;9,39E-01
SA_2B;J2x2;298,15;0;0;0;10;1;1,53E+00
SA_2B;J2x2;298,15;0;0;0;10;10;5,46E+00
SA_1B;J1x1;278,15;10;0;0;0;0;2,94E-01
SA_1B;J1x1;278,15;10000;0;0;0;0;2,92E+05
SA_1B;J1x1;278,15;0;1;0;0;0;5,54E-02
SA_1B;J1x1;278,15;0;100;0;0;0;5,39E+02
SA_1B;J1x1;278,15;0;0;1;0;0;5,55E+01
SA_1B;J1x1;278,15;0;0;10;0;0;5,05E+03
SA_1B;J1x1;278,15;0;0;0;1;0;6,87E+02
SA_1B;J1x1;278,15;0;0;0;10;0;3,55E+04
SA_1B;J1x1;278,15;0;0;0;0;1;3,13E+01
SA_1B;J1x1;278,15;0;0;0;0;10;2,92E+03
SA_1B;J2x2;278,15;10;0;0;0;0;6,93E-08
SA_1B;J2x2;278,15;10000;0;0;0;0;1,55E+00
SA_1B;J2x2;278,15;0;1;0;0;0;1,35E-04
SA_1B;J2x2;278,15;0;100;0;0;0;1,50E-01
SA_1B;J2x2;278,15;0;0;1;0;0;1,39E+00
SA_1B;J2x2;278,15;0;0;10;0;0;1,41E+01
SA_1B;J2x2;278,15;0;0;0;1;0;8,87E+00
SA_1B;J2x2;278,15;0;0;0;10;0;1,17E+02
SA_1B;J2x2;278,15;0;0;0;0;1;7,74E-01
SA_1B;J2x2;278,15;0;0;0;0;10;8,84E+00
SA_1B;J3x3;278,15;10;0;0;0;0;5,82E-12
SA_1B;J3x3;278,15;10000;0;0;0;0;1,61E-04
SA_1B;J3x3;278,15;0;1;0;0;0;2,26E-06
SA_1B;J3x3;278,15;0;100;0;0;0;2,37E-02
SA_1B;J3x3;278,15;0;0;1;0;0;4,18E-01
SA_1B;J3x3;278,15;0;0;10;0;0;6,83E+00
SA_1B;J3x3;278,15;0;0;0;1;0;1,06E-02
SA_1B;J3x3;278,15;0;0;0;10;0;1,12E+01
SA_1B;J3x3;278,15;0;0;0;0;1;1,44E-01
SA_1B;J3x3;278,15;0;0;0;0;10;3,77E+00
SA_1B;J4x4;278,15;10;0;0;0;0;1,13E-14
SA_1B;J4x4;278,15;10000;0;0;0;0;1,15E-05
SA_1B;J4x4;278,15;0;1;0;0;0;3,16E-07
SA_1B;J4x4;278,15;0;100;0;0;0;0,0129
SA_1B;J4x4;278,15;0;0;1;0;0;0,0131
SA_1B;J4x4;278,15;0;0;10;0;0;1,46
SA_1B;J4x4;278,15;0;0;0;1;0;0,00314
SA_1B;J4x4;278,15;0;0;0;10;0;1,26
SA_1B;J4x4;278,15;0;0;0;0;1;0,0288
SA_1B;J4x4;278,15;0;0;0;0;10;2,22
SA_1B;J1x1;298,15;10;0;0;0;0;4,29E-02
SA_1B;J1x1;298,15;10000;0;0;0;0;4,28E+04
SA_1B;J1x1;298,15;0;1;0;0;0;5,46E-02
SA_1B;J1x1;298,15;0;100;0;0;0;5,32E+01
SA_1B;J1x1;298,15;0;0;1;0;0;3,37E+00
SA_1B;J1x1;298,15;0;0;10;0;0;3,28E+02
SA_1B;J1x1;298,15;0;0;0;1;0;3,95E+01
SA_1B;J1x1;298,15;0;0;0;10;0;3,65E+03
SA_1B;J1x1;298,15;0;0;0;0;1;1,69E+00
SA_1B;J1x1;298,15;0;0;0;0;10;1,64E+02
SA_1B;J2x2;298,15;10;0;0;0;0;4,66E-11
SA_1B;J2x2;298,15;10000;0;0;0;0;3,80E-02
SA_1B;J2x2;298,15;0;1;0;0;0;1,87E-07
SA_1B;J2x2;298,15;0;100;0;0;0;1,46E-02
SA_1B;J2x2;298,15;0;0;1;0;0;7,18E-02
SA_1B;J2x2;298,15;0;0;10;0;0;9,43E-01
SA_1B;J2x2;298,15;0;0;0;1;0;1,55E-03
SA_1B;J2x2;298,15;0;0;0;10;0;1,20E+00
SA_1B;J2x2;298,15;0;0;0;0;1;3,79E-03
SA_1B;J2x2;298,15;0;0;0;0;10;4,61E-01
SA_1B;J3x3;298,15;10;0;0;0;0;1,15E-17
SA_1B;J3x3;298,15;10000;0;0;0;0;1,12E-07
SA_1B;J3x3;298,15;0;1;0;0;0;2,85E-11
SA_1B;J3x3;298,15;0;100;0;0;0;4,21E-05
SA_1B;J3x3;298,15;0;0;1;0;0;2,50E-04
SA_1B;J3x3;298,15;0;0;10;0;0;1,02E-01
SA_1B;J3x3;298,15;0;0;0;1;0;1,53E-09
SA_1B;J3x3;298,15;0;0;0;10;0;8,93E-06
SA_1B;J3x3;298,15;0;0;0;0;1;1,10E-04
SA_1B;J3x3;298,15;0;0;0;0;10;1,21E-02
SA_1B;J4x4;298,15;10;0;0;0;0;3,41E-22
SA_1B;J4x4;298,15;10000;0;0;0;0;2,59E-11
SA_1B;J4x4;298,15;0;1;0;0;0;7,74E-14
SA_1B;J4x4;298,15;0;100;0;0;0;7,38E-07
SA_1B;J4x4;298,15;0;0;1;0;0;2,02E-07
SA_1B;J4x4;298,15;0;0;10;0;0;7,47E-04
SA_1B;J4x4;298,15;0;0;0;1;0;2,46E-11
SA_1B;J4x4;298,15;0;0;0;10;0;2,71E-07
SA_1B;J4x4;298,15;0;0;0;0;1;6,69E-07
SA_1B;J4x4;298,15;0;0;0;0;10;4,36E-03
