Cluster H-corr: G-corr: Enthalpi: Free-Energy: Entropy: DLPNO-CCSD(T):
2PZ-2SA 	0.415553 	 0.331911     -1935.743089     -1935.826730 	  176.038  -1934.057376109
2PZ-3SA 	0.463078 	 0.368709     -2635.870787     -2635.965156 	  198.617  -2633.568154512
2PZ-4SA 	0.512224 	 0.399819     -3335.992369     -3336.104774 	  236.577  -3333.075877513
2PZ-SA 	        0.364576 	 0.294320     -1235.589752     -1235.660008 	  147.865  -1234.517481435
2PZ 	        0.314427 	 0.255883      -535.444936      -535.503479 	  123.215   -534.990412891
2SA 	        0.093105 	 0.042049     -1400.189032     -1400.240089 	  107.457  -1398.955713865
3PZ-2SA 	0.574491 	 0.477157     -2203.498208     -2203.595541 	  204.856  -2201.585666144
3PZ-3SA 	0.625535 	 0.517703     -2903.644457     -2903.752289 	  226.950  -2901.116633132
3PZ-4SA 	0.671288 	 0.547998     -3603.765274     -3603.888564 	  259.485  -3600.621282299
3PZ-SA 	        0.523039 	 0.438911     -1503.336162     -1503.420290 	  177.061  -1502.035538762
3PZ 	        0.473245 	 0.398824      -803.182343      -803.256764 	  156.633   -802.500331967
3SA 	        0.140640 	 0.074843     -2100.296685     -2100.362482 	  138.482  -2098.448468765
4PZ-2SA 	0.732777 	 0.619731     -2471.247444     -2471.360490 	  237.925  -2469.106919103
4PZ-3SA 	0.784622 	 0.658542     -3171.408356     -3171.534436 	  265.358  -3168.652924925
4PZ-4SA 	0.833091 	 0.694312     -3871.543030     -3871.681809 	  292.086  -3868.173987115
4PZ-SA 	        0.681730 	 0.580864     -1771.080545     -1771.181411 	  212.291  -1769.552115722
4PZ 	        0.631424 	 0.539448     -1070.921148     -1071.013125 	  193.581  -1070.010188267
4SA 	        0.188187 	 0.102532     -2800.404173     -2800.489828 	  180.276  -2797.940749657
PZ-2SA 	        0.254279 	 0.187701     -1667.973351     -1668.039929 	  140.125  -1666.513773125
PZ-3SA 	        0.302737 	 0.220265     -2368.089941     -2368.172413 	  173.578  -2366.015896714
PZ-4SA 	        0.352505 	 0.255793     -3068.219881     -3068.316592 	  203.547  -3065.528674827
PZ-SA 	        0.206084 	 0.152774      -967.840374      -967.893685 	  112.201   -966.995288092
PZ 	        0.156022 	 0.121308      -267.719688      -267.754401 	   73.060   -267.491724799
SA 	        0.045616 	 0.011182      -700.080488      -700.114921 	   72.471   -699.462749539
