#CLUSTER        dE_[Eh]
1ca             -685.49404522125
1am1ca          -741.997358374993
1pa             -760.543737759222
1ca1ma          -781.226615607131
2am1ca          -798.498233606097
1am1pa          -817.051470085009
1ca1dma         -820.468423762578
1am1ca1ma       -837.733344658182
1ma1pa          -856.287298838539
1ca1tma         -859.705951382244
2am1pa          -873.558129700806
1ca2ma          -876.960547068957
1am1ca1dma      -876.971381474341
1dma1pa         -895.526105178611
1am1ma1pa       -912.793809552206
1ca1dma1ma      -916.199629479695
1am1ca1tma      -916.202531897366
1pa1tma         -934.765750437656
2ma1pa          -952.022115403108
1am1dma1pa      -952.032163370026
1ca1ma1tma      -955.428187608158
1ca2dma         -955.432735186857
1dma1ma1pa      -991.260529035937
1am1pa1tma      -991.263129899406
1ca1dma1tma     -994.665769390325
1ma1pa1tma      -1030.488750362618
2dma1pa         -1030.493789340385
1ca2tma         -1033.8953721997
1dma1pa1tma     -1069.727550541802
1pa2tma         -1108.957481851983
2ca             -1371.007466483377
1ca1sa          -1384.983401835142
1am2ca          -1427.520696448586
1am1ca1sa       -1441.501266335062
1ca1pa          -1446.05774160469
1pa1sa          -1460.031320061712
2ca1ma          -1466.757786361196
1ca1ma1sa       -1480.738359213346
2am2ca          -1484.041650496436
2am1ca1sa       -1498.014065085264
1am1ca1pa       -1502.576994760889
2ca1dma         -1505.997747192115
1am1pa1sa       -1516.556329485513
1ca1dma1sa      -1519.978056760331
2pa             -1521.106592178166
1am2ca1ma       -1523.277282793579
1am1ca1ma1sa    -1537.249496687179
1ca1ma1pa       -1541.81413922011
2ca1tma         -1545.231676333166
1ma1pa1sa       -1555.793832491315
2am1ca1pa       -1559.100380083689
1ca1sa1tma      -1559.212221835656
2ca2ma          -1562.512766736795
1am2ca1dma      -1562.514903207149
2am1pa1sa       -1573.073153266748
1ca2ma1sa       -1576.484912962307
1am1ca1dma1sa   -1576.488736717846
1am2pa          -1577.62787590638
1ca1dma1pa      -1581.054190449578
1dma1pa1sa      -1595.033884572937
1am1ca1ma1pa    -1598.336273112765
1am2ca1tma      -1601.743064282048
2ca1dma1ma      -1601.750913827601
1am1ma1pa1sa    -1612.308931276233
1am1ca1sa1tma   -1615.721001429872
1ca1dma1ma1sa   -1615.725243295341
1ma2pa          -1616.865411533818
1ca1pa1tma      -1620.290342740788
2am2pa          -1634.158459829303
1pa1sa1tma      -1634.270369136802
1ca2ma1pa       -1637.572053621988
1am1ca1dma1pa   -1637.574685506747
2ca1ma1tma      -1640.978788191866
2ca2dma         -1640.989079168922
2ma1pa1sa       -1651.544666548314
1am1dma1pa1sa   -1651.54724875565
1ca1ma1sa1tma   -1654.957574195665
1ca2dma1sa      -1654.965094676006
1dma2pa         -1656.106115244919
1am1ma2pa       -1673.395157859487
1am1ca1pa1tma   -1676.805530886206
1ca1dma1ma1pa   -1676.810516832531
2ca1dma1tma     -1680.217033655339
1am1pa1sa1tma   -1690.782195721431
1dma1ma1pa1sa   -1690.784893847727
1ca1dma1sa1tma  -1694.197463707454
2pa1tma         -1695.342808190511
2ma2pa          -1712.631407008097
1am1dma2pa      -1712.634037296382
1ca1ma1pa1tma   -1716.04206432264
1ca2dma1pa      -1716.050139381862
2ca2tma         -1719.444284859842
1ma1pa1sa1tma   -1730.018809795058
2dma1pa1sa      -1730.024799787992
1ca1sa2tma      -1733.425926459786
1am2pa1tma      -1751.866387082094
1dma1ma2pa      -1751.871007505976
1ca1dma1pa1tma  -1755.28084599568
1dma1pa1sa1tma  -1769.259155932833
1ma2pa1tma      -1791.103840935982
2dma2pa         -1791.110883990828
1ca1pa2tma      -1794.508514300857
1pa1sa2tma      -1808.491795253535
1dma2pa1tma     -1830.344392967471
2pa2tma         -1869.575734185467
