Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1put		-269.094008	0.178769	0.137613	-268.915240	-268.956395	86.619		-268.705006	
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1sa_1put	-969.278699	0.228626	0.174295	-969.050073	-969.104404	114.349		-968.215758	
1sa_2put	-1238.410599	0.411603	0.338656	-1237.998996	-1238.071943	153.530		-1236.953289	
1sa_3put	-1507.548315	0.593639	0.503837	-1506.954677	-1507.044478	189.003		-1505.696574	
1sa_4put	-1776.673593	0.775675	0.664871	-1775.897917	-1776.008722	233.207		-1774.426828	
2put		-538.209191	0.360723	0.300627	-537.848468	-537.908564	126.483		-537.424567	
2sa_1put	-1669.465939	0.278831	0.214264	-1669.187108	-1669.251675	135.893		-1667.732615	
2sa_2put	-1938.611249	0.461311	0.376941	-1938.149937	-1938.234308	177.573		-1936.485956	
2sa_3put	-2207.750201	0.642091	0.538578	-2207.108110	-2207.211623	217.863		-2205.228040	
2sa_4put	-2476.871814	0.823861	0.701772	-2476.047953	-2476.170042	256.958		-2473.951529	
3put		-807.319757	0.542232	0.460259	-806.777525	-806.859498	172.526		-806.142705	
3sa_1put	-2369.640495	0.327289	0.248352	-2369.313206	-2369.392143	166.137		-2367.240046	
3sa_2put	-2638.805832	0.512311	0.418903	-2638.293521	-2638.386929	196.592		-2636.007524	
3sa_3put	-2907.950011	0.692710	0.575711	-2907.257301	-2907.374300	246.245		-2904.755485	
3sa_4put	-3177.096949	0.877314	0.749940	-3176.219635	-3176.347009	268.080		-3173.502011	
4put		-1076.439631	0.724266	0.621717	-1075.715364	-1075.817914	215.834		-1074.867140	
4sa_1put	-3069.813072	0.374860	0.279668	-3069.438212	-3069.533404	200.348		-3066.747000	
4sa_2put	-3338.993186	0.560364	0.450730	-3338.432823	-3338.542456	230.743		-3335.524241	
4sa_3put	-3608.141165	0.743103	0.615492	-3607.398062	-3607.525673	268.581		-3604.276525	
4sa_4put	-3877.300302	0.926535	0.784603	-3876.373767	-3876.515699	298.721		-3873.031831	

