Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
1fa1dma1am-7_4         -381.40626061553  
1fa1dma1am-11_11       -381.387688780651 
1fa1dma1am-13_6        -381.394511799017 
1fa1dma1am-5_2         -381.394401199501 
1fa1dma1am-2_8         -381.403509967199 
1fa1dma1am-2_11        -381.405788946052 
1fa1dma1am-13_1        -381.418592451162 
1fa1dma1am-5_5         -381.405165884923 
1fa1dma1am-14_5        -381.385448373212 
1fa1dma1am-2_1         -381.428069859362 
1fa1dma1am-9_5         -381.392355355404 
1fa1dma1am-13_8        -381.389952933068 
1fa1dma1am-14_2        -381.398876743491 
1fa1dma1am-2_6         -381.399496067907 
1fa1dma1am-9_2         -381.377028546874 
1fa1dma1am-8_3         -381.38615131618  
1fa1dma1am-3_7         -381.405177964024 
1fa1dma1am-12_9        -381.389864804805 
1fa1dma1am-8_4         -381.393568626014 
1fa1dma1am-4_4         -381.402571638171 
1fa1dma1am-13_10       -381.39492499556  
1fa1dma1am-3_9         -381.40578685652  
1fa1dma1am-12_7        -381.399704861501 
1fa1dma1am-4_3         -381.402597055736 
1fa1dma1am-9_11        -381.393990576841 
1fa1dma1am-6_5         -381.385689378805 
1fa1dma1am-10_1        -381.419634457171 
1fa1dma1am-1_8         -381.414401874655 
1fa1dma1am-6_2         -381.397772240547 
1fa1dma1am-10_6        -381.376328640747 
1fa1dma1am-1_6         -381.411330842406 
1fa1dma1am-4_11        -381.399314630591 
1fa1dma1am-10_8        -381.379474872684 
1fa1dma1am-1_1         -381.430551573927 
1fa1dma1am-13_9        -381.392003801176 
1fa1dma1am-14_3        -381.404276138999 
1fa1dma1am-2_7         -381.40253655975  
1fa1dma1am-9_3         -381.389601931209 
1fa1dma1am-14_4        -381.384017187441 
1fa1dma1am-9_4         -381.379977181335 
1fa1dma1am-5_4         -381.39986336165  
1fa1dma1am-11_10       -381.381908520766 
1fa1dma1am-13_7        -381.399728775848 
1fa1dma1am-5_3         -381.392491667929 
1fa1dma1am-2_9         -381.392252243743 
1fa1dma1am-2_10        -381.408718448918 
1fa1dma1am-7_5         -381.397968126295 
1fa1dma1am-11_1        -381.420338275061 
1fa1dma1am-7_2         -381.397652214431 
1fa1dma1am-11_6        -381.383895324071 
1fa1dma1am-11_8        -381.380868271324 
1fa1dma1am-6_11        -381.395556679945 
1fa1dma1eda-50_11      -515.286375060955 
1fa1dma1eda-16_6       -515.322142286632 
1fa1dma1eda-8_7        -515.332809241338 
1fa1dma1eda-24_4       -515.307690647115 
1fa1dma1eda-3_3        -515.318571692107 
1fa1dma1eda-35_10      -515.302867388411 
1fa1dma1eda-37_1       -515.352060174825 
1fa1dma1eda-4_9        -515.290709399592 
1fa1dma1eda-10_11      -515.319311581765 
1fa1dma1eda-53_5       -515.315748266734 
1fa1dma1eda-58_1       -515.348974479504 
1fa1dma1eda-61_7       -515.312261239216 
1fa1dma1eda-37_6       -515.306605697607 
1fa1dma1eda-23_9       -515.319978005201 
1fa1dma1eda-53_2       -515.295027611155 
1fa1dma1eda-58_6       -515.322568278067 
1fa1dma1eda-40_7       -515.30107972456  
1fa1dma1eda-16_1       -515.355191142332 
1fa1dma1eda-24_3       -515.319076247553 
1fa1dma1eda-54_8       -515.301918519993 
1fa1dma1eda-3_4        -515.315206952699 
1fa1dma1eda-47_3       -515.307858936199 
1fa1dma1eda-37_8       -515.288986535489 
1fa1dma1eda-38_10      -515.308644979142 
1fa1dma1eda-23_7       -515.301355389818 
1fa1dma1eda-28_3       -515.308096195435 
1fa1dma1eda-58_8       -515.311152589925 
1fa1dma1eda-11_5       -515.309289549998 
1fa1dma1eda-40_9       -515.301101151543 
1fa1dma1eda-30_2       -515.316139177446 
1fa1dma1eda-1_10       -515.295478331954 
1fa1dma1eda-66_4       -515.305017870937 
1fa1dma1eda-54_6       -515.312260008658 
1fa1dma1eda-30_5       -515.29809415703  
1fa1dma1eda-46_11      -515.303329017455 
1fa1dma1eda-8_9        -515.331551993844 
1fa1dma1eda-66_3       -515.296498422534 
1fa1dma1eda-16_8       -515.318144393375 
1fa1dma1eda-54_1       -515.352025027562 
1fa1dma1eda-63_10      -515.304452881124 
1fa1dma1eda-47_4       -515.310478060661 
1fa1dma1eda-23_10      -515.31103767223  
1fa1dma1eda-4_7        -515.29733121482  
1fa1dma1eda-28_4       -515.316452481307 
1fa1dma1eda-61_9       -515.307911502861 
1fa1dma1eda-11_2       -515.305743282057 
1fa1dma1eda-13_4       -515.32617613065  
1fa1dma1eda-14_10      -515.320574697954 
1fa1dma1eda-21_6       -515.31287330472  
1fa1dma1eda-6_1        -515.358839407363 
1fa1dma1eda-31_11      -515.314639023529 
1fa1dma1eda-35_9       -515.307776691367 
1fa1dma1eda-45_2       -515.297485749349 
1fa1dma1eda-56_7       -515.296742891158 
1fa1dma1eda-64_5       -515.305922693708 
1fa1dma1eda-8_11       -515.321134233225 
1fa1dma1eda-54_10      -515.309953558609 
1fa1dma1eda-32_3       -515.298058039074 
1fa1dma1eda-42_8       -515.292401192274 
1fa1dma1eda-39_7       -515.305432184045 
1fa1dma1eda-14_9       -515.320331269555 
1fa1dma1eda-64_2       -515.303925014166 
1fa1dma1eda-32_4       -515.30851503311  
1fa1dma1eda-13_3       -515.321366421313 
1fa1dma1eda-63_8       -515.303028450608 
1fa1dma1eda-21_1       -515.355308051051 
1fa1dma1eda-6_6        -515.322810107968 
1fa1dma1eda-18_7       -515.315250224049 
1fa1dma1eda-45_5       -515.309685789668 
1fa1dma1eda-1_2        -515.299165268958 
1fa1dma1eda-59_10      -515.3119374573   
1fa1dma1eda-26_5       -515.307550118478 
