Number of files in database_s1.pkl: 15587
Number of files in database_s2.pkl: 15587
Example output:
info  cluster_type                                                                      1am1dma
      component_ratio                                                                    [1, 1]
1am1tma-1_10       -230.935527470327 
1am1tma-1_4        -230.928359124009 
1am1tma-1_3        -230.936062243218 
1am-11             -56.540096235501  
1am-8              -56.541165220153  
1am-6              -56.540484929802  
1am-1              -56.541594601842  
1am-10             -56.54112719179   
1am-7              -56.540310087896  
1am-9              -56.540258349401  
1am-4              -56.540674740635  
1am-3              -56.540395873663  
1am-2              -56.540145998582  
1am-5              -56.540637024267  
1dma1eda-15_8      -325.562278827356 
1dma1eda-4_3       -325.564268867939 
1dma1eda-12_2      -325.541418197275 
1dma1eda-3_9       -325.557393996507 
1dma1eda-12_5      -325.555724179637 
1dma1eda-4_4       -325.562064402119 
1dma1eda-7_10      -325.541509827073 
1dma1eda-8_4       -325.559010426767 
1dma1eda-15_1      -325.585878933164 
1dma1eda-15_6      -325.554529245671 
1dma1eda-12_11     -325.541540858774 
1dma1eda-8_3       -325.541445285717 
1dma1eda-3_7       -325.567202046069 
1dma1eda-1_1       -325.585932370873 
1dma1eda-17_7      -325.55600687839  
1dma1eda-1_6       -325.558684360948 
1dma1eda-6_2       -325.559940828164 
1dma1eda-17_9      -325.546060954297 
1dma1eda-1_8       -325.558099373901 
1dma1eda-3_11      -325.566018793445 
1dma1eda-10_3      -325.554722321657 
1dma1eda-10_4      -325.559887966184 
1dma1eda-16_10     -325.552775694173 
1dma1eda-6_5       -325.552625325152 
1dma1eda-13_2      -325.56620130491  
1dma1eda-18_6      -325.552342238333 
1dma1eda-2_9       -325.562016714922 
1dma1eda-14_8      -325.548945412525 
1dma1eda-5_3       -325.570445038579 
1dma1eda-8_10      -325.551816839707 
1dma1eda-5_4       -325.561423231678 
1dma1eda-13_5      -325.563040994767 
1dma1eda-18_1      -325.58479290359  
1dma1eda-14_1      -325.586077123877 
1dma1eda-10_11     -325.554290264451 
1dma1eda-9_4       -325.558596460545 
1dma1eda-18_8      -325.549306953213 
1dma1eda-2_7       -325.55587165425  
1dma1eda-9_3       -325.560795888107 
1dma1eda-14_6      -325.561295576783 
1dma1eda-5_10      -325.570667701731 
1dma1eda-16_7      -325.556843845698 
1dma1eda-11_3      -325.561675781817 
1dma1eda-7_2       -325.562149907181 
1dma1eda-14_10     -325.561336845983 
1dma1eda-16_9      -325.556630442885 
1dma1eda-7_5       -325.553829072843 
1dma1eda-1_11      -325.553391317013 
1dma1eda-11_4      -325.562844754189 
1dma1eda-16_11     -325.561808441117 
1dma1eda-10_5      -325.561144806771 
1dma1eda-6_4       -325.551952170885 
1dma1eda-6_3       -325.552586236657 
1dma1eda-17_8      -325.552404176145 
1dma1eda-1_9       -325.546804770326 
1dma1eda-3_10      -325.561083063075 
1dma1eda-10_2      -325.554348069572 
1dma1eda-17_6      -325.548111422424 
1dma1eda-1_7       -325.556263508954 
1dma1eda-17_1      -325.583920701044 
1dma1eda-15_7      -325.563361668339 
1dma1eda-12_10     -325.551780915452 
1dma1eda-8_2       -325.55531782543  
1dma1eda-3_6       -325.562371231606 
1dma1eda-7_11      -325.553200228982 
1dma1eda-8_5       -325.560728091817 
1dma1eda-3_1       -325.585337590217 
1dma1eda-12_4      -325.554658918982 
1dma1eda-4_5       -325.565835361666 
1dma1eda-15_9      -325.5515106812   
1dma1eda-4_2       -325.557671039843 
1dma1eda-12_3      -325.555904830442 
1dma1eda-3_8       -325.563721311975 
1dma1eda-7_4       -325.554914920987 
1dma1eda-1_10      -325.550929085537 
1dma1eda-11_5      -325.563404821856 
1dma1eda-11_2      -325.564824772044 
1dma1eda-7_3       -325.554411648862 
1dma1eda-14_11     -325.552437208456 
1dma1eda-16_8      -325.550383427008 
1dma1eda-16_6      -325.5595440371   
1dma1eda-16_1      -325.583730030276 
1dma1eda-18_9      -325.553734385917 
1dma1eda-2_6       -325.549913491953 
1dma1eda-9_2       -325.557246735696 
1dma1eda-14_7      -325.553785800581 
1dma1eda-5_11      -325.561638264426 
1dma1eda-10_10     -325.55376043126  
1dma1eda-2_1       -325.588005236955 
1dma1eda-9_5       -325.552497425979 
1dma1eda-8_11      -325.564216253219 
1dma1eda-5_5       -325.563320026988 
1dma1eda-13_4      -325.564284717805 
1dma1eda-13_3      -325.567838450915 
1dma1eda-18_7      -325.546821597824 
1dma1eda-2_8       -325.555970074424 
1dma1eda-14_9      -325.558794594166 
1dma1eda-5_2       -325.564932262416 
1dma1eda-11_1      -325.585427537152 
1dma1eda-7_7       -325.554142018578 
1dma1eda-11_6      -325.555256720816 
1dma1eda-7_9       -325.551957785169 
1dma1eda-13_10     -325.556394808866 
1dma1eda-16_2      -325.557631213237 
1dma1eda-11_8      -325.558745087292 
1dma1eda-6_11      -325.555357516057 
1dma1eda-16_5      -325.555082072981 
1dma1eda-14_3      -325.557298834964 
