Cluster		    H-corr:		G-corr:		    Enthalpi:		Free-Energy:	    Entropy:
1sa1msa2a_034	    0.198976		0.128696	    -1477.332533	-1477.402813	    147.918
1sa1msa2a_035	    0.199291		0.130946	    -1477.332967	-1477.401312	    143.844
1sa1msa2a_036	    0.199738		0.130844	    -1477.332271	-1477.401165	    144.999
1sa1msa2a_037	    0.200349		0.135085	    -1477.335037	-1477.400300	    137.359
1sa1msa2a_038	    0.198315		0.126203	    -1477.326863	-1477.398975	    151.772
1sa1msa2a_039	    0.200886		0.136423	    -1477.333785	-1477.398248	    135.674
1sa1msa2a_040	    0.200617		0.136227	    -1477.333719	-1477.398109	    135.521
1sa1msa2a_041	    0.200050		0.134593	    -1477.332598	-1477.398054	    137.764
1sa1msa2a_042	    0.200004		0.132794	    -1477.329890	-1477.397099	    141.454
1sa1msa2a_043	    0.198598		0.129038	    -1477.327477	-1477.397037	    146.402
1sa1msa2a_044	    0.198639		0.131014	    -1477.329173	-1477.396798	    142.329
1sa1msa2a_045	    0.200375		0.132361	    -1477.328772	-1477.396786	    143.149
1sa1msa2a_046	    0.200248		0.132306	    -1477.328701	-1477.396642	    142.996
1sa1msa2a_047	    0.198461		0.131727	    -1477.328960	-1477.395695	    140.454
1sa1msa2a_048	    0.199543		0.133169	    -1477.329315	-1477.395689	    139.696
1sa1msa2a_049	    0.198695		0.130932	    -1477.326150	-1477.393913	    142.619
1sa1msa2a_050	    0.201047		0.137521	    -1477.329868	-1477.393394	    133.701
1sa1msa2a_051	    0.198171		0.127020	    -1477.321216	-1477.392367	    149.751
1sa1msa2a_052	    0.198695		0.133462	    -1477.325604	-1477.390837	    137.294
1sa1msa2a_053	    0.198511		0.127917	    -1477.317243	-1477.387837	    148.577
1sa1msa2a_054	    0.199153		0.129712	    -1477.317158	-1477.386599	    146.151
1sa1msa3a_001	    0.244006		0.177508	    -1533.898375	-1533.964873	    139.958
1sa1msa3a_002	    0.243630		0.173185	    -1533.893058	-1533.963503	    148.265
1sa1msa3a_003	    0.243598		0.173034	    -1533.891551	-1533.962114	    148.514
1sa1msa3a_004	    0.243800		0.171288	    -1533.889271	-1533.961782	    152.613
1sa1msa3a_005	    0.244234		0.177046	    -1533.894403	-1533.961592	    141.410
1sa1msa3a_006	    0.243756		0.173673	    -1533.891133	-1533.961216	    147.503
1sa1msa3a_007	    0.243663		0.173765	    -1533.891197	-1533.961094	    147.112
1sa1msa3a_008	    0.243892		0.174226	    -1533.891307	-1533.960973	    146.625
1sa1msa3a_009	    0.244079		0.172912	    -1533.889627	-1533.960794	    149.784
1sa1msa3a_010	    0.243878		0.174501	    -1533.890533	-1533.959911	    146.017
1sa1msa3a_011	    0.244228		0.174981	    -1533.890489	-1533.959736	    145.741
1sa1msa3a_012	    0.243813		0.173847	    -1533.889654	-1533.959619	    147.255
1sa1msa3a_013	    0.244640		0.172931	    -1533.887149	-1533.958858	    150.925
1sa1msa3a_014	    0.244076		0.174909	    -1533.889463	-1533.958630	    145.574
1sa1msa3a_015	    0.244763		0.173400	    -1533.886959	-1533.958323	    150.198
1sa1msa3a_016	    0.243841		0.172473	    -1533.886736	-1533.958103	    150.205
1sa1msa3a_017	    0.244483		0.174007	    -1533.887503	-1533.957979	    148.330
1sa1msa3a_018	    0.243700		0.177682	    -1533.891422	-1533.957440	    138.946
1sa1msa3a_019	    0.244727		0.174049	    -1533.885475	-1533.956153	    148.755
1sa1msa3a_020	    0.243902		0.175445	    -1533.884934	-1533.953391	    144.079
1sa1msa3a_021	    0.239877		0.167822	    -1533.880709	-1533.952765	    151.653
1sa1msa3a_022	    0.243080		0.173261	    -1533.882901	-1533.952720	    146.946
1sa1msa3a_023	    0.242588		0.171578	    -1533.880588	-1533.951598	    149.453
1sa1msa3a_024	    0.241142		0.170027	    -1533.880228	-1533.951343	    149.673
1sa1msa3a_025	    0.241019		0.170084	    -1533.880230	-1533.951164	    149.295
1sa1msa3a_026	    0.242788		0.174454	    -1533.882706	-1533.951041	    143.822
1sa1msa3a_027	    0.242071		0.170752	    -1533.879186	-1533.950505	    150.104
